,Busia,Soroti
0,5.727483129399476,5.722318971851242
1,5.869151850657754,5.779300962010302
2,5.998561595793225,5.934618135666965
3,5.959988615736292,6.056455533668441
4,6.002421144032829,6.052053768235239
5,6.0187784503382575,6.044489561326891
6,6.03479995022846,5.993799400221612
7,6.074183924777686,6.00134660082542
8,5.659705617436055,5.716820491491519
9,5.528147641817006,5.53261792194791
10,5.460618596056998,5.372561740665815
11,5.439461623410591,5.422704208118649
12,5.525192317310887,5.418839245740309
13,5.5759271550088,5.520357303853989
14,5.540051507507869,5.417449185415537
15,5.377670905866268,5.354824637015098
16,5.3681477670877875,5.342936347741292
17,5.2868257212315735,5.157147897923041
18,5.198209393888956,5.149173800831313
19,5.28116832756406,5.146349104755109
20,5.241253311880692,5.222295398136079
21,5.240375499687569,5.144123700227983
22,5.223738293486406,5.149262200584922
23,5.209250741378117,5.149232731651864
24,5.3214082808323,5.1722953950349995
25,5.237904403694265,5.179917146043915
26,5.161002682641719,5.178569006359618
27,5.157121502388198,5.126191201696839
28,5.17731166271308,5.047672013900172
29,5.136990672738601,5.039616508713424
30,5.163281848150364,5.111724038485514
31,5.123095675022673,5.029877546190572
32,5.136495948038006,4.998536503897752
33,5.123953464458541,4.913103824050048
34,4.710315988315033,4.666220668449808
35,4.709989476606838,4.549307094916364
36,4.674075600182032,4.649584580173736
37,4.677959870541799,4.637137876021543
38,4.630512510540956,4.514828111541494
39,4.653049207349539,4.562665145881269
40,4.897305151417043,4.705910298417414
41,4.981561429792054,4.706655943919254
42,5.031693897681903,4.723078615563656
43,5.035434103522495,4.944059829839408
44,5.042843827799949,4.949208222765956
45,5.111948931298989,5.019239533194721
46,5.131306897043219,5.029341970386531
47,5.145237330006572,5.109427877309861
48,5.326166783174299,5.270238230515075
49,5.281200919368427,5.400438500735804
50,5.315883093287069,5.223509773156054
51,5.49049406921397,5.210398843775247
52,5.6431166006786,5.528341086086172
53,5.591947821337684,5.523180964090592
54,5.533806208512949,6.016729375660117
55,5.562437848935936,5.803827158986369
56,5.638344808155095,5.532984292497268
