,Mbale,Soroti
0,6.327378349052819,6.04131048195558
1,6.325294744437323,6.067679170932938
2,6.321873636062836,6.221705147107435
3,6.313997973116691,6.218606555244162
4,6.313607988105986,6.438389706434408
5,6.4301943469023986,6.4301943469023986
6,6.436508681502148,6.216049695558607
7,6.2258225973734085,6.119623341749793
8,6.22956876614927,5.71903860700354
9,6.2275476341741385,5.719241836835949
10,5.941103502770316,5.800096710061011
11,5.936110990867579,5.933728619282173
12,5.933629195808209,5.90105695564276
13,5.928200534367122,5.823103905767166
14,5.989968378186867,5.617400973585761
15,5.985112557957192,5.656328809819859
16,5.974660715674831,5.766673222085411
17,5.914833599620557,5.607733441311675
18,5.915600186058894,5.604900743720365
19,6.198809498536087,5.602076047644162
20,6.201628316886867,5.603546248123648
21,6.191351789549613,5.680526165783623
22,5.912089301782857,5.686539010438083
23,5.909653092819234,5.767478604038691
24,5.906063544885857,5.904856544135821
25,5.900059830945873,5.758540898024515
26,5.896287447650069,5.752999880080181
27,5.8876329296930106,5.7432146867839835
28,5.882789455730505,5.7408191944601175
29,5.875485673277005,5.732763689273369
30,6.155975117934736,5.732186734676591
31,6.139918530682304,5.720147026922902
32,6.347915185539579,5.775922780561859
33,6.340348788783034,5.828751262238462
34,5.9568974254661855,5.931781950088486
35,5.869226387091382,5.869226387091382
36,5.852730596523678,5.852730596523678
37,5.838607550129361,5.841110680347479
38,6.015755899414871,5.896394331465438
39,6.020651435457276,6.126011951115102
40,6.023490766989252,6.0276661383997325
41,6.029452908409985,6.028411783901574
42,6.145259736017071,6.037629071824705
43,6.148032634165344,6.042672118507518
44,6.154407268815136,6.0478205114340655
45,6.147872838117689,6.069061657693399
46,6.152141484668644,6.099299003294265
47,6.158207792230096,6.2063025460794305
48,6.155978518190804,6.205810891938681
49,6.144588235748122,6.244408571030333
50,6.14072173954953,6.301166696648176
51,6.133180094494065,6.310560319430186
52,6.346750768733793,6.425531646586908
53,6.34869360360119,6.420997000136489
54,6.343990434392556,6.5275549994261075
