,Nairobi,Kisumu
0,6.976395953810355,6.869532808267993
1,6.9644286955730585,7.0948717242901775
2,6.969037625026219,6.971540755244337
3,6.872958698013008,6.985564269076629
4,6.891196321007663,6.948897785174569
5,6.850134914610164,7.052557650725206
6,6.849735160492912,7.029015660711088
7,6.8645397490665605,7.127171735792931
8,6.915992455889184,7.12976581891581
9,6.955187404001223,7.1224147628539
10,6.948831064537871,6.948605509106668
11,6.944306600230055,7.029962044808549
12,6.942049186344503,6.942049186344503
13,6.946164689344923,7.02330041822715
14,6.9462269934952445,7.024368132666589
15,6.943163750346061,6.930038420484859
16,6.9450421241959,6.935362813960995
17,6.941933282474813,6.97714818876588
18,6.9386100362728955,7.015977630384741
19,6.934382869273539,6.925373799331172
20,6.927921658868566,7.0049326700226935
21,6.92254178779225,6.9139463944523865
22,6.916948244452567,6.907881999214814
23,6.909702542280784,6.901072009491244
24,6.912848604823,6.977555348687858
25,6.879978348189089,6.951801807191196
26,6.813519155821566,6.864325239480843
27,6.742404429030368,6.944582851879534
28,6.7434696858768275,6.946053900229619
29,6.7309748971348045,6.933799958360894
30,6.937123713238327,6.920344796109218
31,6.723580933077895,6.91492613158999
32,6.862594086080313,6.989626425105552
33,6.918917142641159,6.919551459186373
34,6.734997450714313,6.624794310580699
35,6.764585191897196,6.521788702681593
36,6.839996602265405,6.613417721944589
37,6.847582666910338,6.51976849303224
38,6.7840875178290085,6.448348150423448
39,6.826732031130862,6.525969636655208
40,6.8919829141380236,6.531391598571084
41,6.754143476901811,6.533283900695433
42,6.737814618376857,6.53518460689575
43,6.736894959332139,6.535069795951418
44,6.736492478697291,6.533681631450865
45,6.7518580805548085,6.529735458374706
46,6.731676530817233,6.527071100501934
47,6.73286872857899,6.5179429944415945
48,6.713360752204424,6.628342258436647
49,6.716442261281928,6.513527283479417
50,6.820726764022079,6.520622171571741
51,6.8266658924364245,6.509924588244713
52,6.795454701147532,6.50303189297508
53,6.65984862004232,6.607672225917502
54,6.659054816764169,6.490754626020756
55,6.360634965102319,6.357777820301539
56,6.365110227145485,6.364396705887956
57,6.499832687846701,6.365316822954006
58,6.438290944897186,6.367348986724408
59,6.436750223139949,6.21427134449893
60,6.429675613045191,6.205865617187821
61,6.4219548838385405,6.42328999752151
62,6.477993233832854,6.4912217731960355
63,6.493962453213951,6.360072958526515
64,6.430157040868091,6.360973165655985
65,6.423004324293556,6.479338798908584
66,6.389637060938853,6.475432421101839
67,6.448309439533206,6.474084062221822
68,6.476152738164056,6.473614665735585
69,6.4769465579129,6.4769465579129
70,6.41964703596198,6.342045789938428
71,6.4209079730420875,6.485114874213098
72,6.508657350387003,6.47743350993547
73,6.592006318184378,6.47229517285478
74,6.553918725067488,6.462133078500731
75,6.456960017389824,6.456960017389824
76,6.460717296052026,6.668356660830271
77,6.6746858472233495,6.724805798822783
78,6.863783054289599,6.672684426990359
79,6.8543383486645615,6.669688502111016
80,6.921842013395526,6.555150291213322
81,6.923450998784079,6.600419154865418
82,6.918950045320755,6.643727192545296
83,6.9755659902614235,6.698282486866792
84,6.974806897716756,6.750014843419091
85,6.921444217738019,6.740048158465007
86,6.917661375862936,6.740237913980303
87,6.779293171834601,6.73904356075301
88,6.779838253727508,6.739406991651777
89,6.844251100331429,6.7419473163533254
90,6.841224378842866,6.73514210205663
