,Masindi,Ruhengeri
0,6.123251474202466,6.294194544742304
1,6.060442530899319,6.3505274176451865
2,6.07692304133352,6.356295554316818
3,6.077322641474356,6.380077795136465
4,6.064285957152308,6.349003142985581
5,6.070042738305509,6.3633161666305815
6,6.068293011053473,6.289103919590747
7,6.054682991384673,6.350349206799406
8,6.056735343862079,6.302376311379542
9,6.052104707506678,6.291961155137457
10,6.052130773563463,6.279249062378441
11,6.1069795792240145,6.257052652046707
12,6.10306056731719,6.2517427560440675
13,6.095489048077792,6.226291958943903
14,6.077143615658899,6.215248861663603
15,6.173519819667611,6.27304775892336
16,6.142057985848633,6.2909486980697835
17,6.133074570711704,6.38580526356713
18,6.141759257364711,6.386651314105039
19,6.136612844860007,6.38749933791425
20,6.135574564806038,6.37628657758218
21,6.134535205606046,6.364946664171547
22,6.127784079959406,6.355993085751263
23,6.124489577113207,6.355643362824861
24,6.121292687066978,6.353732811193225
25,6.113643140753075,6.348489997501445
26,6.161144161349006,6.257646079570573
27,6.202184605937016,6.2586330136575645
28,6.354372984576003,6.264677101509373
29,6.361349334856827,6.265813714959627
30,6.124503715111705,6.263995578232334
31,6.122483898456167,6.164504459410481
32,6.123622512423043,6.164539768770413
33,6.118333395413176,6.160488584088879
34,6.116939383429103,6.256489932812973
35,6.1101261299601,6.248098183886897
36,6.108122953880963,6.2412519083112645
37,6.104634076604516,6.23363083040881
38,6.09294639019578,6.2355023862255505
39,6.096754435110813,6.244994375170911
40,6.096423615231827,6.259788674998292
41,6.093598919155624,6.360040835118575
42,5.913047367970069,6.359139583551838
43,5.902456860672624,6.3578554765800845
44,5.842409381144868,6.358377966301426
45,5.839799265618317,6.3550967145094175
46,5.839995909933781,6.342913076171015
47,5.902478211810154,6.337635569559889
48,5.828507432588327,6.328197204138714
49,5.8876329296930106,6.315005363352365
50,5.8852374373691445,6.311321603195794
51,5.91239643131641,6.303806393594676
52,6.287738756600155,6.31453254494073
53,6.253849702009266,6.228662758230336
54,6.379122069505014,6.210744022017104
55,6.305033192846769,6.229199753781177
56,6.343399460271448,6.224954026826148
57,6.350019156170734,6.237561664348352
58,6.386200734524484,6.211437970741141
