,Kisumu,Busia
0,5.663050592336632,5.36207779532648
1,5.658422997047921,5.28363414666162
2,5.603264899627125,5.405565575822368
3,5.658435682791919,5.385648973011552
4,5.649614801044308,5.463674226384866
5,5.6453157285155475,5.477292535162619
6,5.644411917069104,5.460621755745066
7,5.661726557228723,5.532574725528885
8,5.662286980255242,5.50402977358301
9,5.656204742720281,5.534768200374164
10,5.802409186260294,5.637730380161156
11,5.798528843119516,5.616097471738887
12,5.795368494635372,5.6194157628448895
13,5.792136561535243,5.634434821290053
14,5.791749730263689,5.469654946532747
15,5.790034499001399,5.456208999440352
16,5.79116715685274,5.4980504777480865
17,5.788058315131654,5.6144753223593185
18,5.784959108361613,5.574993019280119
19,5.779982896630039,5.571987744855858
20,5.77430474846033,5.665746161968274
21,5.768359647969329,5.61794312996396
22,5.763139938819203,5.6592902186260625
23,5.756721464185711,5.657481000326382
24,5.747452117001923,5.732630316712065
25,5.852975591899102,5.756137415357606
26,5.852145456585041,5.714467684831294
27,5.964318411082766,5.727483129399476
28,6.070165435692222,5.869151850657754
29,6.057741573514864,5.998561595793225
30,6.045890772185865,5.959988615736292
31,6.1341510512095425,6.002421144032829
32,6.2214516905106825,6.0187784503382575
33,6.219830190693429,6.03479995022846
34,6.230121695754557,6.074183924777686
35,6.234106630229812,5.659705617436055
36,6.236415078500186,5.528147641817006
37,6.0489982865163086,5.460618596056998
38,5.938092164952554,5.439461623410591
39,5.832822456095262,5.525192317310887
40,5.838244418011139,5.5759271550088
41,5.838868489147492,5.540051507507869
42,5.789942314452403,5.377670905866268
43,5.838103387324477,5.3681477670877875
44,5.7086395710418545,5.2868257212315735
45,5.705968095397696,5.198209393888956
46,5.700392527317466,5.28116832756406
47,5.690898990958889,5.241253311880692
48,5.68728780791741,5.240375499687569
49,5.595333601459176,5.223738293486406
50,5.691082366106241,5.209250741378117
51,5.6812723892289725,5.3214082808323
52,5.7570714098044515,5.237904403694265
53,5.67054198068604,5.161002682641719
54,5.748978841888254,5.157121502388198
55,5.670452751457429,5.17731166271308
56,5.741984323720734,5.136990672738601
57,5.575087141284258,5.163281848150364
58,5.54308517019238,5.123095675022673
59,5.516384814767096,5.136495948038006
60,5.51754129358232,5.123953464458541
61,5.521002374922609,4.710315988315033
62,5.339466838321893,4.709989476606838
63,5.330396879833921,4.674075600182032
64,5.507666154635059,4.677959870541799
65,5.44265043059901,4.630512510540956
66,5.512297429154828,4.653049207349539
67,5.513197636284299,4.897305151417043
68,5.5107485676315795,4.981561429792054
69,5.527413550334973,5.031693897681903
70,5.4941026261324355,5.035434103522495
71,5.5611286309050945,5.042843827799949
72,5.65008736520297,5.111948931298989
73,5.493305968234323,5.131306897043219
74,5.437422675972245,5.145237330006572
75,5.427966688336249,5.326166783174299
76,5.422118501286266,5.281200919368427
77,5.476715704823058,5.315883093287069
78,5.476130764378098,5.49049406921397
79,5.620836033319873,5.6431166006786
80,5.878614745410771,5.591947821337684
81,5.874398484848228,5.533806208512949
82,5.872401062298474,5.562437848935936
83,5.743380796726998,5.638344808155095
