,Kamembe,Rubavu
0,6.002764318330901,5.68332221695433
1,5.950063258882491,5.745570824194382
2,5.913286848401468,5.744499160299211
3,6.008843422925059,5.748902380419817
4,6.083340281377958,5.901412347891585
5,6.110012869741412,5.909609747127564
6,6.043120302970567,5.88138860820022
7,5.915727360489298,5.885449001183037
8,5.980944674098517,5.91023385747563
9,5.934649562188009,5.877949466551875
10,5.953098566656013,5.807430327510093
11,5.920779329252172,5.83024134348357
12,5.938681223365733,5.8552996144266825
13,6.051144921572411,5.8103414162114975
14,5.990472439409617,5.739689784605746
15,6.048502540783727,5.735005921817984
16,6.060320959369367,5.813501572369873
17,6.082332963151574,6.041301566473711
18,6.087586893029941,6.04049528549609
19,6.087828339367025,6.040736731833174
20,5.966518510249041,6.036111802048236
21,5.961743790811702,5.816209009947213
22,5.947367927319533,5.740604296024
23,5.884663982208585,5.795127212715662
24,5.928085837307651,5.814299381335753
25,5.918735722337301,5.943595759656696
26,5.9655757297892515,5.857796833267144
27,5.945807822725435,5.879649152474358
28,5.987410426491579,5.825769074935162
29,5.791782436978431,5.754544091838312
30,5.643575735241475,5.808523324099377
31,5.66841395188991,5.783547979374717
32,5.667230462478968,5.809637653017458
33,5.669014842810803,5.994437243245431
34,5.599089511762149,5.884387792858654
35,5.630890281262055,5.850952166038857
36,5.637645962553383,5.861096686347354
37,5.6382727933029635,5.910794225524063
38,5.776417385708099,5.8441516037878545
39,5.743441589368264,5.967701835382549
40,5.773881088446245,5.8648528666519715
41,5.720749849060107,5.875312136219787
42,5.7491633042758945,5.869122619354873
43,5.697430083265733,5.793008395529098
44,5.683133371449232,5.8659538057791005
45,5.677690066450933,5.710285544700385
46,5.636156576181714,5.70659767384503
47,5.651380229421331,5.750670923712082
48,5.639541451558705,5.770783640589093
49,5.665345961715921,5.851113251675497
50,5.721440569652407,5.971516224160776
51,5.697584887052424,5.788494904457711
52,5.616632357291462,5.803054381132683
53,5.678284502467673,5.882112264482592
54,5.616044816719354,5.802729270206766
