,Kasese,Tororo
0,5.348347602514579,5.366612950491872
1,5.266285508327007,5.340941584956898
2,5.195917505983043,5.3145937976166415
3,5.185958910135953,5.295622821353832
4,5.221032879357389,5.291061483717872
5,5.223111132440883,5.348429982859414
6,5.527192406565706,5.549749753989781
7,5.497373022466234,5.610142423642327
8,5.490471258621478,5.602991124233586
9,5.485513885498625,5.576141902958443
10,5.429794741540402,5.4923782278421704
11,5.3589575269467336,5.423705056340891
12,5.397093811872772,5.360092855457803
13,5.4159222635835285,5.454821743197266
14,5.409913386757244,5.5281612144275725
15,5.408099538487851,5.5139818386605155
16,5.500594215194037,5.555958906579959
17,5.526585482262797,5.635625854879024
18,5.500995865354972,5.656488286964094
19,5.546280461722336,5.725621390378153
20,5.546067412955479,5.695102992115967
21,5.54585440956873,5.643596694341668
22,5.556347597857354,5.687556151203077
23,5.587182265971364,5.7813879192895
24,5.628726455502891,5.969114394466924
25,5.476937271098081,5.9628779560878975
26,5.615586711787795,5.964084995289282
27,5.785360236914406,5.983435180334269
28,5.93045064721963,6.007103365847976
29,5.869718158346983,6.029826072147289
30,5.797147848052577,5.797147848052577
31,5.798202139185474,5.1801395887336295
32,5.487085169245161,5.372561740665815
33,5.4286507073063754,5.366130350325041
34,5.423792202869158,5.423792202869158
35,5.523922370018485,5.527474771622853
36,5.61415947966159,5.471308355088266
37,5.699665123306827,5.342139477487782
38,5.504657086429095,5.342936347741292
39,5.509969272545783,5.154580502417795
40,5.509835631923639,5.154315200331731
41,5.399951863554027,5.075605806730655
42,4.997954958588023,5.1529607047350146
43,5.364153600868913,5.275061057675458
44,5.398856937986302,5.133677469568224
45,5.340960086732695,5.117816535418485
46,5.2955299611516224,5.211709363575876
47,5.031057255317754,5.039616508713424
48,4.957573358658255,5.073983710502667
49,4.92706805232435,5.044143123349394
50,4.736172239430261,5.072644476051474
51,4.733992542886342,5.064955123696586
52,4.666220668449808,4.53969047128427
53,4.4730797295284805,4.526104197836701
54,4.502981105981861,4.526622869038901
55,4.522474967701403,4.507543104770602
56,4.527454514461543,4.8450582667783735
57,4.651334710704814,4.943140500340458
58,4.652254040203766,4.944059829839408
59,4.683771759261495,4.8042179123373625
60,4.942049894503591,5.019239533194721
61,5.057198924889497,5.100216309973188
62,5.033716055574165,5.033716055574165
63,5.031486781534874,5.300741684808489
64,4.774732600971392,5.227376269354647
65,4.711146870071177,5.223509773156054
66,4.660042381252621,5.367203805187378
67,5.081759205498516,5.550062909233008
68,5.377469152909199,5.563053355337969
69,5.427699702518401,5.520292489346226
70,5.52419544989949,5.500180573695616
71,5.549679171069438,5.579045065873803
