,Rubavu,Kamembe
0,5.74518311730401,5.98790204900966
1,5.89075283403888,5.8942718992540755
2,5.899918442394678,5.745182453800344
3,5.930995913042221,5.900901049243412
4,5.984085323282617,6.041636172187146
5,5.9242170766792706,5.910786217851494
6,5.870432929539245,5.908853020990589
7,5.996039937277953,5.911038020125913
8,5.992348544630131,5.907886438557325
9,5.989566770759652,5.860907057727357
10,5.9663437934060335,6.039276262897065
11,5.94885528903404,6.02454403925959
12,5.964998531683107,6.327715790077802
13,5.877659946578954,6.327670314523226
14,5.672550481768117,6.334514734891375
15,5.7138634852441745,5.737791438939411
16,5.568306773757408,5.748963051232302
17,5.71917618161065,6.039205129647183
18,5.753511781008449,5.90606501640655
19,5.78401688498536,5.906306462743634
20,5.813493322943517,5.56778743432222
21,5.593391776142832,5.344637572698077
22,5.468670580540359,5.330928655379493
23,5.506565245794442,5.325651148768367
24,5.497126880373267,5.316212783347193
25,5.52577788358153,5.352231273406693
26,5.521324596645931,5.302409381441243
27,5.520275151566461,5.293747502268011
28,5.56039275999768,5.346195994673276
29,5.142064814345821,5.296929524906737
30,5.307103498620262,5.256929398529727
31,5.69774156698443,5.224263701470508
32,5.22622286083673,5.144446549724103
33,5.301290062685486,5.299151024436736
34,5.244679574454269,5.188851124901327
35,5.130268827670307,5.135332129626853
36,5.011338800119288,5.194617752869569
37,5.140733006248622,5.14579630820517
38,5.197753402801982,5.306952694766974
39,5.228884617989416,5.52586908310351
40,5.35609549595004,5.305237078716549
41,5.360362795269934,5.313842779635041
42,5.368595747789457,5.3095068314194505
43,5.384858722050264,5.179697673286487
44,5.446045746453948,5.305714382026771
45,5.489326195201016,5.306277101088684
46,5.39301627935272,5.014896625135084
47,5.280119199084031,4.99243712663225
48,5.452329909470558,4.9823262802248225
49,5.444418887112604,5.099795438260684
50,5.476472850497874,5.254218583368548
51,5.465165493275693,5.241125482914446
52,5.544773838522187,5.243758235200941
53,5.5418503501851895,5.143007782837518
54,5.575094213106259,5.108300859490772
