,Nairobi,Makueni
0,5.705047593937068,5.672257771114077
1,5.691551291576417,5.607201430095136
2,5.677805050045487,5.462824809370439
3,5.676002241356694,5.333949816285504
4,5.694302727663336,5.349462241371606
5,5.691557362555356,5.481943663473394
6,5.689500550827232,5.472726447798502
7,5.684271226021658,5.467497122992928
8,5.7094492130658265,5.462340657061212
9,5.7062888645816825,5.536619845038593
10,5.702791461199394,5.533469158949079
11,5.702404629927838,5.533082327677524
12,5.636358540284409,5.5313670964152335
13,5.636305997421883,5.567668428834388
14,5.634025999511198,5.564559587113302
15,5.631754950138386,5.559682602097261
16,5.691548031855556,5.624883450128195
17,5.684113305838485,5.619678783453023
18,5.678747489279642,5.614208968142071
19,5.673393650962927,5.607915721583421
20,5.666840644768128,5.601256645229004
21,5.6555892258743565,5.593780938502481
22,5.637504712496552,5.723653190756857
23,5.756644175719524,5.852145456585041
24,5.918685313466101,5.845122746289084
25,5.965644198304391,5.844499814945302
26,5.952268704618338,5.834345209659806
27,5.9389513681883095,5.824267363044296
28,5.935226184175415,6.04216558817297
29,6.037439516238821,6.038454229669367
30,6.043448405287259,6.139219946114761
31,6.0484778753471,6.135997253363657
32,6.147326547331649,6.144547481161383
33,6.09409885631993,6.063235281664326
34,6.0093684917455406,5.827897636831899
35,6.045955241352255,5.821020721157123
36,5.951169348546963,5.829008084019791
37,5.957432935276257,5.748807832035669
38,5.838868489147492,5.661610234310085
39,5.789942314452403,5.649511699367608
40,5.78841996717783,5.661378385458679
41,5.839259753458919,5.585025615074678
42,5.837862975246761,5.58235413943052
43,5.833923919941989,5.5796897815577475
44,5.874681468392518,5.571469864395836
45,5.818264920736835,5.478975420118808
46,5.830468460863813,5.461348591226512
47,5.722114475353969,5.533103930409219
48,5.735793228107389,5.493764995402652
49,5.618234964950236,5.488603902297297
50,5.6110414513169395,5.519252533139814
51,5.5891451194912865,5.326627938133827
52,5.60878098707073,5.329098957286026
53,5.576448073861501,5.1552346087851975
54,5.593345855903224,5.1597098708283635
55,5.569670359017267,5.164205250909102
56,5.4888778881188385,5.174496609311817
57,5.459460796833347,5.161121429907578
58,5.436557075662312,5.156043492689143
59,5.438673283148107,5.241962988902053
60,5.284324379361271,5.288499750771752
61,5.214531237636422,5.288858747214537
62,5.210916764411365,5.289217614825124
63,5.207282627478537,5.327083827291157
64,5.303447292269301,5.31777835669995
65,5.191622332581704,5.308385480337343
66,5.3583460022397995,5.310717953250545
67,5.371993093906342,5.311860916860842
68,5.416344927098195,5.313002575596607
69,5.4267273868554975,5.35619723604966
70,5.37882122126736,5.315277230296298
71,5.301672348210398,5.309640517859576
72,5.400289637619711,5.301725070564156
73,5.407137892891147,5.252987213063888
74,5.570751928922461,5.469077126936084
75,5.57607355855524,5.3670513864582405
76,5.5830140756979105,5.620864299829009
77,5.7321955625862575,5.618866877279254
78,5.730706355830271,5.608769295986667
79,5.8170807193050305,5.600296329069907
80,5.845985095446202,5.591750957061961
81,5.752997736003181,5.636546245502639
82,5.746629404694002,5.679420655000553
83,5.813529536407596,5.72055307994949
84,5.813816010033001,5.742961432185641
85,5.74005315666646,5.7166284147808275
86,5.759364169368541,5.68958317226612
