,Kampala,Kasese
0,6.424434666971581,6.465979102746381
1,6.548953959601279,6.3640641162465394
2,6.500184393944528,6.455550730509163
3,6.494874353063846,6.491592672816966
4,6.618917840292188,6.512276094478314
5,6.6108579266410885,6.562793188691354
6,6.4525903644475,6.56363709979081
7,6.552406136343881,6.630871307801319
8,6.565444617365182,6.664316212353267
9,6.614492537642149,6.494985536439013
10,6.281417529383605,6.4973427750168735
11,6.477066337580395,6.4774332427395285
12,6.436759632406356,6.483002024496989
13,6.39447873343113,6.505223694752854
14,6.448236165626591,6.5629303312726694
15,6.540622266593799,6.561512514144189
16,6.556107830249778,6.555773996162218
17,6.60864234057717,6.549849635989781
18,6.577396609166684,6.542930340016441
19,6.398114045424532,6.5236865490992715
20,6.274648420418857,6.533567448084982
21,6.300161239991715,6.507800604769959
22,6.461141600786897,6.462571193596491
23,6.506716735358224,6.462358144829634
24,6.504280558759954,6.462145141442885
25,6.540788747110095,6.470067619684719
26,6.6202616339528095,6.493465281379583
27,6.693659996484432,6.517169360001271
28,6.743012470263224,6.441928821597718
29,6.788462071485471,6.43695806696297
30,6.795052188323606,6.431272514122744
31,6.457610625961792,6.515723917055652
32,6.29567321599587,6.52673237592274
33,6.254304622917901,6.48892797440099
34,6.348590414901033,6.491349319745419
35,6.431339459747963,6.493243890620956
36,6.42795934562421,6.488305752721292
37,6.425462546345036,6.483447248284074
38,6.4602948054482185,6.478612234827176
39,6.494082567364871,6.475733428696675
40,6.483104503385116,6.510595339523157
41,6.234672755335146,6.458426674196753
42,6.187225085769094,6.404032818634217
43,6.097422616313912,6.343174366847618
44,6.173064825751855,6.337221001813375
45,6.273969872959751,6.249862128999495
46,6.263249528729196,6.373673346343568
47,6.247874489253032,6.3796861909980285
48,6.03517053161397,6.199441379378957
49,6.08959064733516,6.201716136854186
50,6.059447919528419,6.213012947801603
51,5.937244533949354,6.2602176904912215
52,5.746454978558903,6.244142036553056
53,5.779434433015206,6.216026998630689
54,5.830679903144867,5.909090926113141
55,5.831546365570914,5.866086690823091
56,5.869226387091382,5.933305243775905
57,5.852730596523678,5.78338317796689
58,6.023432237141434,5.963328313071728
59,6.015229998797965,5.986953908511165
60,6.020651435457276,5.965710317425975
61,5.874903383847323,6.023490766989252
62,5.85480216770964,5.7762040996434525
63,5.714904871582719,5.980227556002278
64,5.825810236461387,5.98551370466757
65,5.8667251963633555,5.8667251963633555
66,6.040662183171701,5.858340626377746
67,6.046576699783267,5.988757128894441
68,6.081429216198022,5.934151415658526
69,6.2170324166826445,5.934202644317961
70,6.157397194040704,5.713946972747484
71,6.18924878044419,5.8524256050581895
72,6.271091897581063,5.846113975249317
73,6.369587856970138,6.020066538478743
74,6.422032375552536,5.956503026701722
75,6.418737860900371,5.898169640935562
76,6.3256648576115895,6.220726728443676
77,6.409434590611459,6.241169350421754
