,Lira,Owino
0,6.436148975078473,6.549089386259068
1,6.478206631457466,6.577317384946351
2,6.518566601942577,6.518566601942577
3,6.513984363131868,6.535536160018683
4,6.564992876650718,6.677355844837763
5,6.566218004111513,6.605846195190644
6,6.571103559520759,6.615933575438553
7,6.4973427750168735,6.449038453929686
8,6.497048837167734,6.477066337580395
9,6.394664563239303,6.437522699974859
10,6.417630640577653,6.44215294216079
11,6.435400957333145,6.436160547191164
12,6.48135865213274,6.5423232365565624
13,6.426573778057876,6.556107830249778
14,6.527179066016488,6.589533478879123
15,6.413799605024702,6.5743119407576085
16,6.346535775359762,6.398114045424532
17,6.278349306323603,6.381882860752917
18,6.251666890053104,6.43848880487973
19,6.286941482092109,6.500073397992073
20,6.385939813542728,6.509105407369265
21,6.4632159964443785,6.6114883655834955
22,6.503275976301969,6.61245173027075
23,6.535238790885069,6.607299149439882
24,6.569405482771316,6.749134376931457
25,6.700593093584647,6.788620214694112
26,6.564534684224114,6.867545437902375
27,6.55597204784259,6.861353697393771
28,6.6167693122360465,6.856648166002482
29,6.661574292137125,6.848876293235224
30,6.516054988073409,6.515723917055652
31,6.321415188976355,6.443179353104459
32,6.278021149535216,6.369176518407709
33,6.323424317453331,6.451225325979993
34,6.367155657177179,6.491195409194483
35,6.363348068111329,6.4869349505875125
36,6.361975912353549,6.484474118132993
37,6.35791399518564,6.516910499473327
38,6.395805026332744,6.618651356660965
39,6.392812303866773,6.615360439861219
40,6.293525715563299,6.39917401875369
41,6.295145251786876,6.382430488835728
42,6.203880881695268,6.299680577704196
43,6.223249728579018,6.35930208488863
44,6.296693428683594,6.424592157534765
45,6.286661969353938,6.413767803545446
46,6.338173697093758,6.459265399242641
47,6.338144228160699,6.460625784598636
48,6.455460139358731,6.566099178177021
49,6.487981003885049,6.602245940175688
50,6.483939259878529,6.620500447784904
51,6.644707197559188,6.734581445098495
52,6.60739326454471,6.745720776779637
53,6.5686328538369505,6.722959450631854
54,6.30130810535935,6.386170099468836
55,6.038338737864384,6.1455842682179815
56,6.017106084892325,6.172172096591272
57,6.010643726556405,6.157100877128949
58,5.996681677659458,6.153768763274872
59,6.051343674657786,6.156908459543163
60,6.038973322308375,6.140722794578813
61,6.128167557405342,6.223818801333028
62,6.121431822739718,6.216999989388145
63,6.175700184496219,6.309119362566396
64,6.0276661383997325,6.223781017326023
65,5.972722878040985,6.137826569887441
66,5.9813210498236495,6.1471133046663935
67,6.148032634165344,6.148032634165344
68,6.154407268815136,6.154407268815136
69,6.242174275402044,6.2906039276406345
70,6.290943887549104,6.373813365371398
71,6.297652324667658,6.418604935085321
72,6.337387249727399,6.455001152190991
73,6.366626203754582,6.445987944428703
74,6.403227657108837,6.546800532856458
75,6.470444201289956,6.602490322579463
76,6.463373999770067,6.626953374754281
77,6.5282893502574,6.680488463777335
78,6.493439246185936,6.671897308154846
79,6.403189041096826,6.492660443927318
80,6.468615407132018,6.558265308079828
