,Kigali,Ngozi
0,6.846945219870934,6.86381684883164
1,6.842570399600188,6.797188170491792
2,6.8437122584612915,6.84643618772067
3,6.8007769508038365,6.84621277605278
4,6.820810357484784,6.833407916560032
5,6.82736972891808,6.836865783677958
6,6.814019102862512,6.836380567541525
7,6.826507321767071,6.782985177566352
8,6.84191811374304,6.702189999306349
9,6.8202575541329695,6.692368099492527
10,6.833728877493803,6.685568171931773
11,6.800279744726102,6.619871606758764
12,6.793554642890417,6.679827536675793
13,6.7719535922922365,6.684206412398392
14,6.758000564266977,6.682710315384156
15,6.7212658919704715,6.734557135541145
16,6.703479117785936,6.7082937073360505
17,6.785334422519099,6.6789081743070815
18,6.755766141787966,6.682205652188828
19,6.717248302801321,6.738949183236975
20,6.664910991817286,6.723537991406674
21,6.707201397306945,6.710702043271596
22,6.697095349804479,6.760664027159924
23,6.733867281623032,6.806036926717878
24,6.700814450558537,6.797299950721676
25,6.689723586846337,6.763044091291506
26,6.6743567134837765,6.84046930029012
27,6.665923941155782,6.881489888923772
28,6.672779681960333,6.898158235476392
29,6.655045597540877,6.822056771731066
30,6.71684369048589,6.824953573129102
31,6.708700849526039,6.820402653013379
32,6.729047404872518,6.819595756887571
33,6.740156270879217,6.827985957630916
34,6.736950255393017,6.715064557494847
35,6.762441001500652,6.824576372000877
36,6.738670896924738,6.7731000240376895
37,6.740386751634418,6.769032858936583
38,6.73126419226331,6.764496397229259
39,6.726288454889494,6.752768872199904
40,6.717691219819535,6.7904640276171575
41,6.710844944243903,6.784953236328513
42,6.700960386272553,6.776310739594655
43,6.708831039316058,6.824876602470307
44,6.711642296569674,6.825085429349514
45,6.729792304244028,6.832341119888101
46,6.733138989151593,6.7834666575443014
47,6.746142628820267,6.789052189203086
48,6.793398039925528,6.794679448644459
49,6.733451860868217,6.798188222500704
50,6.753683690801384,6.8007898109193645
51,6.717750303619431,6.803916369368824
52,6.735917475924561,6.805668604775688
53,6.703561440821989,6.802573313056469
54,6.689987454735453,6.799027696770069
55,6.665763286031526,6.795512756341946
56,6.6779209718187635,6.738147321560794
57,6.684282006142507,6.74199526031117
58,6.678394254959284,6.690879228820682
59,6.693929633217189,6.695745420288031
60,6.6977144406677915,6.758535809247158
61,6.69238226240041,6.7639346701980045
62,6.686515476616472,6.708430085249448
63,6.683849687622107,6.655333355220599
64,6.679018664498173,6.6650053011353725
65,6.687468087052061,6.6027541132215966
66,6.692713863657936,6.611459209890555
67,6.692168888666519,6.601327296532839
68,6.6905378374704165,6.723268116769353
69,6.69153143983644,6.663548882067731
70,6.699595868752542,6.664098181724499
71,6.695801192539341,6.658418422669185
72,6.693082555814008,6.708937864442698
73,6.693099850728996,6.714995018022411
74,6.692571462208575,6.72055704379279
75,6.680529095912827,6.713244325392688
76,6.667509450724559,6.6959395101124795
77,6.654462786874487,6.686550347102294
78,6.646914586295526,6.674019411427988
79,6.6416234387724655,6.6717737344904435
80,6.629659486627841,6.6114345607170115
81,6.630052596320832,6.622240862457765
82,6.628206218016323,6.571243132766146
83,6.62539853644093,6.62886885654007
84,6.638285027847643,6.593369313372226
85,6.663570276675353,6.589862103800083
86,6.654302151366751,6.608412414978601
87,6.640288078433971,6.634789292241042
88,6.632482985797308,6.657749342898131
89,6.623647077140293,6.657220032320602
90,6.602632666494492,6.648804509550161
91,6.577633782360149,6.640378009732887
92,6.5815348357162815,6.632664717216682
93,6.5973111441995576,6.624993870421932
94,6.576537734978924,6.619323188625813
95,6.581270989480428,6.608228931323102
96,6.569050750613709,6.601761996868704
97,6.564022491575047,6.707511931543863
98,6.560668443687492,6.742250094624773
