,Kasese,Busia
0,6.59185124559715,5.764507999739491
1,6.6156565153423,5.815850960408928
2,6.538369229238757,5.8160903260941135
3,6.3094171973905935,5.806448445119823
4,6.343958585768376,5.827639603586277
5,6.346395025516676,5.839762280010722
6,6.339563748316634,5.852416110960883
7,6.368854314887885,5.891519818002157
8,6.364867492656624,5.8954400662502255
9,6.302427584043952,5.895209627108374
10,6.308085776465766,5.890366685699979
11,6.304022708317681,5.976584584563974
12,6.294245815492255,6.07626059202922
13,6.267673380011114,6.249023760571426
14,6.290076460134158,6.131375313739207
15,6.286970364640864,5.972457956776333
16,6.28124928085889,5.994738168728259
17,6.275131015811402,6.10306056731719
18,6.269905425364633,6.127008061224102
19,6.2491060871399045,6.155051850803804
20,6.227078885024721,6.174484605077709
21,6.294226504471901,6.326028347632771
22,6.288217806451714,6.329039800971969
23,6.288004757684856,6.38362410428713
24,6.287791754298108,6.375653110089442
25,6.285826489962831,6.4748905468227225
26,6.279907416560918,6.428312865744372
27,6.276007303184382,6.48612773134108
28,6.218606555244162,6.538927094258442
29,6.262058753777611,6.637498511692277
30,6.257534701020181,6.56646380708577
31,6.310628435613145,6.499702212524387
32,6.347297581401177,6.5204710274061055
33,6.3668608091521115,6.45342128594408
34,6.369282154496541,6.147875887665223
35,6.369988885086579,6.134422813773812
36,6.407006548223583,6.132119925935866
37,6.403286631758883,6.190270656514652
38,6.395805026332744,6.102659816379745
39,6.432204705577433,6.017577582422973
40,6.418592104610791,6.117761559315504
41,6.362657981567863,6.161731236942874
42,6.252072422680107,6.141852672078576
43,6.247963754674888,6.099578010211682
44,6.15000395148156,6.064110037108751
45,6.310346212392294,6.0960416097452885
46,6.336602604861716,6.127510807003157
47,6.147625904162566,6.113822589139058
48,6.090058919852007,6.097590690002236
49,5.6507205392182005,5.922066192350289
50,6.328376524008624,5.812308424277783
51,6.299968870908157,5.79556381494509
52,6.3294875493514295,5.766355446013251
53,6.3329991274991535,5.521681839476173
54,6.263107440216855,5.584806960274418
55,6.187961368056826,5.547526173379695
56,6.22296592281651,5.60538834682641
57,6.301859439573603,5.545121156232126
58,6.369328020611899,5.576720046521316
59,6.228904854325893,5.659015003414285
60,6.057161197187559,5.671736839962841
61,6.405194907341884,5.68742664239159
62,6.371176185479554,5.682463601987474
63,6.294808393059292,5.672569181922398
64,6.328344255623482,5.689264296333812
65,6.287738756600155,5.7503461054494425
66,6.204561901601647,5.7572943533366505
67,6.205810891938681,5.731631891282464
68,6.143667001228802,5.702550838016614
69,6.235529533008196,5.695814899390069
70,6.357432088559859,5.731405027473356
71,6.308781135544713,5.906407220006222
72,6.341989667879001,5.976090159977027
73,6.382780515227405,5.916645917103135
74,6.344497805944682,5.855813308055905
75,6.368670991956794,5.867530673925267
