,Owino,Kasese
0,6.425219904546283,6.465979102746381
1,6.55895576741423,6.3640641162465394
2,6.502364627366297,6.455550730509163
3,6.494874353063846,6.491592672816966
4,6.618277430407989,6.512276094478314
5,6.605846195190644,6.562793188691354
6,6.4525903644475,6.56363709979081
7,6.552406136343881,6.630871307801319
8,6.583306706487137,6.664316212353267
9,6.615933575438553,6.494985536439013
10,6.254477586647204,6.4973427750168735
11,6.477066337580395,6.4774332427395285
12,6.436759632406356,6.483002024496989
13,6.394081671682812,6.505223694752854
14,6.457941355652555,6.5629303312726694
15,6.541643195727906,6.561512514144189
16,6.556107830249778,6.555773996162218
17,6.589533478879123,6.549849635989781
18,6.5743119407576085,6.542930340016441
19,6.398114045424532,6.5236865490992715
20,6.273557312836522,6.533567448084982
21,6.300161239991715,6.507800604769959
22,6.461141600786897,6.462571193596491
23,6.506716735358224,6.462358144829634
24,6.503766816133705,6.462145141442885
25,6.540788747110095,6.470067619684719
26,6.6359067418606585,6.493465281379583
27,6.751808050114444,6.517169360001271
28,6.750390632850896,6.441928821597718
29,6.798991123381322,6.43695806696297
30,6.795426603304579,6.431272514122744
31,6.477932645340147,6.515723917055652
32,6.275183266455148,6.52673237592274
33,6.277598763045304,6.48892797440099
34,6.37044067943786,6.491349319745419
35,6.451455080544969,6.493243890620956
36,6.447769105613445,6.488305752721292
37,6.4454039239282785,6.483447248284074
38,6.479296931875494,6.478612234827176
39,6.513422950125465,6.475733428696675
40,6.491903206511004,6.510595339523157
41,6.246809878751679,6.458426674196753
42,6.200410091507986,6.404032818634217
43,6.097921742852849,6.343174366847618
44,6.222810650635631,6.337221001813375
45,6.341429322524985,6.249862128999495
46,6.286661969353938,6.373673346343568
47,6.293222309231491,6.3796861909980285
48,5.9749443426336715,6.199441379378957
49,6.08959064733516,6.201716136854186
50,6.00311230054583,6.213012947801603
51,5.93608511352962,6.2602176904912215
52,5.737290303909339,6.244142036553056
53,5.7954405532111,6.216026998630689
54,5.85039437311795,5.909090926113141
55,5.864851360215098,5.866086690823091
56,5.869226387091382,5.933305243775905
57,5.852730596523678,5.78338317796689
58,6.023432237141434,5.963328313071728
59,6.014703821464067,5.986953908511165
60,6.020651435457276,5.965710317425975
61,5.84284145138766,6.023490766989252
62,5.847339446508051,5.7762040996434525
63,5.713477319591533,5.980227556002278
64,5.85911523110557,5.98551370466757
65,5.8667251963633555,5.8667251963633555
66,6.040662183171701,5.858340626377746
67,6.047597628917374,5.988757128894441
68,6.054468022470003,5.934151415658526
69,6.251620427969974,5.93420264431796
70,6.170044155741471,5.713946972747484
71,6.235529533008196,5.8524256050581895
72,6.274307334435037,5.846113975249317
73,6.389061966805516,6.020066538478743
74,6.456945258824288,5.956503026701722
75,6.452777907140362,5.898169640935562
76,6.344497805944682,6.220726728443676
77,6.3903324887379735,6.241169350421754
