,Kasese,Kabale
0,5.195917505983043,5.203928229729121
1,5.185958910135953,5.2333361911469645
2,5.221032879357389,5.301558139647146
3,5.567012749439217,5.482078561514354
4,5.567228546636379,5.483369914314137
5,5.527192406565706,5.472491270852649
6,5.497373022466234,5.516649026125994
7,5.490471258621478,5.558939057898939
8,5.485513885498625,5.543111377281961
9,5.429794741540402,5.461575991408508
10,5.3589575269467336,5.424749442858798
11,5.397093811872772,5.4244927860608865
12,5.4159222635835285,5.4528116922692424
13,5.409913386757244,5.5281612144275725
14,5.408099538487851,5.518665687972942
15,5.500594215194037,5.554161960903257
16,5.526585482262797,5.6520196646547
17,5.500995865354972,5.824222875226165
18,5.546280461722336,5.877637597676779
19,5.546067412955479,5.824780815424499
20,5.54585440956873,5.728175966362685
21,5.556347597857354,5.670435110422965
22,5.587182265971364,5.7813879192895
23,5.628726455502891,5.998561595793225
24,5.476937271098081,5.996356259907167
25,5.615586711787795,6.037207260118245
26,5.785360236914406,6.043960600722122
27,5.93045064721963,6.050740776621751
28,5.869718158346983,6.061186601181437
29,5.797147848052577,5.940703961448439
30,5.798202139185474,5.630277136893386
31,5.487085169245161,5.431462011765542
32,5.4286507073063754,5.425681877812573
33,5.423792202869158,5.528757383475383
34,5.523922370018485,5.6189089775824845
35,5.61415947966159,5.522414366021762
36,5.699665123306827,5.411983050855047
37,5.504657086429095,5.396779579762114
38,5.509969272545783,5.343733853503453
39,5.509835631923639,5.218853721469302
40,5.399951863554027,5.074221723464717
41,4.997954958588023,5.1529607047350146
42,5.364153600868913,5.223767763287908
43,5.398856937986302,5.101759866599919
44,5.340960086732695,5.149232731651864
45,5.2955299611516224,5.290636622165547
46,5.031057255317754,5.116156585835759
47,4.957573358658255,5.173281931484947
48,4.92706805232435,5.176611628362781
49,4.736172239430261,5.194083822910968
50,4.733992542886342,5.206397133669616
51,4.666220668449808,4.774854509452604
52,4.4730797295284805,4.670143568059638
53,4.502981105981861,4.751633834527906
54,4.522474967701403,4.522474967701403
55,4.523722180934396,4.514828111541494
56,4.527454514461543,4.960571153900218
57,4.651334710704814,5.037327715400159
58,4.652254040203766,5.098210509666667
59,4.683771759261495,5.045633229887527
60,4.942049894503591,5.132568218501724
61,5.057198924889497,5.171312231656918
62,5.033716055574165,5.0776791789952815
63,5.031486781534874,5.334500164733444
64,4.774732600971392,5.344647141107389
65,4.711146870071177,5.223509773156054
66,4.660042381252621,5.3328222589881324
67,5.081759205498516,5.615633954984768
68,5.377469152909199,5.689843837951351
69,5.427699702518401,5.611264267551952
70,5.52419544989949,5.608661216689686
71,5.549679171069438,5.6230773360243065
