,Busia,Kisumu
0,5.36207779532648,5.663050592336632
1,5.28363414666162,5.658422997047921
2,5.405565575822368,5.603264899627125
3,5.385648973011552,5.658435682791919
4,5.463674226384866,5.649614801044308
5,5.477292535162619,5.6453157285155475
6,5.460621755745066,5.644411917069104
7,5.532574725528885,5.661726557228723
8,5.50402977358301,5.662286980255242
9,5.534768200374164,5.656204742720281
10,5.637730380161156,5.802409186260294
11,5.616097471738887,5.798528843119516
12,5.6194157628448895,5.795368494635372
13,5.634434821290053,5.792136561535243
14,5.469654946532747,5.791749730263689
15,5.456208999440352,5.790034499001399
16,5.4980504777480865,5.79116715685274
17,5.6144753223593185,5.788058315131654
18,5.574993019280119,5.784959108361613
19,5.571987744855858,5.779982896630039
20,5.665746161968274,5.77430474846033
21,5.61794312996396,5.768359647969329
22,5.6592902186260625,5.763139938819203
23,5.657481000326382,5.756721464185711
24,5.732630316712065,5.747452117001923
25,5.756137415357606,5.852975591899102
26,5.714467684831294,5.852145456585041
27,5.727483129399476,5.964318411082766
28,5.869151850657754,6.070165435692222
29,5.998561595793225,6.057741573514864
30,5.959988615736292,6.045890772185865
31,6.002421144032829,6.1341510512095425
32,6.0187784503382575,6.2214516905106825
33,6.03479995022846,6.219830190693429
34,6.074183924777686,6.230121695754557
35,5.659705617436055,6.234106630229812
36,5.528147641817006,6.236415078500186
37,5.460618596056998,6.0489982865163086
38,5.439461623410591,5.938092164952554
39,5.525192317310887,5.832822456095262
40,5.5759271550088,5.838244418011139
41,5.540051507507869,5.838868489147492
42,5.377670905866268,5.789942314452403
43,5.3681477670877875,5.838103387324477
44,5.2868257212315735,5.7086395710418545
45,5.198209393888956,5.705968095397696
46,5.28116832756406,5.700392527317466
47,5.241253311880692,5.690898990958889
48,5.240375499687569,5.68728780791741
49,5.223738293486406,5.595333601459176
50,5.209250741378117,5.691082366106241
51,5.3214082808323,5.6812723892289725
52,5.237904403694265,5.7570714098044515
53,5.161002682641719,5.67054198068604
54,5.157121502388198,5.748978841888254
55,5.17731166271308,5.670452751457429
56,5.136990672738601,5.741984323720734
57,5.163281848150364,5.575087141284258
58,5.123095675022673,5.54308517019238
59,5.136495948038006,5.516384814767096
60,5.123953464458541,5.51754129358232
61,4.710315988315033,5.521002374922609
62,4.709989476606838,5.339466838321893
63,4.674075600182032,5.330396879833921
64,4.677959870541799,5.507666154635059
65,4.630512510540956,5.44265043059901
66,4.653049207349539,5.512297429154828
67,4.897305151417043,5.513197636284299
68,4.981561429792054,5.5107485676315795
69,5.031693897681903,5.527413550334973
70,5.035434103522495,5.4941026261324355
71,5.042843827799949,5.5611286309050945
72,5.111948931298989,5.65008736520297
73,5.131306897043219,5.493305968234323
74,5.145237330006572,5.437422675972245
75,5.326166783174299,5.427966688336249
76,5.281200919368427,5.422118501286266
77,5.315883093287069,5.476715704823058
78,5.49049406921397,5.476130764378098
79,5.6431166006786,5.620836033319873
80,5.591947821337684,5.878614745410771
81,5.533806208512949,5.874398484848228
82,5.562437848935936,5.872401062298474
83,5.638344808155095,5.743380796726998
