,Masindi,Gulu
0,5.675177687462979,5.720502665874353
1,5.868849431235698,5.868849431235698
2,5.897916187093915,6.055929909477627
3,5.893859837756065,6.056255455088939
4,5.886718728325191,6.100530952210517
5,5.959743895809117,6.108601807739858
6,6.00134660082542,6.116657447336414
7,6.005981854153889,6.036551920238567
8,5.535290529329386,5.796833213578132
9,5.312198590938724,5.1793019174722925
10,5.368581761113166,5.247119352054922
11,5.368956130992608,5.242260847617704
12,5.41895718941226,5.414996788196163
13,5.3563303703594904,5.41348878419944
14,5.294200015198664,5.294200015198664
15,5.280381673081202,5.148628346066969
16,5.1520064984226215,5.002142151776049
17,5.074272492658195,4.999309454184739
18,5.074221723464717,4.9964847581085365
19,5.078458177437094,4.997954958588023
20,5.068819317163852,5.138928883350879
21,5.074360892411804,5.149262200584922
22,5.149232731651864,5.149232731651864
23,5.146848729373835,5.146848729373835
24,5.139302426889725,5.2702397843372015
25,5.132759470328324,5.2688916446529035
26,5.126191201696839,5.258412836439298
27,5.123795709372973,5.256017344115432
28,5.116156585835759,5.249029867215732
29,5.111724038485514,5.245255431110037
30,5.093877129023532,4.9365768402933785
31,5.072644476051474,4.918493796224216
32,5.067713746135665,4.922703897779067
33,4.544330850840772,4.949795958948936
34,4.492688200916857,4.951709413493983
35,4.478766847861266,4.935198399561458
36,4.464766650080757,4.517791118388978
37,4.491005807556552,4.571351620401395
38,4.760818943546503,4.760818943546503
39,4.853675768371139,4.761738273045454
40,4.86609331605545,4.7681129076952455
41,4.942049894503591,4.907233372636462
42,4.946942438619464,5.029341970386531
43,5.033716055574165,5.109427877309861
44,5.23877496105929,5.23877496105929
45,5.227376269354647,5.227376269354647
46,5.223509773156054,5.223509773156054
47,5.303592620673194,5.212721725191387
48,5.5467516479293515,5.428968612272969
49,5.564680694997345,5.430916987352611
50,5.520292489346226,5.611264267551952
51,5.4791271644977835,5.608661216689686
52,5.539695727085255,5.5476585467638975
53,5.086228299901257,5.280692243520937
54,5.075033286849828,5.108758921557864
55,5.223319935534699,5.339080725810314
56,5.393261828560937,5.414115664844142
57,5.387802892630971,5.4654759309491885
58,5.481495533484364,5.509083490003193
59,5.527281855864189,5.530609645956863
60,5.531926066476241,5.574071687927004
61,5.534926599493717,5.48762048209678
62,5.613902240403721,5.531315649394447
63,5.133041133779092,5.2247622563436
64,5.207854515918085,5.269821239667285
65,5.269516812452338,5.299117282228629
