,Gitega,Bujumbura
0,6.297098706623741,6.408324341733965
1,6.3717729861586205,6.353128378275389
2,6.086751895065932,6.336082441729019
3,5.825755937221311,6.0243224761995995
4,5.712855304404238,6.081754265055646
5,5.5071291734824195,6.079421874236625
6,5.650490169791607,6.012658472146446
7,5.7854565610131,6.0122833577436054
8,5.832381726287005,6.044289204334289
9,5.772517979054819,6.030347088356919
10,5.705149502657235,5.970643660133654
11,5.746000317357191,5.9878582125535535
12,5.836713144096547,5.992230878135337
13,6.0537350198440185,6.116105350570477
14,6.051910189615066,6.170486997256343
15,6.049541081609407,6.172502792744242
16,6.0549888552480935,6.176662946397443
17,6.076705778687638,6.182281440645778
18,6.228673161023703,6.171191488735813
19,6.412250773870708,6.413760208119562
20,6.400346633812314,6.400722503014258
21,6.55199213776749,6.473325892802677
22,6.54101188514996,6.462027826738963
23,6.362843729400607,6.528886297135772
24,6.414818536217622,6.567095540628625
25,6.379153823002023,6.565791312261545
26,6.37080326022368,6.626893541057757
27,6.076862041490409,6.4441581889473545
28,6.068725692147187,6.37104727317358
29,6.078764511948255,6.365750932198069
30,6.017716506572133,6.368858932941139
31,5.948006410750576,6.431644231272116
32,5.967503697684642,6.411198717252972
33,6.0766923958046215,6.4420558997442585
34,6.182923988140843,6.445190089887184
35,6.281396934183395,6.388341042609541
36,6.36285727122482,6.363567750828419
37,6.272235517660425,6.358082072153762
38,6.346232526710241,6.3465897333580825
39,6.151694883502552,6.3330119198705015
40,6.2384095299604425,6.325420906950073
41,6.395981604758033,6.314275279998097
42,6.466994209353158,6.270445531269072
43,6.468658040802564,6.228508072910977
44,6.039452630156931,6.236197132903801
45,6.1399830036547165,6.140419399035851
46,6.196294511578947,6.147795002839551
47,6.153468737943311,6.048689786710134
48,5.935142005145361,5.869877003772425
49,5.93429631469236,5.93648210791234
50,5.93868912606712,5.93868912606712
51,5.651762288978788,5.940901025927034
52,5.291575473435621,5.9378057342078145
53,5.35887052975265,5.994059433549353
54,5.399047248822575,5.865792788148753
55,5.456825051156964,5.5518173164776075
56,5.354728609372341,5.991861148377614
57,5.363454731556295,5.871952065562694
58,5.653091785267965,5.734255192375172
59,5.572823964055831,5.739145179503344
60,5.481157148506551,5.746743757330513
61,5.581087693098619,5.746305679565559
62,5.7580391240371,5.7580391240371
63,5.838483185746734,5.767163274813551
64,5.805810138980008,5.765964230432808
65,5.772910311696586,5.883137017005585
66,5.764173885217408,5.910530293317847
67,5.760900926597363,5.899837737788793
68,5.836556287841273,6.265201241728431
69,5.7636072881951055,6.240344949622186
70,5.831975429995446,6.010941278942428
71,5.926601172597637,6.018907569523006
72,5.961872692839739,6.021847837462467
73,5.966915103113885,6.0268902477366115
74,5.958820590011928,6.019053847920166
75,5.471318054751238,5.809843680184293
76,5.35788509881904,5.687188845961639
77,5.227366633737478,5.449604797936875
78,5.225120956799933,5.447359120999331
79,5.22739499198421,5.502527869073664
80,5.3552366962848295,5.554811501226343
81,5.471423843348001,5.681526905035536
82,5.772683685483391,5.986837857767325
83,5.789667519490088,6.013330416440484
84,5.852928771955945,6.005691526508355
85,5.911906400480863,6.079310870571581
86,5.965679168365824,6.076621493277819
87,6.0205141626656085,6.17640548697065
88,6.0128757686412815,6.213731975652058
89,6.110183974917225,6.252669623213981
90,6.151292360364187,6.283723763877686
91,6.23384365901701,6.357064639876909
92,6.271469782974216,6.3513939580807905
93,6.259648676664725,6.319087004597455
94,6.253181742210327,6.314079924416923
95,6.158475679264323,6.2023750675322935
96,5.956242561171233,6.010636633237032
