,Kisumu,Nakuru
0,5.663050592336632,5.817918889704553
1,5.665145711442798,5.952827783894579
2,5.632303455607044,5.8149140715156005
3,5.658435682791919,5.81330760318416
4,5.650460467056651,5.804490381229515
5,5.6453157285155475,5.808257938442922
6,5.644411917069104,5.809124384947471
7,5.661726557228723,5.8149307154519505
8,5.662286980255242,5.664759169400631
9,5.655378637757975,5.655378637757975
10,5.650149312952401,5.648495052856374
11,5.645324684896288,5.740032636437907
12,5.642164336412144,5.736872287953763
13,5.792136561535243,5.792136561535243
14,5.791749730263689,5.791749730263689
15,5.700689398665549,5.790034499001399
16,5.637962998629512,5.79116715685274
17,5.6348541569084265,5.733320098592375
18,5.710523285267847,5.631754950138386
19,5.624883450128195,5.624883450128195
20,5.682552025271533,5.713323683938286
21,5.768359647969329,5.743774172496715
22,5.763139938819203,5.714778867125782
23,5.756721464185711,5.706784510899772
24,5.7460122319439355,5.695780106457602
25,5.725842173754239,5.681887239771205
26,5.718796031024982,5.718796031024982
27,5.846394202277281,6.018177580755495
28,6.070165435692222,6.070669087176049
29,6.057741573514864,6.05672993964002
30,6.045890772185865,5.991710855812071
31,6.089215612692157,6.135999480571325
32,6.217219775604103,6.1332110570663225
33,6.2257699620812135,6.139219946114761
34,6.230121695754557,6.0484778753471
35,6.234106630229812,6.051276038046907
36,6.236415078500186,5.948733006048405
37,6.050020259012001,6.050020259012001
38,5.940367478789689,5.938092164952554
39,5.832822456095262,5.952296109229553
40,5.838244418011139,5.954056454859652
41,5.838868489147492,5.838868489147492
42,5.789942314452403,5.9547313924847165
43,5.791097344948546,5.95588642298086
44,5.7086395710418545,5.957042789115302
45,5.70524108700508,6.063805154516606
46,5.700392527317466,5.836471692020788
47,5.690898990958889,6.048450743371156
48,5.684368097814075,5.936332087663777
49,5.680491409799482,5.9363307326786785
50,5.691082366106241,5.879830221345724
51,5.684141831656925,5.929388861474562
52,5.6772491363872915,5.926970446599849
53,5.67054198068604,5.894831007497779
54,5.7977690060576865,5.8002721362758045
55,5.8004367831431525,5.80167979138275
56,5.795637037213054,5.7981215105407165
57,5.664432241620108,5.800098106773262
58,5.663199000270156,5.915149965809983
59,5.670535494594354,5.921849922875261
60,5.672169642394061,5.9263453029559985
61,5.5193370956035475,5.923690474859021
62,5.339466838321893,5.863944341745999
63,5.330396879833921,5.800400509079656
64,5.57220467577263,5.787819960666048
65,5.576181823223533,5.65718560737662
66,5.512297429154828,5.661178635711002
67,5.513197636284299,5.66782598509604
68,5.50906930611186,5.796331122201078
69,5.497361205268572,5.648116296094692
70,5.4941026261324355,5.647768927166013
71,5.492361773658002,5.6489308343495415
72,5.497380728947945,5.648914721993819
73,5.493305968234323,5.648898609378483
74,5.5026258697830075,5.654876311508777
75,5.4982612581313735,5.6514654163546005
76,5.490638447723022,5.645262052600476
77,5.480054606088573,5.632775693106237
78,5.476130764378098,5.630281444205356
79,5.617958333492258,5.753828487639785
80,5.627142276829259,6.076667374731454
81,5.622291851820194,6.072849423572065
82,5.754895150102365,6.1586963643158334
83,5.611646995814282,6.101213747012686
84,5.71649165163099,6.04022427061924
85,5.811379566268726,6.065038661508886
86,5.812096736701151,6.192074318500116
87,5.813529536407596,5.882366632522318
88,5.813621665459461,5.814204585907329
89,5.810214935358393,5.810214935358393
90,5.810849444504627,5.809553913892397
91,5.815279771312942,5.720196323172665
92,5.809329647824573,5.428612709405602
