,Owino,Nakuru
0,6.785863734730093,6.398194774497013
1,6.782920392762594,6.384698472136362
2,6.812433444848947,6.438302868526916
3,6.81666122532976,6.432925990142166
4,6.781698478553577,6.3716014051639265
5,6.804630896958932,6.386648304973945
6,6.865181079880216,6.451718963030507
7,6.854761481672814,6.4487076584972955
8,6.731512427871016,6.436726620121427
9,6.693065159941576,6.4436668044931
10,6.711959545676619,6.446450009909804
11,6.681962294716007,6.485283742095189
12,6.676617289707049,6.554696674159666
13,6.676958710145931,6.547987259052753
14,6.669579553199765,6.483603857809086
15,6.73250569688453,6.536468174366648
16,6.72413270251338,6.533368967596608
17,6.767621992926765,6.528469230097079
18,6.747918247451214,6.50932824993794
19,6.616691967556228,6.517076679684085
20,6.643105439816351,6.506506876358174
21,6.71367257311054,6.506947462931485
22,6.709005219374411,6.494855823139383
23,6.675305847059376,6.475317329493039
24,6.677944559785632,6.412670748903304
25,6.688526311269359,6.422393469463228
26,6.789634928124658,6.433268040607714
27,6.836408044213878,6.422974334594903
28,6.820345673666395,6.450679519091376
29,6.830895669900067,6.432644039765539
30,6.848876293235224,6.8491590429770435
31,6.854794478039374,6.482521733841636
32,6.798353170916925,6.414559655454889
33,6.7891845540846925,6.4437583877859055
34,6.816866714907912,6.444824767251019
35,6.844035257349273,6.441427189427153
36,6.841756325876922,6.43631017186397
37,6.836897821439705,6.450885006547106
38,6.829654908914267,6.453087884300771
39,6.853850366589606,6.454191311858216
40,6.849756700969181,6.451858171892545
41,6.757807827177755,6.453013202388689
42,6.76015492002685,6.416217016430829
43,6.791068923412794,6.532283230453505
44,6.786246224673918,6.520031071425579
45,6.79121031440766,6.503776627459613
46,6.779138454451733,6.434348753137186
47,6.7576686534123604,6.380900786401212
48,6.757639184479301,6.536741553451624
49,6.754222657587084,6.529801019002309
50,6.747703532595385,6.5278163090448675
51,6.743758663329377,6.521109153343616
52,6.86693289658317,7.183436604386768
53,6.864996435711017,7.1907652847224615
54,6.8575456956748635,7.183174406572542
55,6.880288890733101,7.187014165146625
56,6.836374624684397,7.120013242144894
57,6.749535613786933,7.123612710625074
58,6.713384551210295,7.130773010700321
59,6.716524247478587,7.126805802875904
60,6.703920200722496,7.1228227936051365
61,6.716058448687252,7.116770678167922
62,6.709428704165631,7.161237632979397
63,6.797002457317225,7.2446459797014136
64,6.800158323315804,7.243769219687977
65,6.787015970707526,7.035867321711047
66,6.789886520337739,7.072326129377245
67,6.56367290033826,7.206165137455979
68,6.594939580727151,7.171202387748887
69,6.6302377046216385,7.166682279178047
70,6.641552832590525,7.153405844266326
71,6.692003384699462,7.148856416048117
72,6.765539538040429,7.141065800267546
73,6.762291843417632,7.144564718188093
74,6.76328975523027,7.1406900535734215
75,6.763797126782395,7.13931743579251
76,6.7349348514424365,7.131948006281767
