,Nairobi,Mombasa
0,6.512857864329261,6.510348452723836
1,6.545626990620242,6.512443571830001
2,6.547726508467977,6.5051668940491805
3,6.417540831143662,6.486796342159372
4,6.411021363623388,6.467850472622874
5,6.40400642884305,6.418961449791793
6,6.357212667711827,6.434097024671697
7,6.418221566890035,6.418221566890035
8,6.420900469246774,6.510998268439593
9,6.413322570573776,6.459490436330043
10,6.406542857860747,6.390116989918731
11,6.402596393625772,6.478089829715817
12,6.335311516972089,6.474929481231673
13,6.395938641759339,6.394379794990048
14,6.3939929637184925,6.331220952106643
15,6.295718723266971,6.328674810950266
16,6.2784216979693825,6.329453177981828
17,6.275312856248297,6.3263443362607426
18,6.323245129490702,6.323245129490702
19,6.266912176759117,6.318860850744129
20,6.26162023913377,6.312825964012967
21,6.256062854314465,6.308189135005908
22,6.250516811271669,6.301897975260787
23,6.243770960704435,6.296493690708409
24,6.235281530200259,6.285248857542706
25,6.214261199743398,6.264838674486926
26,6.254633739190674,6.410486547088463
27,6.331217588797358,6.4058284525885325
28,6.333885107473424,6.405557564197626
29,6.303083816598955,6.4523627935944035
30,6.352286106567893,6.450679519091376
31,6.5331196167473085,6.509884662547683
32,6.534979303293161,6.537753230175887
33,6.626146000681906,6.5502048474465235
34,6.621934714694394,6.551652352377571
35,6.637590699059838,6.557713227970057
36,6.642446919409011,6.52377822254869
37,6.637693422977616,6.51976849303224
38,6.572605906262642,6.383011590139608
39,6.598762386051933,6.392438244030685
40,6.646639778624279,6.396774625959364
41,6.557079638370654,6.244333597255657
42,6.509476250185543,6.247502534443969
43,6.5688019135365545,6.246964084433779
44,6.604964871670312,6.244724861567083
45,6.603478932620255,6.242903364724629
46,6.599925554093286,6.240239006851858
47,6.59186826813861,6.23111307372438
48,6.58295925258883,6.224582180579566
49,6.534844705140171,6.156309008910638
50,6.492736968082205,6.16126506241307
51,6.509297038804601,6.152532412788772
52,6.480579128042395,6.146536176566175
53,6.356673279932768,6.201930989131619
54,6.348995678488661,6.20224095268945
55,6.357777820301539,6.118045356294245
56,6.363682675154299,6.0272104385330865
57,6.365316822954006,5.9241206079338875
58,6.365920415052882,6.1272894301002605
59,6.125748708343024,6.125748708343024
60,6.205865617187821,6.118854240198191
61,6.200813335195003,6.113801958205374
62,6.20312242554521,6.115959268939291
63,6.207115453879592,6.119952297273673
64,6.199633382256258,6.119029349841629
65,6.12448203728891,6.016190598314098
66,6.08326285547492,6.006829976723273
67,6.187249806692381,6.003571397587136
68,6.267635538654971,6.005895591360872
69,6.2697933143828655,6.007195741208013
70,6.141695248152775,6.006149756156551
71,6.146401321748871,6.012121706118997
72,6.112193203137815,6.008424410856243
73,6.097376117095436,6.0008016004478915
74,6.084370572941903,5.990880229854564
75,6.135376393262362,5.9869563881440895
76,6.12474121424129,6.160550666938001
77,6.163527500113747,6.163527500113747
78,6.21891556334301,6.159860800561695
79,6.257708712981658,6.159528657331003
80,6.148005921585438,6.1496851831051575
81,6.1393837253273755,6.35918506211072
82,6.130686539759845,6.532306310935747
