,Eldoret,Meru
0,5.959846070158149,5.90073795790374
1,5.9888055438607015,6.018563318775577
2,5.996869315839742,5.945009930296401
3,5.85614021922058,5.937330373950593
4,5.8020564056480115,5.634288120264093
5,5.772486606150529,5.533765360894449
6,5.783397572767739,5.5816893021735945
7,5.718719359584662,5.586206400697214
8,5.763783859039392,5.5885506634405795
9,5.649511699367608,5.552661873377691
10,5.553816903873834,5.553816903873834
11,5.554973270008276,5.551577681007138
12,5.521318248844151,5.517815618292949
13,5.459230470500578,5.475790186539596
14,5.469216360284354,5.4320373570426
15,5.46268546713954,5.498531598912676
16,5.481115631967288,5.491735200794748
17,5.49897092403976,5.423259102304064
18,5.49549659756693,5.385897971154036
19,5.52262078757555,5.164511466149675
20,5.481896746596045,5.160193797845806
21,5.478688512148342,5.155915119885291
22,5.482449361196043,5.158209693010464
23,5.475938750862315,5.197347650111786
24,5.473526941134762,5.201808719671995
25,5.246206386990925,5.178765106195391
26,5.206229886463256,5.206229886463256
27,5.206169450008134,5.210725266543995
28,5.162662151664815,5.209182167299708
29,4.949812336240371,5.112331265738146
30,4.822899046160605,5.001892812861884
31,4.879057495212685,4.9968405308690675
32,4.8184961215260165,5.103675063759679
33,4.883897777989041,5.105158680488635
34,4.820050455724354,5.201825792710114
35,4.8108673548902905,5.2582349546524645
36,4.86663165427706,5.311644059473479
37,4.983277002366445,5.308385480337343
38,5.088590146056171,5.3505638617977445
39,5.040090552975195,5.29159019089933
40,5.184068892220713,5.2289194583860645
41,5.191413299921033,5.098820513093208
42,4.98633127202233,5.040107668803134
43,5.037706802375934,5.032484858394782
44,5.077086378178995,5.023296203592858
45,5.210427598645093,5.33110499232784
46,5.431594033681344,5.399845335366764
47,5.438255832750031,5.472042830327415
48,5.649035176795705,5.46671362000175
49,5.754895150102365,5.468043987544671
50,5.743380796726998,5.456538002545213
51,5.589840001006751,5.4817455174944145
52,5.5438376013660635,5.506333205907609
53,5.587806427414205,5.6224229125033105
54,5.5870473348695375,5.726426697376483
55,5.586288818109315,5.696791260962384
56,5.525745210656986,5.666250672617582
57,5.522532862906612,5.664594745414867
58,5.521094538642053,5.665645859122193
59,5.7214621011750655,5.664005046150279
60,5.42003448827531,5.705149165221846
61,5.329027928900238,5.635194816026122
62,5.33365604618303,5.621338118634811
