,Owino,Masindi
0,6.425219904546283,6.465225239159982
1,6.55895576741423,6.455271570344619
2,6.502364627366297,6.458589092132568
3,6.494874353063846,6.494510253296489
4,6.618277430407989,6.679165800083002
5,6.605846195190644,6.682867262137889
6,6.4525903644475,6.6772433500105635
7,6.552406136343881,6.702156046269874
8,6.583306706487137,6.701163274258705
9,6.615933575438553,6.692598276373965
10,6.254477586647204,6.689336626453335
11,6.477066337580395,6.497768002966438
12,6.436759632406356,6.482272895773473
13,6.394081671682812,6.506644149537146
14,6.457941355652555,6.523013723867226
15,6.541643195727906,6.523105074728996
16,6.556107830249778,6.592809197100206
17,6.589533478879123,6.588568383098891
18,6.5743119407576085,6.501129119006803
19,6.398114045424532,6.47904873424721
20,6.273557312836522,6.279218116108922
21,6.300161239991715,6.260940526838434
22,6.461141600786897,6.420259995524769
23,6.506716735358224,6.429318290751434
24,6.503766816133705,6.422438596006495
25,6.540788747110095,6.502437728059688
26,6.538853054717605,6.576508348170308
27,6.638017812616077,6.569405482771316
28,6.6359067418606585,6.5664279873774465
29,6.751808050114444,6.59449947292605
30,6.750390632850896,6.590755438475138
31,6.798991123381322,6.586698709388025
32,6.795426603304579,6.5783167218983065
33,6.477932645340147,6.586040415473112
34,6.275183266455148,6.591907192610265
35,6.277598763045304,6.4118164431456215
36,6.37044067943786,6.41053682201548
37,6.451455080544969,6.527440987522891
38,6.447769105613445,6.525614734516767
39,6.4454039239282785,6.592977142183737
40,6.479296931875494,6.586298810232551
41,6.513422950125465,6.5810939443545005
42,6.491903206511004,6.259280911242251
43,6.246809878751679,6.247240634735078
44,6.200410091507986,6.099256312823137
45,6.097921742852849,6.096423615231827
46,6.222810650635631,6.0930990441139725
47,6.341429322524985,6.201628316886867
48,6.286661969353938,6.193168320476011
49,6.293222309231491,6.534267070874941
50,5.9749443426336715,6.091974649613189
51,6.08959064733516,6.240293047883502
52,6.09620787791807,6.285141029044338
53,6.077799615488465,6.323362040091088
54,6.2691793717656585,6.314864314283129
55,6.065927672431015,6.312468821959264
56,6.00311230054583,6.3868037865875475
57,5.93608511352962,5.938402611669982
58,5.737290303909339,5.629724020853323
59,5.7954405532111,5.898120403270181
60,5.85039437311795,5.892324066256074
61,5.864851360215098,5.866086690823091
62,5.869226387091382,5.869226387091382
63,5.852730596523678,5.857681101683534
64,6.023432237141434,5.901735302163914
65,6.014703821464067,5.896394331465438
66,6.020651435457276,5.902868399800893
67,5.84284145138766,5.905969203422213
68,5.847339446508051,6.029452908409985
69,5.713477319591533,6.039693056045557
70,5.85911523110557,6.042672118507518
71,5.8667251963633555,6.049863413063866
72,6.040662183171701,6.0437438497091085
73,6.047597628917374,6.290943887549104
74,6.054468022470003,6.2984456606870545
75,6.251620427969974,6.379122069505015
76,6.170044155741471,6.285230565550589
77,6.235529533008196,6.280563749181227
78,6.274307334435037,6.4334900468383385
79,6.389061966805516,6.4627106498286615
80,6.456945258824288,6.55582244461739
81,6.452777907140362,6.559342516862992
82,6.344497805944682,6.559849888415118
83,6.3903324887379735,6.445902339892784
