,Kigali,Mulindi
0,6.070382203918308,5.641834709213029
1,6.036357173261998,5.590070070633579
2,6.056300376498575,5.520255181400469
3,6.0050341779078815,5.661816553147137
4,5.9455523460825646,5.628362039010801
5,5.8929182136723295,5.595896513624416
6,5.854389601226159,5.538340130238807
7,5.8814509173696505,5.624959600909211
8,5.890037364836552,5.624882215442379
9,5.853221623253579,5.635201908939239
10,5.890362199234257,5.550338028338687
11,5.92439075100964,5.465173630459656
12,5.902680216907551,5.490147941576294
13,5.951651236247045,5.631986117942213
14,5.954290596024135,5.58416485436128
15,5.9042431617549855,5.572260830406624
16,5.913236441169735,5.59139861206696
17,5.921032241515324,5.776637736633431
18,6.008580251512054,5.761590154294152
19,5.9850506073695025,5.764392901832001
20,5.928936826906347,5.730855800119232
21,5.975777264120205,5.746202822475705
22,5.963533037142585,5.722576403498153
23,6.015791735174351,5.667216476381894
24,5.979062459416928,5.516176297940057
25,5.926263505101222,5.4520552445734545
26,6.022949139096596,5.423777151969351
27,6.034641208351415,5.392684330263794
28,6.035377742432729,5.294565084698854
29,6.02979299071882,5.489476938442125
30,6.027803291878598,5.66201197837778
31,6.068591596446832,5.676628596003036
32,6.061243699318592,5.69840076623483
33,6.043174239652624,5.846820261106045
34,6.058110932608352,5.831918598444783
35,6.053366294244605,5.910030184163604
36,5.998734630366377,5.753552369086058
37,5.981490674658081,5.602420850616872
38,6.034597241576024,5.565212615754572
39,6.034166389744794,5.463345642025259
40,6.02454403925959,5.451231177126585
41,5.992748444636009,5.934226873016353
42,6.008842541881721,5.600286241203884
43,6.001054548740154,5.632276582630178
44,6.008996363851821,5.592870173957543
45,6.023010932408279,5.583170796389558
46,6.040777869158783,5.568991614788335
47,6.039446517702006,5.394439712469995
48,6.087828339367025,5.370388466238035
49,6.063056437291688,5.347157499748326
50,6.056438143849156,5.288709020038852
51,6.026183318279003,5.228844529266213
52,5.5909322845309815,5.232869415317401
53,5.56188544772143,5.197638295334497
54,5.527471364087863,5.142107435300787
55,5.481561363473918,5.107348798869858
56,5.533698171898602,5.123220521966893
57,5.542255412020562,5.135125024593336
58,5.299068563155487,5.195605581273852
59,5.4004775693977205,5.14583535102414
60,5.410059494532649,5.203160925402773
61,5.401591898315803,5.22391072107835
62,5.294859172355196,5.195454600450221
63,5.297555326502216,5.193624403653985
64,5.293802470598628,4.94081529973908
65,5.011338800119288,4.908529306253067
66,5.016584576725163,4.929573199735533
67,5.019270622315193,4.947811658333048
68,5.358025545490209,4.968854076868145
69,5.378568351802099,5.054543575634109
70,5.4321067001287755,5.1367025815830845
71,5.447376625642572,5.260499252312756
72,5.404819464612802,5.258215990420927
73,5.5279841892923836,5.305714382026771
74,5.528546908354297,5.306277101088684
75,5.39301627935272,5.297508060137905
76,5.392037115288017,5.280119199084031
77,5.491974740817798,5.267062842446847
78,5.4842071371710155,5.262835065505188
79,5.545228445913004,5.301949986189738
80,5.484686965020713,5.33928524738669
81,5.465558602968684,5.383422906042537
82,5.4659518672576795,5.383816170331533
83,5.462922414617662,5.380478745406587
84,5.577731186615705,5.4044184579211825
85,5.704422129605038,5.472979775476133
86,5.600975532047153,5.4922423319106874
87,5.655936394577584,5.505577188486587
88,5.652093666591089,5.544204704579903
89,5.628961640182937,5.5792437990639705
