,Mombasa,Machakos
0,7.011797880861271,7.203495633283781
1,6.869118515768734,7.051440072562689
2,6.770870059782187,7.015992517815172
3,6.76709830731353,6.9586365192124084
4,6.691068675872469,6.949589746913631
5,6.79857441915222,6.944983520439066
6,6.685070563227127,6.847708817347679
7,6.702401008790614,6.865036890513538
8,6.867249393766345,6.867249393766345
9,6.861002970122384,6.860012380640688
10,6.932918021314576,6.85577364531681
11,6.903042246516339,6.943402849603698
12,6.894927304907512,6.942049186344503
13,6.9188405850703685,6.938045564906418
14,6.737239616830106,6.936089831272608
15,6.734416965742569,6.934130265248393
16,6.73436534164682,6.9351365952064965
17,6.614026408712523,6.932488370885018
18,6.756512518910817,6.929833114845796
19,6.778436856827605,7.012008031304075
20,6.7714821762861295,7.005973144572913
21,6.756838142226955,7.000503329261961
22,6.813057433114338,6.906970837420569
23,6.807402818294747,6.900615701018805
24,6.794897318135682,6.891995627987074
25,6.7756642982529165,6.86165474610844
26,6.60464256152942,6.866175378769005
27,6.599941747504524,6.8576485135248175
28,6.598865617933149,6.857018578914012
29,6.589083303411035,6.846520602884505
30,6.679490336957013,6.834947252322877
31,6.733282311182533,6.917465278108666
32,6.864149814808358,6.913753919605064
33,6.85876829595066,6.918917142641159
34,6.874203250480176,6.988866158800316
35,6.580765507482219,6.840473727891594
36,6.52377822254869,6.842550882070501
37,6.519129719455744,6.838570474197825
38,6.383011590139608,6.737567502194116
39,6.46176946774553,6.88777101187092
40,6.4653329352608715,6.851544882626548
41,6.482636796460079,6.448058883581744
42,6.445359687071194,6.454081647763497
43,6.375855320215022,6.44111094428759
44,6.369679727880385,6.438242399317682
45,6.289360754835888,6.672984121029003
46,6.204069187283272,6.664216387777751
47,6.209213152554973,6.668310415578933
48,6.283820184229285,6.6603725917598355
49,6.426382342104081,6.585838074161033
50,6.171155181608194,6.2835597947718185
51,6.123429296273629,6.248752708480322
52,6.069001603357522,6.210688474142265
53,6.1272894301002605,6.139913583328657
54,6.292523541398679,6.152607977393292
55,6.246687611708076,6.199176629037024
56,6.280856042868541,6.280856042868541
57,6.28329354413385,6.28329354413385
58,6.119952297273673,6.360072958526515
59,6.154875481614765,6.359539473654137
60,6.248201599913629,6.35612704163298
61,6.29959078025407,6.411615967657628
62,6.473447727488291,6.339461562014965
63,6.4748845071760615,6.342078014909487
64,6.507450012206315,6.474780445172006
65,6.4102698741493835,6.591918256902433
66,6.485114874213098,6.59902086264247
67,6.538350743312149,6.649545581237234
68,6.47229517285478,6.644014821801107
69,6.465871400611338,6.634837166223737
70,6.516996230833884,6.573631324193517
71,6.6723808111299965,6.718010507218355
72,6.855009401354631,6.769814555291399
73,6.811751864606289,6.76508709974917
74,6.809320131517678,6.809320131517678
75,6.754294501872879,6.921842013395526
76,6.638341605909239,6.911256544077335
77,6.645512679564718,6.900557822703477
78,6.440535677798616,6.905179650127709
79,6.788965243418817,6.909780214499683
80,6.783493904975461,6.8191653686176
81,6.78426805329538,6.857713115249154
82,6.782391204850188,6.987016774735873
83,6.733739991200571,7.101499171687513
