,Masindi,Tororo
0,6.695282992076009,6.701852140811479
1,6.720822459543145,6.701370265931681
2,6.730876771790358,6.700888158736531
3,6.750687117923312,6.747314433444672
4,6.752140206445604,6.769088580218906
5,6.759652894450565,6.851732706010654
6,6.7626378901459425,6.76511962311692
7,6.761624268926409,6.761624268926409
8,6.747550490779322,6.747830171944618
9,6.681068506484302,6.747654111243598
10,6.676617289707049,6.676915752625248
11,6.675174588352429,6.674876925007473
12,6.668386947214642,6.6686852320788965
13,6.663273905315209,6.663273905315209
14,6.65517982382773,6.67272152530122
15,6.636454757742766,6.703047839584803
16,6.615628319914756,6.684248913678229
17,6.581908576923682,6.655948215838951
18,6.57462355454389,6.383064056764999
19,6.5836271608819565,6.470538876919828
20,6.576430002121544,6.541418322337393
21,6.576469175913188,6.541445993272433
22,6.576508348170308,6.576508348170308
23,6.57193873301775,6.570039397214098
24,6.7597819649749775,6.6037573604714845
25,6.780810600762836,6.722750961194981
26,6.794305764650775,6.750390632850896
27,6.882671939423787,6.775015211505611
28,6.875027678466785,6.794677633103546
29,6.882480322191302,6.802743518466312
30,6.892433478336285,6.812276817041749
31,6.895987797507099,6.81765089567165
32,6.869776385633712,6.366186176791413
33,6.843314536597355,6.816029043646575
34,6.813956437599327,6.8359675977006775
35,6.809592370749438,6.836897821439705
36,6.80253046041779,6.8298959598977165
37,6.7968025171811925,6.828628948792869
38,6.74085635860623,6.824710669043093
39,6.7292307088611825,6.8128676043607825
40,6.733214621992752,6.700884219954262
41,6.734878691666694,6.701332006442114
42,6.729146632633346,6.72941128792138
43,6.539895886126755,6.762911306234433
44,6.532359181336218,6.5534664567841645
45,6.6040338363770426,6.381191082177448
46,6.603402501641885,6.420960528206205
47,6.60222186894349,6.419298808372001
48,6.688957332162318,6.433390594142882
49,6.743758663329377,6.475814638342035
50,6.816074479349679,6.545950719111276
51,6.838489419940326,6.594152076181791
52,6.83232249954551,6.633594622830933
53,6.830324752527179,6.663443156005881
54,6.811044716095681,6.679309524299511
55,6.765332120597391,6.654225433982608
56,6.7059345306596025,6.650915155068403
57,6.490240999896085,6.5666139786806585
58,6.492592570548907,6.6264524243358505
59,6.476530358526835,6.61767894313943
60,6.498630683264274,6.68912257146834
61,6.525950409243852,6.68010108907111
62,6.532734130413318,6.686166677355136
63,6.534734713288011,6.716637947549198
64,6.695172209288324,6.722600088969929
65,6.705670331253574,6.615958856191502
66,6.485166027835435,6.619193001538903
67,6.49140457764584,6.714023056750559
68,6.650159334444721,6.7066961283230855
69,6.57160134506392,6.709127768065042
70,6.658761865674257,6.494419306649336
71,6.716115546690544,6.4934929643904615
72,6.7055186025503914,6.482112273675873
73,6.728099071658377,6.47824577747728
74,6.770255581599211,6.59552973763184
75,6.766519449926777,6.681731580768336
76,6.776911986872595,6.683148747336152
77,6.784649790622513,6.709876556220062
78,6.789948738184538,6.709348194898656
79,6.782374576513997,6.719636235880574
