,Mbale,Lira
0,6.76639066194905,6.73464196363447
1,6.734175636730581,6.70138633216929
2,6.700888158736531,6.66698660706085
3,6.696305919925822,6.662404368250141
4,6.747314433444672,6.712946789940466
5,6.749458388940976,6.722118903507407
6,6.757988539003953,6.757988539003953
7,6.762637890145943,6.731512427871016
8,6.760519296438291,6.728217653680537
9,6.746150910424898,6.745590529351113
10,6.715923403879571,6.715923403879571
11,6.676617289707049,6.680787685980776
12,6.676364356488018,6.67576964936374
13,6.6686852320788965,6.668386947214642
14,6.697623385329846,6.697623385329846
15,6.692853496253145,6.697464455431219
16,6.735580153255599,6.704187440847737
17,6.717010709988137,6.684248913678229
18,6.650901448410633,6.581908576923682
19,6.642807243899425,6.595790037382714
20,6.648837711772252,6.61599849037687
21,6.711791512623095,6.61271799992226
22,6.710872678054119,6.61245173027075
23,6.709960773684591,6.6115778845739985
24,6.791406974447403,6.606746473179412
25,6.791408202813523,6.634427232787701
26,6.867779438137442,6.753383267032442
27,6.861353697393771,6.779370668664623
28,6.85805959884089,6.859938415739269
29,6.899838328598852,6.968891150327122
30,6.907855494294352,6.9091968761185525
31,6.9176373326995755,6.865173763163835
32,6.92138527452351,6.921829028690987
33,6.787544980142807,6.8704788795157805
34,6.787724085786558,6.87057709975935
35,6.836934715764452,6.865286823287116
36,6.836416705240865,6.809592370749438
37,6.774140160250103,6.80253046041779
38,6.772632156253379,6.800774717041625
39,6.7690856058741335,6.797284856062186
40,6.757807827177755,6.78584228290417
41,6.733214621992752,6.671429464873556
42,6.6702873847601545,6.67253710449417
43,6.669712408417967,6.683936605849349
44,6.673427278751277,6.732732116820645
45,6.750447961988804,6.806045907371657
46,6.813851933094103,6.729409316097958
47,6.812846378187989,6.728317712173915
48,6.808507341074157,6.72380604951877
49,6.803189271207565,6.718761759868983
50,6.800368015617292,6.716345244014686
51,6.867850748873399,6.789641222281523
52,6.864537404259304,6.8136789870258125
53,6.8575456956748635,6.805475249509322
54,6.777732302408008,6.80437423335443
55,6.754796997292776,6.7850564920558885
56,6.738691200772804,6.710787310858822
57,6.710208041436984,6.710208041436984
58,6.711795988525156,6.630692835365181
59,6.657572333049655,6.627026971895464
60,6.669982120033642,6.61767894313943
61,6.684830719386799,6.6880513340868415
62,6.622178441338406,6.707851002024013
63,6.62735883092655,6.714846285049665
64,6.630387026869979,6.71768342595075
65,6.6356833059358165,6.722600088969929
66,6.551343082166565,6.6462036722139635
67,6.553497742273509,6.649929627187033
68,6.559872376923301,6.741989664489704
69,6.708808061526229,6.7343236347638085
70,6.711231924548906,6.736654824225794
71,6.71678028325294,6.626156391639695
72,6.716636515704671,6.561443626298969
73,6.73196556785697,6.55066702905505
74,6.782866365657102,6.546800532856458
75,6.772208707220093,6.6047997924281265
76,6.766029614012011,6.685986906338474
77,6.760818003799332,6.710404103204066
78,6.761816639324294,6.709876556220062
