,Tororo,Kisumu
0,5.380096300829159,5.663050592336632
1,5.440210694952086,5.665145711442798
2,5.496915354410596,5.632303455607044
3,5.4923331155998865,5.658435682791919
4,5.745240071819211,5.650460467056651
5,5.709080380694847,5.6453157285155475
6,5.549749753989781,5.655378637757975
7,5.558112752196465,5.650149312952401
8,5.558939057898939,5.645324684896288
9,5.831958815207664,5.642164336412144
10,5.832478206686689,5.792136561535243
11,5.423705056340891,5.791749730263689
12,5.422411619857062,5.700689398665549
13,5.4159222635835285,5.637962998629512
14,5.494131465841262,5.6348541569084265
15,5.519599830964739,5.710523285267847
16,5.552361780399109,5.624883450128195
17,5.580410132276577,5.682552025271533
18,5.5540732815360245,5.768359647969329
19,5.544493151148241,5.763139938819203
20,5.554071012816001,5.756721464185711
21,5.72891973731553,5.7460122319439355
22,5.726895565763109,5.725842173754239
23,5.72931576756422,5.718796031024982
24,5.722318971851242,5.846394202277281
25,5.719024469005042,6.070165435692222
26,5.790922231014981,6.057741573514864
27,5.863462419105324,6.045890772185865
28,5.910368925640306,6.089215612692157
29,5.952030943892073,6.217219775604103
30,5.9926827055215375,6.2257699620812135
31,5.939471197107332,6.230121695754557
32,5.801237833304102,6.234106630229812
33,5.251160858481973,6.236415078500186
34,5.429487677461824,6.050020259012001
35,5.425681877812573,5.940367478789689
36,5.423792202869158,5.832822456095262
37,5.414996788196163,5.838244418011139
38,5.442816399293959,5.838868489147492
39,5.411983050855047,5.789942314452403
40,5.398793679133816,5.791097344948546
41,5.283441623247333,5.7086395710418545
42,5.286242743374279,5.70524108700508
43,5.28116832756406,5.700392527317466
44,5.287132917631387,5.690898990958889
45,5.277331206209998,5.684368097814075
46,5.378572266814796,5.680491409799482
47,5.402835490450782,5.691082366106241
48,5.396443466775215,5.684141831656925
49,5.390040984149822,5.6772491363872915
50,5.2688916446529035,5.67054198068604
51,5.050067506224038,5.7977690060576865
52,5.123795709372973,5.8004367831431525
53,5.116156585835759,5.795637037213054
54,5.114366047948352,5.664432241620108
55,5.093877129023532,5.663199000270156
56,4.736172239430261,5.670535494594354
57,4.726270496792432,5.672169642394061
58,4.767474402154981,5.5193370956035475
59,4.770614098423273,5.339466838321893
60,4.751633834527906,5.330396879833921
61,4.743747611079802,5.57220467577263
62,4.514828111541494,5.576181823223533
63,4.530625792136653,5.512297429154828
64,4.74422916271955,5.513197636284299
65,4.8450582667783735,5.50906930611186
66,4.943140500340458,5.497361205268572
67,4.944059829839408,5.4941026261324355
68,4.7681129076952455,5.492361773658002
69,5.019239533194721,5.497380728947945
70,5.131306897043219,5.493305968234323
71,5.145237330006572,5.5026258697830075
72,5.300741684808489,5.4982612581313735
73,5.289896626335981,5.490638447723022
74,5.223509773156054,5.480054606088573
75,5.273482819201824,5.476130764378098
76,5.271703635316351,5.617958333492258
77,5.760461405165304,5.627142276829259
78,5.691784644209972,5.622291851820194
79,5.866702707855173,5.754895150102365
80,5.45602325136114,5.611646995814282
