,Kasese,Ruhengeri
0,6.539900972981392,5.813213621947789
1,6.41637566104603,5.809899963020098
2,6.270091307803748,5.565998630249903
3,6.2438751272113935,5.540403243665132
4,6.24103450985885,5.612059180749546
5,6.23443811228408,5.678922080859996
6,6.259702368792369,5.685380660383976
7,6.259461232390936,5.827045976287395
8,6.19336299942745,5.605813449939738
9,6.198802832593043,5.601585196201171
10,6.196332546877046,5.494674294856354
11,6.1826058443495855,5.804549160761584
12,6.182094873305326,5.896911203271378
13,6.17864404255835,5.886068239536137
14,6.1752025491778495,5.969562627875629
15,6.169816863283081,5.725988766039724
16,6.163931282404215,5.793144301235133
17,6.158550100342805,5.885365371973309
18,6.137140924237273,6.023036726185589
19,6.1164181836843134,6.019248857314792
20,6.194143045914918,6.017624374055705
21,6.1881343478947315,6.067536700489121
22,6.187921299127874,6.068104917462647
23,6.187708295741125,6.068674618106615
24,6.19883111392946,5.993772259893822
25,6.2314759892196685,5.959418756616188
26,6.200955643093525,5.956394825763953
27,6.09914651097741,5.952275649165432
28,6.13484572968216,6.030813243481567
29,6.103526461190315,6.035900224312573
30,6.215155640961727,6.044198305282314
31,6.225378646200745,6.160727962320427
32,6.226016364544902,6.1591854203209255
33,6.228437709889332,5.76177159343919
34,6.229377816873995,5.912575778920711
35,6.22409046109107,5.909434098622017
36,6.22066563825476,5.905307902819664
37,6.213780602210712,5.885046007533101
38,6.280316604863661,6.059003508184932
39,6.246378937137598,6.061307584499176
40,6.199506340881629,6.071677381470038
41,6.151358447078277,6.085435287853515
42,6.0930990441139725,6.159666166554744
43,6.039056534663201,6.158045356678502
44,5.763362171362772,5.7509560227244725
45,5.842409381144868,5.903780169615618
46,5.8423799122118085,5.902458565057477
47,5.807282233814959,5.891147034475059
48,5.61053185190278,5.850939046591927
49,5.563709162228571,5.857831007394825
50,5.636013349760887,5.993283549476262
51,5.524629599794531,5.937696004520118
52,5.383910988895467,5.633588328070851
53,5.453186604227408,5.528804922411252
54,5.176079206531437,5.709600122925881
55,5.628345580121404,5.991774893223915
56,5.693190550270857,5.878150919984036
57,5.7981176706960165,5.861096686347354
58,5.902868399800893,5.866342462953229
59,5.77411707231741,5.866568482702396
60,5.491199404962388,5.864323480928714
61,5.8569590430692235,5.868572647754504
62,5.860350561713563,5.900907683408751
63,5.724754935092968,5.894875115457288
64,5.858340626377746,5.62558865786655
65,5.957985470227687,5.570762311305188
66,5.978801689396265,5.716099514565805
67,5.96338541107502,5.6993354778032455
68,5.920523449914592,5.750670923712082
69,6.033927825468742,5.705888549649205
70,6.028024938730174,5.731178024565783
71,6.074351221965816,5.726996139497009
72,6.014149721801372,5.758209508868859
73,6.071123447725916,5.801774790427058
74,6.215646277211257,5.800886824560006
75,6.096919741577207,5.828561575156329
