,Ruhengeri,Kigali
0,6.283217251193524,6.5328452091628675
1,6.279903592265833,6.491584640558865
2,6.260076476302802,6.529926072459026
3,6.234497842581117,6.50209315646616
4,6.294194544742304,6.508785577192905
5,6.3505274176451865,6.393959069372675
6,6.356295554316818,6.428558123083476
7,6.380077795136465,6.434658363440602
8,6.349003142985581,6.40616155682553
9,6.3633161666305815,6.42210990381126
10,6.289103919590747,6.451228725898029
11,6.350349206799406,6.409914251384309
12,6.302376311379542,6.379463643047206
13,6.291961155137457,6.366924193610912
14,6.279249062378441,6.370332891679585
15,6.257052652046707,6.36276153907193
16,6.2517427560440675,6.364963630451284
17,6.226291958943903,6.4301660741235915
18,6.215248861663603,6.397130954596387
19,6.27304775892336,6.316348069458082
20,6.2909486980697835,6.327422859653935
21,6.38580526356713,6.330997027072136
22,6.386651314105039,6.329449294029392
23,6.38749933791425,6.295078156008032
24,6.37628657758218,6.221348180484063
25,6.364946664171547,6.230457468036351
26,6.355993085751263,6.162556965756881
27,6.355643362824861,6.180794742291233
28,6.353732811193225,6.154956133672827
29,6.348489997501445,6.147860606432022
30,6.257646079570573,6.150192084788358
31,6.2586330136575645,6.25945436893988
32,6.264677101509373,6.247702982524601
33,6.265813714959627,6.124835039259821
34,6.263995578232334,6.089406230727802
35,6.164504459410481,6.049112543595321
36,6.164539768770413,6.099758794000911
37,6.160488584088879,6.04281928172804
38,6.256489932812973,6.1628190976380814
39,6.248098183886897,6.099678178768624
40,6.2412519083112645,6.104195661843307
41,6.23363083040881,6.108632012490093
42,6.2355023862255505,6.114383234047157
43,6.244994375170911,6.1202778103196716
44,6.259788674998292,6.128160232519856
45,6.360040835118575,6.136611746278036
46,6.359139583551838,6.136377057199373
47,6.3578554765800845,6.1356656687811855
48,6.358377966301426,6.116800713298378
49,6.3550967145094175,6.127755484831489
50,6.342913076171015,6.141389938410206
51,6.337635569559889,6.092001733351607
52,6.328197204138714,6.080600658762584
53,6.315005363352365,6.114505725023713
54,6.311321603195794,6.122207800467896
55,6.303806393594676,6.089497161307324
56,6.3091539525461995,6.086782900304782
57,6.312222270177028,6.107145710389409
58,6.1185064163344025,6.1185064163344025
59,6.008281777512261,6.007221894000218
60,5.996031662122927,5.999235081840465
61,5.994437243245431,5.941793509760009
62,6.107053903247108,5.940086642981652
63,6.104732686814956,6.048587957805855
64,6.117584713642469,6.206653541702109
65,6.222280034362545,6.261103475445449
66,6.221517800673659,6.2621325198278495
67,6.220750869475664,6.25983825818371
68,6.226731638465731,6.31762819193753
69,6.268354724329394,6.343771363614148
70,6.266689120611705,6.4081191200875605
71,6.281604857851449,6.403764268107632
72,6.31453254494073,6.12003525298096
73,6.228662758230336,6.261116503080075
74,6.210744022017104,6.103828296092471
75,6.229199753781177,6.100748812389074
76,6.224954026826148,6.2198476327515735
77,6.237561664348352,6.245046106770489
78,6.211437970741141,6.267030882233326
79,6.196981814994793,6.404836673793912
80,6.224587488212667,6.343115958118999
81,6.197768188976779,6.253105021372525
82,6.156069595177607,6.25039826009862
