,Dodoma,Gitega
0,6.006682862703383,6.076862041490409
1,6.0367332235162365,6.068725692147187
2,6.084326329547832,6.078764511948255
3,6.016723136445002,6.017716506572133
4,5.707040857782595,5.948006410750576
5,5.647985276476183,5.967503697684642
6,5.598505173424054,6.0766923958046215
7,5.42493956641831,6.182923988140843
8,5.353269332280783,6.281396934183395
9,5.286829113376017,6.36285727122482
10,5.258565330144365,6.272235517660425
11,5.263156983701112,6.346232526710241
12,5.257206548876339,6.151694883502552
13,5.220421455402679,6.2384095299604425
14,5.225610444060843,6.395981604758033
15,5.186081933355328,6.466994209353158
16,5.155547526214866,6.468658040802564
17,5.141271085497985,6.039452630156931
18,5.1961713577917275,6.1399830036547165
19,5.184496119533756,6.196294511578947
20,5.16010778196187,6.153468737943311
21,5.086949460402667,5.935142005145361
22,5.032009218336599,5.93429631469236
23,4.995813668717984,5.93868912606712
24,5.065675362401393,5.651762288978788
25,5.049666215594446,5.291575473435621
26,5.00779003355301,5.35887052975265
27,4.9930570727163905,5.399047248822575
28,4.972138956551486,5.456825051156964
29,4.949795772240045,5.354728609372341
30,4.9268538194537745,5.363454731556295
31,4.928495091043115,5.653091785267965
32,4.930139060833974,5.572823964055831
33,4.783120807064854,5.481157148506551
34,4.8278931701586565,5.581087693098619
35,4.809774083622453,5.7580391240371
36,4.746886804544074,5.838483185746734
37,4.701660882566321,5.805810138980008
38,4.678859101493026,5.772910311696586
39,4.709342820404666,5.764173885217408
40,4.776293911406372,5.760900926597363
41,5.048398350259603,5.836556287841273
42,5.03454267607784,5.7636072881951055
43,5.037431064948462,5.831975429995446
44,5.006201197054092,5.926601172597637
45,5.029195854144836,5.961872692839739
46,5.029330866136141,5.966915103113885
47,5.044476477328462,5.958820590011928
48,5.064525585983997,5.471318054751238
49,5.118853591166832,5.35788509881904
50,5.36819776346562,5.227366633737478
51,5.430738815471762,5.225120956799933
52,5.423986610055315,5.22739499198421
53,5.410343863659013,5.471423843348001
54,5.414007299496914,5.72834421700459
