,Tororo,Masindi
0,6.185519821966424,6.064285957152308
1,6.073898430220707,6.070042738305509
2,6.068477088366464,6.068293011053473
3,6.060260250682779,6.054682991384673
4,5.990600297611413,6.056735343862079
5,5.984066945929966,6.052104707506678
6,6.003388257527522,6.052130773563463
7,6.077143615658899,6.077143615658899
8,6.019229611621754,6.173519819667611
9,5.957754267850688,6.142057985848633
10,5.992409450916572,6.133074570711704
11,6.310628435613145,6.354372984576003
12,6.316157340665454,6.361349334856827
13,6.125979730139825,6.124503715111705
14,5.761986482247964,6.122483898456167
15,5.798048228634538,6.123622512423043
16,5.866523058369317,6.118333395413176
17,5.865483781999095,6.116939383429103
18,5.858104237907202,6.1101261299601
19,5.829480305294592,6.108122953880963
20,5.779707830980365,6.104634076604516
21,5.767369358556267,6.09294639019578
22,5.690036036952649,6.096754435110813
23,5.692456634744684,6.096423615231827
24,5.689631938668482,6.093598919155624
25,5.771605357997039,5.913047367970069
26,5.759169293102736,5.902456860672624
27,5.76750807297175,5.842409381144868
28,5.805630370003067,5.839799265618317
29,5.834827939775338,5.839995909933781
30,5.832449607449671,5.902478211810154
31,5.8717161869195635,5.828507432588327
32,5.9515600169992435,5.8876329296930106
33,6.0114068335525985,5.8852374373691445
34,6.030339835370349,5.91239643131641
35,6.150301557746637,6.287738756600155
36,6.208040165977971,6.253849702009266
37,6.251620427969974,6.379122069505014
38,6.241069669764819,6.305033192846769
39,6.25870937878719,6.343399460271448
40,6.350019156170734,6.350019156170734
41,6.407463052176407,6.386200734524484
