,Arusha,Makueni
0,5.30891085511358,5.672257771114077
1,5.731657082610951,5.607201430095136
2,5.721962954176504,5.462824809370439
3,5.617142605034944,5.333949816285504
4,5.400440642658901,5.349462241371606
5,5.399964071637734,5.481943663473394
6,5.39768511652383,5.472726447798502
7,5.296231023149782,5.467497122992928
8,5.291335463523213,5.462340657061212
9,5.395121450512922,5.536619845038593
10,5.3918837370684916,5.533469158949079
11,5.357856917668446,5.533082327677524
12,5.39836341672408,5.5313670964152335
13,5.403761418458451,5.567668428834388
14,5.43679595632625,5.564559587113302
15,5.44444472114339,5.559682602097261
16,5.534579538846854,5.624883450128195
17,5.649944168589701,5.619678783453023
18,5.75282669928617,5.614208968142071
19,5.794338779709701,5.607915721583421
20,5.827777437084094,5.601256645229004
21,5.869704669993074,5.593780938502481
22,5.930973454855508,5.723653190756857
23,5.986426665467563,5.852145456585041
24,6.031250271040776,5.845122746289084
25,6.11528598802862,5.834345209659806
26,6.111559480006191,5.824267363044296
27,6.268523178429757,6.04216558817297
28,6.261541545051247,6.038454229669367
29,6.1877713548258875,6.139219946114761
30,6.183889545754441,6.135997253363657
31,6.006220888349961,6.144547481161383
32,5.7846371836482176,6.063235281664326
33,5.497595701740491,5.827897636831899
34,5.514044262101511,5.821020721157123
35,5.499299789558962,5.829008084019791
36,5.4992076023025565,5.748807832035669
37,5.412854321800954,5.661610234310085
38,5.408898442850501,5.649511699367608
39,5.380760254795821,5.461348591226512
40,5.54110921613512,5.533103930409219
41,5.53579587677543,5.493764995402652
42,5.4499121698897035,5.488603902297297
43,5.259386746576515,5.519252533139814
44,5.257175820927511,5.478688512148342
45,5.25021947087972,5.482449361196043
46,5.3430828702914175,5.326627938133827
47,5.34498329758997,5.329098957286026
48,5.391339105961063,5.1552346087851975
49,5.253218435175246,5.1597098708283635
50,5.031718853651894,5.164205250909102
51,4.900092483650358,5.174496609311817
52,4.902001142312378,5.161121429907578
53,4.901519197262282,5.156043492689143
54,4.739282205158855,5.241962988902053
55,4.9023315780284715,5.288499750771752
56,4.969585316326035,5.288858747214537
57,5.029941707869589,5.289217614825124
58,5.028424999593834,5.327083827291157
59,5.025798518342362,5.31777835669995
60,5.136507602734529,5.308385480337343
61,5.188366307921746,5.310717953250545
62,5.218885617578165,5.311860916860842
63,5.184950383554069,5.313002575596607
64,5.114944618859133,5.35619723604966
65,5.1628664932766215,5.315277230296298
66,5.1313885312131235,5.309640517859576
67,5.128853674501414,5.301725070564156
68,5.141140312830274,5.252987213063888
69,5.2216896097719925,5.469077126936084
70,5.240051789536639,5.3670513864582405
71,5.213997725698514,5.620864299829009
72,5.3096563986669185,5.618866877279254
73,5.685438107137704,5.679420655000553
74,5.746956373572211,5.72055307994949
75,5.686171358715641,5.742961432185641
76,5.807795590512352,5.7166284147808275
77,5.688434236107429,5.68958317226612
