,Bujumbura,Arusha
0,6.408324341733965,5.313708138404248
1,6.353128378275389,5.30891085511358
2,6.336082441729019,5.731657082610951
3,6.0243224761995995,5.7245594047698205
4,6.081754265055646,5.721962954176504
5,6.079421874236625,5.617142605034944
6,6.012658472146446,5.400440642658901
7,6.0122833577436054,5.399964071637734
8,6.044289204334289,5.39768511652383
9,6.030347088356919,5.296231023149782
10,5.970643660133654,5.291335463523213
11,5.9878582125535535,5.395121450512922
12,5.992230878135337,5.3918837370684916
13,6.116105350570477,5.357856917668446
14,6.170486997256343,5.39836341672408
15,6.172502792744242,5.403761418458451
16,6.176662946397443,5.43679595632625
17,6.182281440645778,5.44444472114339
18,6.171191488735813,5.534579538846854
19,6.413760208119562,5.649944168589701
20,6.400722503014258,5.75282669928617
21,6.473325892802677,5.794338779709701
22,6.462027826738963,5.827777437084094
23,6.528886297135772,5.869704669993074
24,6.567095540628625,5.930973454855508
25,6.565791312261545,5.986426665467563
26,6.626893541057757,6.031250271040776
27,6.37104727317358,6.11528598802862
28,6.365750932198069,6.111559480006191
29,6.368858932941139,6.268523178429757
30,6.431644231272116,6.261541545051247
31,6.411198717252972,6.1877713548258875
32,6.4420558997442585,6.183889545754441
33,6.445190089887184,6.006220888349961
34,6.388341042609541,5.7846371836482176
35,6.363567750828419,5.497595701740491
36,6.358082072153762,5.514044262101511
37,6.3465897333580825,5.499299789558962
38,6.3330119198705015,5.4992076023025565
39,6.325420906950073,5.412854321800954
40,6.314275279998097,5.408898442850501
41,5.869877003772425,5.380760254795821
42,5.93648210791234,5.54110921613512
43,5.93868912606712,5.53579587677543
44,5.940901025927034,5.4499121698897035
45,5.9378057342078145,5.259386746576515
46,5.994059433549353,5.257175820927511
47,5.865792788148753,5.25021947087972
48,5.5518173164776075,5.3430828702914175
49,5.991861148377614,5.34498329758997
50,5.871952065562694,5.391339105961063
51,5.734255192375172,5.253218435175246
52,5.739145179503344,5.031718853651894
53,5.746743757330513,4.900092483650358
54,5.746305679565559,4.902001142312378
55,5.7580391240371,4.901519197262282
56,5.767163274813551,4.739282205158855
57,5.765964230432808,4.9023315780284715
58,5.883137017005585,4.969585316326035
59,5.910530293317847,5.029941707869589
60,5.899837737788793,5.028424999593834
61,6.265201241728431,5.025798518342362
62,6.240344949622186,5.136507602734529
63,6.010941278942428,5.188366307921746
64,6.018907569523006,5.218885617578165
65,6.021847837462467,5.184950383554069
66,6.0268902477366115,5.114944618859133
67,6.019053847920166,5.1628664932766215
68,5.809843680184293,5.1313885312131235
69,5.687188845961639,5.128853674501414
70,5.449604797936875,5.141140312830274
71,5.447359120999331,5.2216896097719925
72,5.502527869073664,5.240051789536639
73,5.554811501226343,5.213997725698514
74,5.681526905035536,5.3096563986669185
75,6.005691526508355,5.685438107137704
76,6.079310870571581,5.746956373572211
77,6.076621493277819,5.686171358715641
78,6.17640548697065,5.807795590512352
79,6.213731975652058,5.688434236107429
80,6.252669623213981,5.8231600757326785
81,6.283723763877686,5.766461912362339
82,6.357064639876909,5.777758201997086
83,6.3513939580807905,5.792303295626933
84,6.319087004597455,5.871977938997037
85,6.314079924416923,5.808464115211822
86,6.2023750675322935,6.042551197210232
87,6.010636633237032,5.823283862802259
