,Eldoret,Nairobi
0,6.486373457674127,6.512857864329261
1,6.483308226220983,6.545626990620242
2,6.487991247996916,6.547726508467977
3,6.506454783744106,6.417540831143662
4,6.526210934233516,6.411021363623388
5,6.497079229055745,6.40400642884305
6,6.519317432780405,6.357212667711827
7,6.521481976770745,6.418221566890035
8,6.482343012679217,6.420900469246774
9,6.490082771047603,6.413322570573776
10,6.421175386938703,6.406542857860747
11,6.418005018978617,6.402596393625772
12,6.399436045141628,6.335311516972089
13,6.333267534796563,6.395938641759339
14,6.262465356691513,6.3939929637184925
15,6.147848395227262,6.295718723266971
16,6.041218161086874,6.2784216979693825
17,6.038109319365788,6.275312856248297
18,6.236685934285851,6.323245129490702
19,6.25105281351901,6.266912176759117
20,6.312825964012967,6.26162023913377
21,6.340145971525007,6.256062854314465
22,6.382069093849428,6.250516811271669
23,6.406311897002312,6.243770960704435
24,6.546643033009302,6.235281530200259
25,6.5088513776618155,6.214261199743398
26,6.520791089103169,6.254633739190674
27,6.551854087717269,6.331217588797358
28,6.5101252584509925,6.333885107473424
29,6.575620123242741,6.303083816598955
30,6.5607649844778555,6.352286106567893
31,6.5642862089857275,6.5331196167473085
32,6.579645750278731,6.534979303293161
33,6.608992921455657,6.626146000681906
34,6.470405643175268,6.621934714694394
35,6.463844169423317,6.637590699059838
36,6.47273672219495,6.642446919409011
37,6.520406858837512,6.637693422977616
38,6.488882924212599,6.572605906262642
39,6.551033605318423,6.598762386051933
40,6.532024309759544,6.646639778624279
41,6.581530734234818,6.557079638370654
42,6.509476250185543,6.509476250185543
43,6.526776287489501,6.5688019135365545
44,6.507873747494992,6.604964871670312
45,6.506508607764889,6.603478932620255
46,6.598442094393853,6.599925554093286
47,6.614182758324015,6.59186826813861
48,6.607651865179201,6.58295925258883
49,6.627218025271186,6.534844705140171
50,6.659296566259501,6.492736968082205
51,6.59410888623504,6.509297038804601
52,6.592966638093844,6.480579128042395
53,6.464868666376441,6.356673279932768
54,6.46805503850465,6.348995678488661
55,6.412748180039164,6.357777820301539
56,6.370800142923163,6.363682675154299
57,6.350886558124977,6.365316822954006
58,6.308551744909726,6.365920415052882
59,6.261319761731323,6.125748708343024
60,6.207530896506882,6.205865617187821
61,6.233603158017995,6.200813335195003
62,6.251992084130201,6.20312242554521
63,6.263113855525336,6.207115453879592
64,6.239242520351303,6.199633382256258
65,6.223829963092342,6.12448203728891
66,6.188812032580339,6.08326285547492
67,6.249667436260814,6.187249806692381
68,6.248722445348484,6.267635538654971
69,6.375931132839254,6.2697933143828655
70,6.3260686890024145,6.141695248152775
71,6.3754610204737086,6.146401321748871
72,6.315792158379054,6.112193203137815
73,6.375308650808331,6.097376117095436
74,6.401664499440328,6.084370572941903
75,6.430359335592645,6.135376393262362
76,6.506786048141356,6.12474121424129
77,6.568437823186877,6.163527500113747
78,6.627778923316409,6.21891556334301
79,6.671684510757731,6.257708712981658
80,6.66017518008498,6.148005921585438
