,Eldoret,Meru
0,7.058458358826259,6.618749096401022
1,7.018964189957595,6.616766744535951
2,7.039271507476763,6.253426844787594
3,7.010389588194085,6.2183965729975075
4,6.993516699015331,6.286355275080574
5,6.976459410476465,6.332102394085951
6,6.9963301184651465,6.344155565281938
7,6.995046000138161,6.347042671594628
8,7.004158506677808,6.348678368793648
9,7.0053468530027905,6.353370535522481
10,7.0057085474795375,6.39990337707474
11,6.955571619226429,6.398875541394341
12,6.850505613971238,6.397660730246647
13,6.968037953216787,6.348822869095615
14,6.974104458361617,6.385507092158509
15,7.011954858107188,6.333428946101424
16,6.982421298598462,6.269249420091233
17,7.0730694700285515,6.303709170008167
18,6.895963409774932,6.333358082991144
19,6.853034690300984,6.397253054784485
20,6.789481133242815,6.38003055508371
21,6.828998297479748,6.38666894688887
22,6.899877915621663,6.388776086909848
23,6.91882058661167,6.411225983427125
24,6.948053198475381,6.20224095268945
25,6.86516405976562,6.0247331791525935
26,6.919208477838197,6.0489719303145995
27,6.8971242201142235,6.031705818613825
28,6.904797775974861,6.079904811264352
29,6.838662929643745,6.125748708343024
30,6.887277541529345,6.171964065512139
31,6.876305580516228,6.084279518939052
32,6.853637404309272,6.160490223749327
33,6.853702869226978,6.02445995151566
34,6.86633979008729,6.080902928243835
35,6.817174982092692,6.13262319487261
36,6.794639098883614,6.188812032580339
37,6.792769087431823,6.296332201117933
38,6.834473981467844,6.342078014909487
39,6.841554553592427,6.268066001924324
40,6.870297936691901,6.188135234977254
41,6.848669086705626,6.377540743926958
42,6.840555289988827,6.344612596914546
43,6.89335353905524,6.366383085202827
44,6.901152889403155,6.354133489153418
45,6.92618209130074,6.37629211432237
46,6.949464752589954,6.386036531519875
47,6.974642576299176,6.512519092407855
48,6.991319596919153,6.5081674948299115
49,6.994389141417234,6.566656276212781
50,7.036000918758519,6.661181722696382
51,6.974667010432691,6.575586864175662
52,6.906071818556762,6.481973862166198
53,6.9755659902614235,6.56667362328174
54,6.974806897716756,6.644756165940486
55,6.971849772522331,6.71564269559263
56,6.971657374598371,6.781835231128974
57,6.967801226486054,6.779293171834601
58,6.938396168542174,6.734763699625318
59,6.978269070785958,6.6392747647320345
60,6.976537789283746,6.632204273852051
