,Lira,Kampala
0,6.436148975078473,6.549089386259069
1,6.478206631457466,6.57731738494635
2,6.518566601942577,6.508516266089075
3,6.513984363131868,6.5350117303239434
4,6.564992876650718,6.671906240070198
5,6.566218004111513,6.609243981810443
6,6.571103559520759,6.615933575438553
7,6.4973427750168735,6.429005350510378
8,6.497048837167734,6.477066337580395
9,6.394664563239303,6.415933580826795
10,6.417630640577653,6.41956825017436
11,6.435400957333145,6.413894752112181
12,6.48135865213274,6.5409626921290025
13,6.426573778057876,6.556107830249778
14,6.527179066016488,6.608326833396764
15,6.413799605024702,6.577396609166684
16,6.346535775359762,6.398114045424532
17,6.278349306323603,6.381882860752918
18,6.251666890053104,6.434986174328529
19,6.286941482092109,6.500073397992073
20,6.385939813542728,6.509105407369265
21,6.4632159964443785,6.612564378292032
22,6.503275976301969,6.61245173027075
23,6.535238790885068,6.607299149439882
24,6.569405482771316,6.745817624305464
25,6.700593093584647,6.774305041813348
26,6.564534684224114,6.8258503343514345
27,6.55597204784259,6.821446658547321
28,6.6167693122360465,6.829929019268972
29,6.661574292137124,6.822144105081133
30,6.516054988073409,6.487855737885357
31,6.321415188976355,6.424615244241879
32,6.278021149535216,6.357738960360644
33,6.323424317453331,6.4321771310093
34,6.367155657177179,6.471522643595779
35,6.363348068111329,6.467893350509074
36,6.361975912353549,6.474676016540806
37,6.3579139951856405,6.498616292278132
38,6.395805026332744,6.618651356660965
39,6.392812303866773,6.606987185198222
40,6.293525715563299,6.390068687798257
41,6.295145251786876,6.372593103411213
42,6.203880881695268,6.297843655052759
43,6.223249728579018,6.337612621164375
44,6.296693428683594,6.404257397307855
45,6.286661969353938,6.393921507173515
46,6.338173697093758,6.420267192626407
47,6.338144228160699,6.440989810081778
48,6.455460139358731,6.563914749160479
49,6.487981003885049,6.597736688584924
50,6.483939259878529,6.604789438391978
51,6.644707197559189,6.719797648914258
52,6.60739326454471,6.724293251975721
53,6.5686328538369505,6.70807347665705
54,6.30130810535935,6.376134705826333
55,6.038338737864384,6.141810678834342
56,6.017106084892325,6.154170225733569
57,6.010643726556405,6.134606957780981
58,5.996681677659459,6.128450955290582
59,6.051343674657786,6.131779170741259
60,6.038973322308375,6.115762704359025
61,6.128167557405342,6.22424496797063
62,6.121431822739718,6.2386891236697295
63,6.175700184496219,6.288082666972602
64,6.0276661383997325,6.223781017326023
65,5.972722878040985,6.138293314353324
66,5.9813210498236495,6.146186949806263
67,6.148032634165344,6.148032634165344
68,6.154407268815136,6.154407268815136
69,6.242174275402044,6.309652122611329
70,6.290943887549103,6.373813365371398
71,6.297652324667658,6.418604935085321
72,6.337387249727399,6.446507810833791
73,6.366626203754583,6.445987944428703
74,6.403227657108837,6.546800532856457
75,6.470444201289956,6.596983860325174
76,6.463373999770067,6.611633926220768
77,6.5282893502574,6.664647080013183
78,6.493439246185936,6.64740628814655
79,6.403189041096826,6.466583346997119
80,6.468615407132018,6.547946551878453
81,6.473899710465941,6.569583061182738
82,6.363039004991827,6.611500364290326
83,6.398515368454724,6.621799854164206
84,6.51024344817173,6.712568781274962
85,6.5450757755170175,6.737947543206125
86,6.471228222605499,6.716804066874644
87,6.466997095441979,6.7156937211808065
88,6.532366059267259,6.596293146573491
89,6.531583465061057,6.658683967355289
90,6.564379684893274,6.71414069027346
91,6.467584308832078,6.704143954047514
92,6.495450023834003,6.689903082685284
93,6.532791355414375,6.714505194170786
94,6.685716070563467,6.768159739774541
95,6.68645276785693,6.769293127329221
