,Busia,Kampala
0,6.318462984402514,6.424434666971581
1,6.337440950762077,6.548953959601279
2,6.316188099802063,6.500184393944528
3,6.312043019468261,6.494874353063846
4,6.3872553915217,6.618917840292188
5,6.358921285335857,6.6108579266410885
6,6.336599528487916,6.4525903644475
7,6.403138777787544,6.552406136343881
8,6.135943578426915,6.565444617365182
9,6.318066477928407,6.614492537642149
10,6.292744691025658,6.281417529383605
11,6.364133904030523,6.477066337580395
12,6.233923744733619,6.436759632406356
13,6.283766709015299,6.39447873343113
14,6.2642628327982495,6.448236165626591
15,6.279482992071245,6.540622266593799
16,6.318338482369976,6.556107830249778
17,6.419610623769823,6.60864234057717
18,6.4160879355427145,6.577396609166684
19,6.319295131018286,6.398114045424532
20,6.168196797178696,6.274648420418857
21,6.188487988431572,6.300161239991715
22,6.261066817385763,6.461141600786897
23,6.318982538170334,6.506716735358224
24,6.34400489913866,6.504280558759954
25,6.426697114685671,6.540788747110095
26,6.4436084680391446,6.5395087924460205
27,6.5005031950970995,6.638017812616078
28,6.536507788619762,6.6202616339528095
29,6.542105035181455,6.693659996484432
30,6.573984859087074,6.743012470263224
31,6.566451950177369,6.788462071485471
32,6.626442213394548,6.795052188323606
33,6.320739745217466,6.457610625961792
34,6.2572799749626205,6.29567321599587
35,6.1697472348898375,6.254304622917901
36,6.304228302247334,6.348590414901033
37,6.324607257103773,6.431339459747963
38,6.366576585153397,6.42795934562421
39,6.384156553993323,6.425462546345036
40,6.391725383085202,6.4602948054482185
41,6.376299531708487,6.494082567364871
42,6.340108240376205,6.483104503385116
43,6.173066404506129,6.234672755335146
44,6.055848936770209,6.187225085769094
45,6.0010634591662155,6.097422616313912
46,5.998788364642731,6.173064825751855
47,6.138586130010234,6.273969872959751
48,6.13140875358258,6.263249528729196
49,6.139071629404233,6.247874489253032
50,5.902397921938062,6.03517053161397
51,5.972560340355643,6.08959064733516
52,5.971310039734474,6.089719210280764
53,5.929703444569913,6.078305560351269
54,5.982053627561884,6.2691793717656585
55,5.944566815426748,6.065927672431015
56,6.015461771344169,6.059447919528419
57,5.970295975445936,5.937244533949354
58,5.730182953450687,5.746454978558903
59,5.732268964572776,5.779434433015206
60,5.701268829493364,5.830679903144867
61,5.735724872959848,5.831546365570914
62,5.732889943539251,5.869226387091382
63,5.756427367978361,5.852730596523678
64,5.752279466640863,6.023432237141434
65,5.835325298116617,6.015229998797965
66,5.843348709775264,6.020651435457276
67,5.717511210095894,5.874903383847323
68,5.6865081572831535,5.85480216770964
69,5.760906013162644,5.714904871582719
70,5.856639982317028,5.825810236461387
71,5.844419438849057,5.8667251963633555
72,5.912407847648022,6.040662183171701
73,5.9005644168589795,6.046576699783267
74,5.95560904299699,6.081429216198022
75,6.019313963734245,6.2170324166826445
76,6.039841405289059,6.157397194040704
77,6.08777932027933,6.18924878044419
78,6.103159078239208,6.271091897581063
79,6.345259344147123,6.369587856970138
80,6.316250169677425,6.422032375552536
81,6.258334989814062,6.418737860900371
82,6.12786287825786,6.3256648576115895
83,6.065788822982034,6.409434590611459
