,Kamembe,Bujumbura
0,6.346257022997133,6.65343300464985
1,6.255188069320304,6.71283219170475
2,6.154823380945268,6.70109470733715
3,6.159742208330838,6.592626818548583
4,6.042773208624642,6.402324417872969
5,6.043120302970567,6.364820103532932
6,6.0444959670451395,6.281010311329168
7,6.043398828931567,6.276039711466149
8,6.100006126870855,6.2726234905071925
9,6.256489932812973,6.260097702004639
10,6.248098183886897,6.3330119198705015
11,6.338202777573049,6.325420906950073
12,6.411904215356539,6.317157126372986
13,6.421148966864277,6.315421780838095
14,6.140935821940094,6.314404220342962
15,6.153501804480335,6.3242570027810965
16,6.159666166554744,6.321867974543461
17,6.039446517702006,6.330552384438835
18,6.040736731833174,6.33491731345092
19,5.903780169615618,6.3289196171763376
20,5.895246995341916,6.255332743183734
21,5.891147034475059,6.2575397613385135
22,5.8858695278639335,6.259751661198427
23,5.874018616037375,6.255862403578032
24,5.862250120202743,6.2519820663493
25,5.911991483655146,6.155221585935476
26,5.850939046591927,6.151718957051852
27,5.857831007394825,6.49151347154548
28,5.85133137678565,6.052718412089843
29,5.715401469812731,5.995377991754598
30,5.714933967524803,6.008515448312788
31,5.724966553248536,5.952034521800883
32,5.7180867368032,6.22703327217427
33,5.798460661882215,6.159913564014535
34,5.699267578706793,6.246032062060443
35,5.828634410202692,6.224212038118892
36,5.863882437112367,6.3513185989813765
37,5.8653361966561315,6.382585806619267
38,6.114812486133453,6.378062200179386
39,6.116167294932878,6.470177489087192
40,6.126214957168272,6.367775555469111
41,6.1175342879778185,6.406554090607581
42,5.874081712383829,6.586199804956768
43,5.806886574092119,6.5380643098633335
44,5.783351741574972,6.489590766797371
45,5.853069577745288,6.446543246123182
46,5.842238117237573,6.427106163219366
47,5.830464123861751,6.455163164474013
48,5.95376740573558,6.480129602232846
49,6.1696200310578195,6.493915047711387
50,6.254762640460417,6.474082664085085
51,6.077542376421421,6.453848984952939
52,5.959423476330518,6.39529549000291
