,Meru,Nakuru
0,5.90073795790374,6.0861772101302805
1,6.018563318775577,6.070589328954531
2,5.945009930296401,6.048216372222951
3,5.937330373950593,5.695959788303839
4,5.634288120264093,5.643533178408144
5,5.533765360894449,5.604576828017877
6,5.5816893021735945,5.580056648749709
7,5.586206400697214,5.586206400697214
8,5.5885506634405795,5.586102681801939
9,5.552661873377691,5.564456449870527
10,5.553816903873834,5.5087486184721275
11,5.551577681007138,5.473799979964453
12,5.517815618292949,5.433670941785395
13,5.475790186539596,5.339125632083037
14,5.4320373570426,5.332551805827794
15,5.498531598912676,5.350815571296197
16,5.491735200794748,5.426257271415242
17,5.423259102304064,5.410063811885231
18,5.385897971154036,5.423781289056337
19,5.164511466149675,5.4168885937867035
20,5.160193797845806,5.393311309781967
21,5.155915119885291,5.289446512509814
22,5.158209693010464,5.290854167616759
23,5.197347650111786,5.245922320260343
24,5.201808719671995,5.246063728676035
25,5.178765106195391,5.246206386990925
26,5.206229886463256,5.250681649034091
27,5.210725266543995,5.2551770291148285
28,5.209182167299708,5.253633929870541
29,5.112331265738146,5.1110644082748955
30,5.001892812861884,4.944734399021936
31,4.9968405308690675,4.974367675017009
32,5.103675063759679,4.770705457689668
33,5.105158680488635,4.774698486024049
34,5.201825792710114,4.942652777816686
35,5.2582349546524645,4.943553796049248
36,5.311644059473479,4.969441148143281
37,5.308385480337343,4.966182569007144
38,5.3505638617977445,4.964441716532711
39,5.29159019089933,4.964400760782645
40,5.2289194583860645,4.964359803355138
41,5.098820513093208,4.977299155326217
42,5.040107668803134,5.029581255816146
43,5.032484858394782,5.024600454870633
44,5.023296203592858,5.0745894979804085
45,5.33110499232784,5.333029920737425
46,5.399845335366764,5.650562213585073
47,5.472042830327415,5.628563741176636
48,5.46671362000175,5.609369920403274
49,5.468043987544671,5.633051512271211
50,5.456538002545213,5.538790733771096
51,5.4817455174944145,5.434711325991516
52,5.506333205907609,5.687858267239304
53,5.6224229125033105,5.72207068925438
54,5.726426697376483,5.718744201204467
55,5.696791260962384,5.528957886370207
56,5.666250672617582,5.500547027052287
57,5.664594745414867,5.461518757151466
58,5.665645859122193,5.458524012339249
59,5.664005046150279,5.4654229684845435
60,5.705149165221846,5.4684175691905965
61,5.635194816026122,5.468140731362956
62,5.621338118634811,5.470192179309306
