,Kasese,Masindi
0,6.465979102746381,6.465225239159982
1,6.364481043498774,6.455271570344619
2,6.455550730509163,6.458589092132568
3,6.491592672816966,6.492322866350689
4,6.500814650959307,6.679165800083002
5,6.5661715702829815,6.679861549024396
6,6.56363709979081,6.676941645377108
7,6.628025456078266,6.702156046269875
8,6.737551926612268,6.7014573486616476
9,6.493901525492754,6.696148575961132
10,6.536175751715301,6.689633670863659
11,6.5393086464576164,6.497408484717015
12,6.5230073591106885,6.482272895773473
13,6.525625387246635,6.506644149537146
14,6.5629303312726694,6.523361731526907
15,6.561512514144189,6.523105074728996
16,6.555773996162218,6.593452490785948
17,6.549849635989781,6.588568383098891
18,6.542930340016441,6.501129119006803
19,6.5236865490992715,6.47904873424721
20,6.533567448084982,6.279218116108922
21,6.468579891616678,6.300161239991715
22,6.462571193596491,6.420259995524769
23,6.462358144829634,6.429318290751434
24,6.462145141442885,6.422438596006496
25,6.494460786202137,6.502437728059688
26,6.58557784270099,6.5664279873774465
27,6.598182718342347,6.597569785439308
28,6.4811770265378295,6.590755438475138
29,6.438389706434408,6.586698709388025
30,6.431272514122744,6.578006596294953
31,6.515723917055652,6.5860404154731125
32,6.52673237592274,6.591907192610265
33,6.48892797440099,6.451292870809253
34,6.491349319745419,6.41053682201548
35,6.493243890620956,6.527440987522891
36,6.486934950587513,6.525614734516767
37,6.483668770360596,6.592977142183737
38,6.477104230830453,6.5810939443545005
39,6.580822017459036,6.259280911242251
40,6.552848923455012,6.247240634735078
41,6.465480717573219,6.100754440444159
42,6.3859779967870125,6.096423615231827
43,6.37978061623217,6.0930990441139725
44,6.2735519001219,6.201628316886867
45,6.373673346343568,6.191351789549613
46,6.381191082177448,6.534912024138188
47,6.3819132104237015,6.534237601941882
48,6.3827299692105095,6.530562443900234
49,6.3868037865875475,6.536089306104479
50,6.366752013611734,5.804871219045459
51,6.24072322980427,5.787024309583478
52,6.128219253039601,6.012823423100325
53,5.964532374597,6.010643726556405
54,5.935244157816957,5.866086690823091
55,5.9935241037689595,6.050321702162092
56,5.825055874367457,6.0338106882295675
57,5.965538258722532,6.022390027562991
58,6.041704423282574,6.014703821464067
59,6.048560223574353,6.020651435457276
60,6.2689769936693915,6.023490766989252
61,6.272174622418519,6.27462060814678
62,6.120845377845783,6.094844876120637
63,6.147106279305214,6.042672118507518
64,6.0478205114340655,6.049863413063866
65,6.040662183171701,6.194812862998959
66,6.047597628917374,6.373813365371398
67,5.996118139407725,6.382810133007966
68,5.993888865368435,6.456353417441004
69,5.981960969757094,6.368100043372883
70,6.187492853741926,6.364233547174291
71,6.183641249773915,6.469124069085033
72,6.387632373995921,6.530685529327375
73,6.341989667879001,6.558233536804122
74,6.343990434392556,6.790396932878082
75,6.3825697538940895,6.5634534959184165
76,6.408733574108865,6.511285099155636
