,Gitega,Dodoma
0,6.076862041490409,6.006682862703383
1,6.068725692147187,6.0367332235162365
2,6.078764511948255,6.084326329547832
3,6.017716506572133,6.016723136445002
4,5.948006410750576,5.707040857782595
5,5.967503697684642,5.647985276476183
6,6.0766923958046215,5.598505173424054
7,6.182923988140843,5.42493956641831
8,6.281396934183395,5.353269332280783
9,6.36285727122482,5.286829113376017
10,6.272235517660425,5.258565330144365
11,6.346232526710241,5.263156983701112
12,6.151694883502552,5.257206548876339
13,6.2384095299604425,5.220421455402679
14,6.395981604758033,5.225610444060843
15,6.466994209353158,5.186081933355328
16,6.468658040802564,5.155547526214866
17,6.039452630156931,5.141271085497985
18,6.1399830036547165,5.1961713577917275
19,6.196294511578947,5.184496119533756
20,6.153468737943311,5.16010778196187
21,5.935142005145361,5.086949460402667
22,5.93429631469236,5.032009218336599
23,5.93868912606712,4.995813668717984
24,5.651762288978788,5.065675362401393
25,5.291575473435621,5.049666215594446
26,5.35887052975265,5.00779003355301
27,5.399047248822575,4.9930570727163905
28,5.456825051156964,4.972138956551486
29,5.354728609372341,4.949795772240045
30,5.363454731556295,4.9268538194537745
31,5.653091785267965,4.928495091043115
32,5.572823964055831,4.930139060833974
33,5.481157148506551,4.783120807064854
34,5.581087693098619,4.8278931701586565
35,5.7580391240371,4.809774083622453
36,5.838483185746734,4.746886804544074
37,5.805810138980008,4.701660882566321
38,5.772910311696586,4.678859101493026
39,5.764173885217408,4.709342820404666
40,5.760900926597363,4.776293911406372
41,5.836556287841273,5.048398350259603
42,5.7636072881951055,5.03454267607784
43,5.831975429995446,5.037431064948462
44,5.926601172597637,5.006201197054092
45,5.961872692839739,5.029195854144836
46,5.966915103113885,5.029330866136141
47,5.958820590011928,5.044476477328462
48,5.471318054751238,5.064525585983997
49,5.35788509881904,5.118853591166832
50,5.227366633737478,5.36819776346562
51,5.225120956799933,5.430738815471762
52,5.22739499198421,5.423986610055315
53,5.471423843348001,5.410343863659013
54,5.72834421700459,5.414007299496914
