,Nakuru,Eldoret
0,5.817918889704553,5.791017958218954
1,5.952827783894579,5.8041062257760805
2,5.8149140715156005,5.834943353391172
3,5.81330760318416,5.850807575439375
4,5.804490381229515,5.873096704586412
5,5.808257938442922,5.962614146993543
6,5.809124384947471,5.979918436570358
7,5.8149307154519505,6.022037267856343
8,5.664759169400631,5.872809972160406
9,5.655378637757975,5.83770019455193
10,5.648495052856374,5.77287877254411
11,5.740032636437907,5.740032636437907
12,5.736872287953763,5.76654805609988
13,5.792136561535243,5.76249940864602
14,5.791749730263689,5.748074666761027
15,5.790034499001399,5.761130752819049
16,5.79116715685274,5.732670950171132
17,5.733320098592375,5.7592378765961625
18,5.631754950138386,5.784959108361613
19,5.624883450128195,5.8066511437122
20,5.713323683938286,5.801029264357392
21,5.743774172496715,5.796530524936025
22,5.714778867125782,5.844172582227764
23,5.706784510899772,5.86522888560173
24,5.695780106457602,5.774423233776715
25,5.681887239771205,5.757408639722073
26,5.718796031024982,5.8534185312318385
27,6.018177580755495,5.845122746289084
28,6.070669087176049,5.858293137077639
29,6.05672993964002,5.887280644250899
30,5.991710855812071,5.928171121944518
31,6.135999480571325,5.91008200237439
32,6.1332110570663225,5.933769618058902
33,6.139219946114761,5.9740928864708565
34,6.0484778753471,5.989883711081047
35,6.051276038046907,6.009690004268804
36,5.948733006048405,6.073295728690168
37,6.050020259012001,6.029379691364929
38,5.938092164952554,6.023203484368838
39,5.952296109229553,6.06556446453141
40,5.954056454859652,6.059360599142846
41,5.838868489147492,6.060996296341867
42,5.9547313924847165,6.079294115126479
43,5.95588642298086,6.042708817639776
44,5.957042789115302,6.022856007684874
45,6.063805154516606,5.981218563507332
46,5.836471692020788,5.974129419654204
47,6.048450743371156,5.997049812150177
48,5.936332087663777,5.9807838502346105
49,5.9363307326786785,5.959756232188734
50,5.879830221345724,6.06155848236434
51,5.929388861474562,6.080973792620386
52,5.926970446599849,5.993877811595779
53,5.894831007497779,5.946696547966754
54,5.8002721362758045,5.982593693069759
55,5.80167979138275,5.963080083016065
56,5.7981215105407165,5.978165869373074
57,5.800098106773262,6.0242361882539806
58,5.915149965809983,5.958729846514008
59,5.921849922875261,5.996751231048378
60,5.9263453029559985,5.958059278445527
61,5.923690474859021,5.927021960450024
62,5.863944341745999,5.947411942186758
63,5.800400509079656,5.908133208882538
64,5.787819960666048,5.8906584068911645
65,5.65718560737662,5.869317746357778
66,5.661178635711002,5.896353268839313
67,5.66782598509604,5.885798596994018
68,5.796331122201078,5.890149877418732
69,5.648116296094692,5.734641646343284
70,5.647768927166013,5.755162258973262
71,5.6489308343495415,5.85511987255014
72,5.648914721993819,5.836734811944047
73,5.648898609378483,5.854013175700994
74,5.654876311508777,5.910303368174112
75,5.6514654163546005,5.925561294842738
76,5.645262052600476,5.8983086283895005
77,5.632775693106237,5.949016025755864
78,5.630281444205356,5.946134393623834
79,5.753828487639785,5.975209480270325
80,6.076667374731454,5.98253617298053
81,6.072849423572065,6.016759956921022
82,6.1586963643158334,5.979533842487524
83,6.101213747012686,6.0074873905482375
84,6.04022427061924,6.127858506551461
85,6.065038661508886,6.0466557909083525
86,6.192074318500116,6.127535797362545
87,6.190513622706112,6.125921638498144
88,5.882366632522318,6.124307323654025
89,5.814204585907329,6.122648649807538
90,5.810214935358393,6.120992722604823
91,5.809553913892397,6.1197088421962365
92,5.669366989291664,6.12692720928323
93,5.67381500905141,6.130131227149029
94,5.672935144008969,6.128281615454731
95,5.6727702922670815,6.1321637424008015
96,5.669971287485432,6.130046676134569
97,5.723291611159681,6.127925118388319
98,5.720196323172665,6.1264923411749175
99,5.428612709405602,6.123425169284609
