,Makueni,Eldoret
0,6.626356644137863,6.562791194386278
1,6.492915613849857,6.572123666604727
2,6.641520506286292,6.64089880903282
3,6.644353091804366,6.633790707182643
4,6.6375499649916865,6.6083439324601665
5,6.747107341524484,6.565447817194299
6,6.743936973564398,6.573465456687939
7,6.740776625080254,6.489935121849543
8,6.736519028276414,6.455646589205965
9,6.736132197004858,6.394382903282802
10,6.734970828952519,6.2974354618860255
11,6.735470924954569,6.242893982776978
12,6.731809444368906,6.292614325884049
13,6.729262876463442,6.323245129490702
14,6.7246025457714955,6.351516813718182
15,6.718291072121132,6.3927406716863295
16,6.655662842970232,6.387398856375553
17,6.649517012937241,6.427257504704034
18,6.640690267577683,6.48159495742286
19,6.635728177591476,6.618715381050426
20,6.666327634215451,6.596195810441369
21,6.662934119966538,6.58279703260344
22,6.656900779427753,6.634620509036087
23,6.656551736270831,6.642439167868435
24,6.645415885178283,6.688841229613597
25,6.7226776696406025,6.690197077351437
26,6.735312768732915,6.735312768732915
27,6.731601410229312,6.732615095060158
28,6.736595585847204,6.831905765651529
29,6.822605410156545,6.690545688143479
30,6.791174646086436,6.693505028047079
31,6.7472407022661764,6.642163593156939
32,6.637977151167915,6.637693422977616
33,6.632377649562559,6.632377649562559
34,6.640362838557079,6.63866360280412
35,6.644808522838236,6.61629104235757
36,6.649234530454639,6.649234530454639
37,6.7583281582099595,6.630725493818413
38,6.75592356125053,6.6387771033736165
39,6.756570373233819,6.604964871670312
40,6.7518580805548085,6.627477743147643
41,6.749193722682037,6.723849723317328
42,6.742619896426794,6.742109040732414
43,6.68312774154423,6.733019947164562
44,6.56899436499229,6.785883385452971
45,6.581246793388176,6.744265597927602
46,6.619729416560388,6.730807116111072
47,6.61955943568563,6.701018483002359
48,6.672984121029003,6.6886338926961315
49,6.695339231698333,6.695339231698333
50,6.716727515017308,6.589572339532062
51,6.607672225917502,6.585901899199114
52,6.5494704299901585,6.582430915839419
53,6.426866061584948,6.540337784534935
54,6.49596328587717,6.473177489950581
55,6.499206317641442,6.421041544792106
56,6.532149394468324,6.367348986724408
57,6.499874846258469,6.309279455127117
58,6.4947969090400335,6.284368678675764
59,6.456746709332204,6.2793163966829475
60,6.459495904087616,6.300100662450232
61,6.464971722750536,6.315544108809236
62,6.486953048893829,6.271993364470966
63,6.49559429914353,6.252926015396951
64,6.5041615174591,6.282559986496706
65,6.535210487807658,6.305925055153349
66,6.563966289890722,6.43036633939427
67,6.591918256902433,6.407574454727711
68,6.546032107589777,6.433428729692819
69,6.5957691844564295,6.399875275589595
70,6.589250736391131,6.44589514813056
71,6.583101491824548,6.460883859100299
72,6.679103068370451,6.539691414987289
73,6.671376290703991,6.599507788191578
74,6.654523873933005,6.694449336342189
75,6.670686424327686,6.709907137480967
76,6.669688502111016,6.767628949632836
77,6.659167623324681,6.76523353529331
