,Mbale,Kampala
0,6.345177196872746,6.549089386259068
1,6.368214610247294,6.577317384946351
2,6.3907332304326925,6.508516266089075
3,6.408623847474042,6.5350117303239434
4,6.523607660487864,6.671906240070198
5,6.517100976959076,6.609243981810443
6,6.490642424291848,6.615933575438553
7,6.454689250657641,6.429005350510378
8,6.4774332427395285,6.477066337580395
9,6.482272895773473,6.415933580826795
10,6.39527238426644,6.41956825017436
11,6.388736192476026,6.413894752112181
12,6.474834526055797,6.5409626921290025
13,6.512793301594033,6.556107830249778
14,6.509919403873958,6.608326833396764
15,6.541251078496721,6.577396609166684
16,6.441994004612874,6.398114045424532
17,6.327946247462975,6.381882860752917
18,6.306900945368628,6.434986174328528
19,6.419141635669155,6.500073397992073
20,6.468766141124965,6.509105407369265
21,6.503766816133705,6.612564378292032
22,6.503275976301969,6.61245173027075
23,6.541146258015762,6.607299149439882
24,6.76255386524853,6.745817624305464
25,6.816896839030441,6.774305041813348
26,6.867779438137442,6.8258503343514345
27,6.861353697393771,6.821446658547321
28,6.856648166002482,6.829929019268972
29,6.845083920830362,6.822144105081133
30,6.745994329735111,6.487855737885357
31,6.627582076102239,6.424615244241879
32,6.529804686986427,6.357738960360644
33,6.527619245638013,6.432177131009299
34,6.528099966129934,6.471522643595779
35,6.523633227923906,6.467893350509074
36,6.55863096255904,6.474676016540806
37,6.620159360657688,6.498616292278132
38,6.437993100713827,6.618651356660965
39,6.259280911242251,6.606987185198222
40,6.199612585745824,6.390068687798257
41,6.42589957911418,6.372593103411213
42,6.425946653131482,6.297843655052759
43,6.4220430143143945,6.337612621164375
44,6.424951546577268,6.404257397307855
45,6.413767803545446,6.393921507173515
46,6.420989997139264,6.420267192626407
47,6.420960528206205,6.440989810081778
48,6.416406543159853,6.563914749160479
49,6.411853508998498,6.597736688584924
50,6.406870323508568,6.604789438391978
51,6.397480079799721,6.719797648914258
52,6.395084587475855,6.724293251975721
53,6.3868037865875475,6.70807347665705
54,6.386170099468836,6.376134705826333
55,6.363062081996514,6.141810678834342
56,6.122466600550152,6.154170225733569
57,6.126039556495682,6.134606957780981
58,6.151915194625549,6.128450955290582
59,6.156908459543163,6.131779170741259
60,6.13979212908586,6.115762704359025
61,6.124408154481436,6.22424496797063
62,6.123322182470887,6.2386891236697295
63,6.020651435457276,6.288082666972602
64,6.129583232279798,6.223781017326023
65,6.135021518959832,6.138293314353324
66,6.145259736017071,6.146186949806263
67,6.148032634165344,6.148032634165344
68,6.154407268815136,6.154407268815136
69,6.148796625712253,6.309652122611329
70,6.152141484668644,6.373813365371398
71,6.158207792230096,6.418604935085321
72,6.155978518190804,6.446507810833791
73,6.144588235748122,6.445987944428703
74,6.14072173954953,6.546800532856458
75,6.135026817087231,6.596983860325174
76,6.529444834379141,6.611633926220768
77,6.676752137039459,6.664647080013184
78,6.527554999426108,6.64740628814655
