,Machakos,Eldoret
0,6.6438798453483585,6.5975990927843515
1,6.645974964454524,6.529172917320767
2,6.653087024125803,6.542853543726102
3,6.639896049740655,6.575399588706978
4,6.631078370601248,6.566243885146357
5,6.562791194386278,6.562791194386278
6,6.558673564716479,6.572123666604727
7,6.642141817272417,6.64089880903282
8,6.644353091804366,6.633790707182643
9,6.636621028557028,6.6083439324601665
10,6.628910312900068,6.565447817194299
11,6.6244969367003845,6.573465456687939
12,6.623821061543903,6.489935121849543
13,6.61970505201614,6.455646589205965
14,6.618032368987572,6.394382903282802
15,6.616356883402047,6.2974354618860255
16,6.617135250433609,6.242893982776978
17,6.614036043663568,6.292614325884049
18,6.6109272019424825,6.323245129490702
19,6.606127899326081,6.351516813718182
20,6.600716001527368,6.3927406716863295
21,6.595038221153797,6.387398856375553
22,6.588744974595147,6.427257504704034
23,6.582190495280729,6.48159495742286
24,6.57314099196354,6.618715381050426
25,6.620523118161618,6.596195810441369
26,6.665761376585466,6.58279703260344
27,6.656900779427753,6.634620509036087
28,6.656551736270831,6.642439167868435
29,6.645415885178283,6.688841229613597
30,6.634071769966371,6.690197077351437
31,6.91999799368795,6.735312768732915
32,6.91290825359272,6.732615095060158
33,6.918917142641159,6.831905765651529
34,6.9164661289917495,6.690545688143479
35,6.921298880389344,6.693505028047079
36,6.840693871323289,6.642163593156939
37,6.637693422977616,6.637693422977616
38,6.632377649562559,6.632377649562559
39,6.642341637789341,6.63866360280412
40,6.632941201237457,6.61629104235757
41,6.544106889292635,6.785883385452971
42,6.633950856878744,6.744265597927602
43,6.623656490330998,6.730807116111072
44,6.642193578858994,6.701018483002359
45,6.672984121029003,6.6886338926961315
46,6.695339231698333,6.695339231698333
47,6.7157319947758065,6.589572339532062
48,6.6354442258711,6.585901899199114
49,6.566953392770506,6.582430915839419
50,6.426866061584948,6.540337784534935
51,6.556072424785176,6.473177489950581
52,6.475108766062382,6.421041544792106
53,6.498915566713621,6.367348986724408
54,6.357925744754901,6.309279455127117
55,6.352847807536467,6.284368678675764
56,6.488495407646785,6.2793163966829475
57,6.490604189903722,6.300100662450232
58,6.492708534554357,6.3317383350390655
59,6.494862660343422,6.315544108809236
60,6.489478302761023,6.271993364470966
61,6.4760695667111605,6.252926015396951
62,6.534558994643471,6.282559986496706
63,6.570425394098724,6.305925055153349
64,6.582929713837039,6.43036633939427
65,6.595279604605138,6.407574454727711
66,6.6012381584511175,6.433428729692819
67,6.5957691844564295,6.399875275589595
68,6.589250736391131,6.44589514813056
69,6.616283758327989,6.460883859100299
70,6.679103068370451,6.539691414987289
71,6.670370760201973,6.599507788191578
72,6.682706090693324,6.694449336342189
73,6.694891113024504,6.709907137480967
74,6.669688502111016,6.767628949632836
75,6.7561260042163465,6.76523353529331
