,Masindi,Soroti
0,6.127784079959406,5.635845373847415
1,6.124489577113207,5.632550871001215
2,6.121292687066978,5.791608808453554
3,6.1151308672858455,5.862824867282645
4,6.354883688438217,5.927802490107859
5,6.3454359953062385,5.919009075587126
6,6.354372984576003,5.822576736495707
7,6.226266351540886,5.7967794350841455
8,6.124503715111705,5.630280035160463
9,6.122483898456167,5.430325348723161
10,6.322586646191995,5.407508770743049
11,6.3185081821123745,5.30802271951776
12,6.317699905974179,5.366866266073148
13,6.310436724590128,5.383759991607632
14,6.3089287205934035,5.41348878419944
15,6.159197452685268,5.324971673865417
16,6.09294639019578,5.342936347741292
17,6.096754435110813,5.289075440965589
18,6.096423615231827,5.154315200331731
19,6.0930990441139725,5.076987976957607
20,5.694091677996334,5.1529607047350146
21,5.680526165783623,5.214152304588466
22,5.842409381144868,5.149262200584922
23,5.839799265618317,4.993362360945079
24,5.839995909933781,5.187258267711711
25,5.900059830945873,5.179917146043915
26,5.896287447650069,5.178569006359618
27,5.57770024830641,5.126191201696839
28,5.575304755982544,5.047672013900172
29,5.566226000180676,5.039616508713424
30,5.563709162228571,5.111724038485514
31,5.5458622527665895,5.029877546190572
32,5.524629599794531,4.831482419234586
33,5.6625158431961315,4.829302722690667
34,5.5559317625192515,4.767474402154981
35,5.558402786077907,4.770614098423273
36,5.5407693909168145,4.649584580173736
37,5.533225900578179,4.637137876021543
38,5.832803228683907,4.630512510540956
39,5.839586949853373,4.6322584376804645
40,5.84284145138766,4.8908326369114254
41,5.848587107306206,4.898050796918883
42,5.8569590430692235,4.89896928202732
43,5.349524937947573,4.853675768371139
44,5.356716232503921,4.862754414789935
45,5.347515002611756,4.901099290890496
46,5.3544504483574284,5.029341970386531
47,5.361320841910057,5.109427877309861
48,5.560130248617659,5.1775794000323705
49,5.547922489204874,5.165598909658404
50,5.544055993006281,5.193098072738031
51,5.533492954450284,5.210398843775247
52,5.528341086086172,5.269517842096371
53,5.519785375089453,5.265551236705213
54,5.688915201782019,5.523688078347364
55,5.6922920157620975,5.322017027050325
56,5.705720210627866,5.532984292497268
