,Mbale,Soroti
0,5.722318971851242,5.722318971851242
1,5.874231226657774,5.779300962010302
2,5.999119475863482,5.934618135666965
3,5.996356259907167,6.056455533668441
4,5.991297558814167,6.052053768235239
5,5.983435180334269,6.044489561326891
6,6.022404210803276,5.993799400221612
7,5.938288464858283,6.00134660082542
8,5.629472606775861,5.716820491491519
9,5.373399411927151,5.53261792194791
10,5.372561740665815,5.372561740665815
11,5.368581761113166,5.422704208118649
12,5.526976439104388,5.418839245740309
13,5.567445339952891,5.520357303853989
14,5.467556005469715,5.417449185415537
15,5.294200015198664,5.354824637015098
16,5.399799209635835,5.342936347741292
17,5.221686419060612,5.157147897923041
18,5.151747804826485,5.149173800831313
19,5.147636934939538,5.146349104755109
20,5.1529607047350146,5.222295398136079
21,5.138928883350879,5.144123700227983
22,5.149262200584922,5.149262200584922
23,5.149232731651864,5.149232731651864
24,5.144268082780344,5.1722953950349995
25,5.139302426889725,5.179917146043915
26,5.132759470328324,5.178569006359618
27,5.126191201696839,5.126191201696839
28,5.123795709372973,5.047672013900172
29,5.039616508713424,5.039616508713424
30,5.106418986255821,5.111724038485514
31,5.088471710456624,5.029877546190572
32,5.072644476051474,4.998536503897752
33,5.067713746135665,4.913103824050048
34,4.852632210495289,4.666220668449808
35,4.576458083982315,4.549307094916364
36,4.603064564538843,4.649584580173736
37,4.637137876021543,4.637137876021543
38,4.630512510540956,4.514828111541494
39,4.562665145881269,4.562665145881269
40,4.74422916271955,4.705910298417414
41,4.752465479950549,4.706655943919254
42,4.943140500340458,4.723078615563656
43,4.944059829839408,4.944059829839408
44,4.949208222765956,4.949208222765956
45,5.127453117834954,5.019239533194721
46,5.131306897043219,5.029341970386531
47,5.135136234020068,5.109427877309861
48,5.279048860197229,5.270238230515075
49,5.289896626335981,5.400438500735804
50,5.286030130137388,5.223509773156054
51,5.27784012457078,5.210398843775247
52,5.61253317730652,5.528341086086172
53,5.609203151428446,5.523180964090592
54,5.6081538451375605,6.016729375660117
