,Soroti,Lira
0,6.372391869941915,6.284467475365949
1,6.370640577278522,6.326504178166685
2,6.5257701407738695,6.403282379341532
3,6.55629087456297,6.441571359574251
4,6.620651652486489,6.511475288150438
5,6.612455971419808,6.543291845062377
6,6.62002426828871,6.551180550355619
7,6.561597107918934,6.488903597652056
8,6.006536024298302,6.4923421122342475
9,6.227102299052104,6.064976322601498
10,6.066754399627313,6.0042340426459795
11,6.062777709467196,5.999496259519676
12,6.116445190189492,5.865483781999095
13,6.083029640271961,6.08201182847926
14,6.02178675077425,6.0794849756934335
15,5.971031784621603,6.018118854425363
16,6.033953602043412,6.006939533632155
17,6.070356963259788,5.50906796558977
18,6.040939431857416,5.689458131748428
19,5.976565227858021,5.909176205953044
20,6.039056534663201,6.039056534663201
21,6.027762768991995,5.935872857592468
22,6.036262135538013,5.97497381156673
23,6.03517053161397,6.03517053161397
24,6.056934684361107,6.0610754770271384
25,6.026148339663316,6.083188164709767
26,6.02159335596944,6.0788112493633095
27,5.9515600169992435,5.966358238098193
28,5.882789455730505,6.009249335412577
29,5.875485673277005,6.000359003158413
30,5.871391901387022,5.970295975445936
31,5.864783674282612,5.636013349760887
32,5.650923325118823,5.730847500225399
33,5.51894727269941,5.647201608223089
34,5.407377068196114,5.455050537665471
35,5.463761278983219,5.359217423231947
36,5.444781015087852,5.342731760733681
37,5.433142442021197,5.330285056581489
38,5.427338120575742,5.521269940409946
39,5.529888746837217,5.529888746837217
40,5.554323607888483,5.530633836766078
41,5.5847254629732115,5.538205447338319
42,5.63319648833073,5.604937151016327
43,5.6372070103993535,5.550195633409724
44,5.639283204288931,5.55590159534988
45,5.6565719346482695,5.638278741600945
46,5.6821378554229085,5.64008961917941
47,5.68966295244802,5.647990256047452
48,5.645760982008161,5.72463396209482
49,5.634376297180895,5.713946972747484
50,5.630509800982303,5.669612526996045
51,5.617413138870241,5.70054703911345
52,5.694485193435976,5.770226819210122
53,5.691277529953199,5.895328803332569
54,5.766301865397439,5.925757597454391
55,5.833672182178691,5.869106555166567
