,Owino,Lira
0,6.425219904546283,6.436148975078473
1,6.55895576741423,6.457163050239392
2,6.502364627366297,6.477744607422322
3,6.494874353063846,6.473162368611613
4,6.618277430407989,6.523607660487864
5,6.605846195190644,6.533219508232758
6,6.615933575438553,6.570768831484161
7,6.254477586647204,6.447526166306873
8,6.477066337580395,6.497048837167734
9,6.436759632406356,6.44208891795444
10,6.394081671682812,6.39527238426644
11,6.457941355652555,6.434640790059747
12,6.541643195727906,6.518242265563295
13,6.556107830249778,6.428850818889928
14,6.589533478879123,6.510267532685133
15,6.5743119407576085,6.391014297990599
16,6.398114045424532,6.298152694444477
17,6.273557312836522,6.223871551232857
18,6.300161239991715,6.196020980739118
19,6.461141600786897,6.238534386305067
20,6.506716735358224,6.340190510855426
21,6.503766816133705,6.381477238375431
22,6.540788747110095,6.42374508302159
23,6.538853054717605,6.463609134745814
24,6.638017812616077,6.4792184918078
25,6.6359067418606585,6.464056484933999
26,6.751808050114444,6.5211481450910345
27,6.750390632850896,6.519273661151749
28,6.798991123381322,6.568966093550701
29,6.795426603304579,6.645468105605275
30,6.477932645340147,6.4782764651819384
31,6.275183266455148,6.249941284569154
32,6.277598763045304,6.228681848131042
33,6.37044067943786,6.2659803117222515
34,6.451455080544969,6.292194163201874
35,6.447769105613445,6.271137464597169
36,6.4454039239282785,6.31769990597418
37,6.479296931875494,6.357140898896652
38,6.513422950125465,6.394318037211166
39,6.491903206511004,6.328273782729202
40,6.246809878751679,6.210841089075997
41,6.200410091507986,6.199958318290453
42,6.097921742852849,6.123052407578428
43,6.222810650635631,6.147113632420211
44,6.341429322524985,6.203423649505542
45,6.286661969353938,6.286661969353938
46,6.293222309231491,6.293222309231491
47,5.9749443426336715,5.9749443426336715
48,6.08959064733516,5.972560340355643
49,6.09620787791807,6.083188164709767
50,6.077799615488465,6.0788112493633095
51,6.2691793717656585,6.040385496744466
52,6.065927672431015,5.9491645246753775
53,6.00311230054583,5.939870241677762
54,5.93608511352962,5.87386409053241
55,5.737290303909339,5.714366664007403
56,5.7954405532111,5.697583406584886
57,5.85039437311795,5.758102304256531
58,5.864851360215098,5.649097005083259
59,5.869226387091382,5.800758587813922
60,5.852730596523678,5.784712081816943
61,6.023432237141434,5.841110680347479
62,6.014703821464067,5.834065058504328
63,6.020651435457276,5.839586949853373
64,5.84284145138766,5.703204814444655
65,5.847339446508051,5.6229466757934095
66,5.713477319591533,5.634743279049029
67,5.85911523110557,5.71724971807289
68,5.8667251963633555,5.721926078892491
69,6.040662183171701,5.922879147515317
70,6.047597628917374,5.9865902808093505
71,6.054468022470003,5.902844511033482
72,6.251620427969974,6.155978518190804
73,6.170044155741471,6.039841405289059
74,6.235529533008196,6.14072173954953
75,6.274307334435037,6.228322221193214
76,6.389061966805516,6.308781135544713
77,6.456945258824288,6.341989667879001
78,6.452777907140362,6.304411448111898
79,6.344497805944682,6.262089117465058
80,6.3903324887379735,6.2361818089107155
