,Meru,Nakuru
0,6.618749096401022,6.897971730635504
1,6.616766744535951,6.88174041761792
2,6.253426844787594,6.7449322539958025
3,6.2183965729975075,6.7464751031475
4,6.286355275080574,6.692089164268168
5,6.332102394085951,6.7370553382904745
6,6.344155565281938,6.75114158623081
7,6.347042671594628,6.666740957945367
8,6.348678368793648,6.754143476901811
9,6.353370535522481,6.703019331723461
10,6.39990337707474,6.78107579261386
11,6.398875541394341,6.851787878926591
12,6.397660730246647,6.755935558171465
13,6.348822869095615,6.753271200298693
14,6.385507092158509,6.838022931052672
15,6.333428946101424,6.572187155606918
16,6.269249420091233,6.826550927891677
17,6.303709170008167,6.7347249782338015
18,6.333358082991144,6.732817167039096
19,6.397253054784485,6.820686856435466
20,6.38003055508371,6.770585908825588
21,6.38666894688887,6.664216387777751
22,6.388776086909848,6.718715587242694
23,6.411225983427125,6.738438894635541
24,6.20224095268945,6.765889482420448
25,6.0247331791525935,6.609410112539349
26,6.0489719303145995,6.498463287179254
27,6.031705818613825,6.501709447859561
28,6.079904811264352,6.469062603563939
29,6.125748708343024,6.449563012649042
30,6.171964065512139,6.429675613045191
31,6.084279518939052,6.482225794633189
32,6.160490223749327,6.482422219244187
33,6.02445995151566,6.4225499004819016
34,6.080902928243835,6.42881924802643
35,6.13262319487261,6.488216472940602
36,6.188812032580339,6.4760695667111605
37,6.296332201117933,6.5915843324302585
38,6.342078014909487,6.593231399627761
39,6.268066001924324,6.593135685400743
40,6.188135234977254,6.593039962011633
41,6.377540743926958,6.600684295241168
42,6.344612596914546,6.5957691844564295
43,6.366383085202827,6.589250736391131
44,6.354133489153418,6.578111184822959
45,6.37629211432237,6.573631324193517
46,6.386036531519875,6.670873651839425
47,6.512519092407855,7.0113006456810005
48,6.5081674948299115,7.007158660948899
49,6.566656276212781,7.005875269132802
50,6.661181722696382,6.917706503642626
51,6.575586864175662,6.821005687111406
52,6.481973862166198,6.906071818556762
53,6.56667362328174,6.923733134447132
54,6.644756165940486,6.925668942474727
55,6.71564269559263,6.949593661004507
56,6.781835231128974,6.920171271958031
57,6.779293171834601,6.526457830712988
58,6.734763699625318,6.9151348718765995
59,6.6392747647320345,6.839945460194186
60,6.632204273852051,6.838892857333431
