,Kampala,Eldoret
0,6.797703299801299,7.2857998494089715
1,6.767859774885163,7.283754175849106
2,6.777904312992352,7.268272663216036
3,6.768072718295499,7.234668422408563
4,6.79728365343428,7.190784742349406
5,6.801450297836939,7.3201385438559
6,6.7803388590375375,7.316380423942373
7,6.804630896958932,7.34732803813147
8,6.850090250237013,7.308340030983496
9,6.854761481672814,7.266137990754371
10,6.730229919679549,7.190476283175049
11,6.691881727850796,7.220061456829194
12,6.71369716557516,7.236925534430312
13,6.68255771003577,7.178430922655134
14,6.6585445086473545,7.1787560885656685
15,6.673387277778334,7.17061455885785
16,6.669579553199765,7.176751038369032
17,6.715641890832525,7.174175103668285
18,6.711029309676086,7.142981126328327
19,6.751729402537795,7.092497495215696
20,6.732031854731596,7.123941040198397
21,6.5989813912322735,7.167429200577943
22,6.6429563529729885,7.149434299939093
23,6.6996863311358,7.188697054769562
24,6.678983140193819,7.226764956153801
25,6.6590830115524895,7.194643125527804
26,6.661833739512934,7.133786765819096
27,6.695677712426985,7.119817206790433
28,6.775205768889622,7.135657592303315
29,6.822795777635917,7.122766057873517
30,6.81420691896807,7.129516404338379
31,6.830170769542119,7.107086137384232
32,6.833619739863409,7.10337477888063
33,6.815215125447011,7.142399046183262
34,6.792577888072415,7.133447387611423
35,6.7891845540846925,7.143588825164313
36,6.802313314191814,7.166051730228647
37,6.816522870817105,7.122415109531602
38,6.8412752096780824,7.073966588601332
39,6.823338291654072,7.127827729788931
40,6.828931407134244,7.128627152671136
41,6.839175547029991,7.133004424352959
42,6.8238649008539705,7.134606645231592
43,6.757549329050427,7.104619739457457
44,6.746775490723683,7.127817524031642
45,6.776112319585729,7.1366826210159005
46,6.7724008178518655,7.164484422289458
47,6.79121031440766,7.163625857851087
48,6.779138454451733,7.125421961298002
49,6.7579266180726325,7.097292353375164
50,6.757639184479301,7.134793783196345
51,6.754222657587084,7.098686659062667
52,6.747703532595385,7.083402306156786
53,6.744018639932947,7.037305883772062
54,6.829033623992183,7.052320563833304
55,6.839666860321264,7.070113474080583
56,6.832085953122172,7.049110485312021
57,6.868029940388789,7.046443940947998
58,6.836374624684397,7.039414082395344
59,6.749535613786933,7.076632483010425
60,6.7365115042288854,7.080427337668469
61,6.688202400826429,6.987595394574869
62,6.6882933447007735,6.887283616649819
63,6.673537436235919,6.939034472097251
64,6.702152937991156,6.9347825102752045
65,6.708640164237795,6.954239228574494
66,6.768362238389773,6.9570499907613135
67,6.784374800449423,7.018760365676765
68,6.788292340766275,7.0449420854537905
69,6.760294935069912,7.069501977025853
70,6.7632182732555775,7.09537167081274
71,6.795680491078833,7.196801651993541
72,6.788850769199765,7.194447111880922
73,6.790991638143216,7.219553753093459
74,6.611187775945774,7.213096007448676
75,6.603141149840569,7.189065505169518
76,6.624840730862728,7.185099005964277
77,6.641552832590525,7.190242421622816
78,6.678166016494928,7.175409380811988
79,6.751718982421796,7.166807646515863
80,6.748201880990163,7.17829990127378
81,6.748460022259219,7.190075278754165
82,6.736943200844543,7.20284045084742
83,6.722714740107661,7.212426845505268
