,Kisumu,Mbale
0,6.57967627648322,6.345177196872746
1,6.581771395589386,6.368214610247294
2,6.51955563150128,6.3907332304326925
3,6.506454783744106,6.408623847474042
4,6.49763756178946,6.523607660487864
5,6.56211437540951,6.517100976959076
6,6.572330308188907,6.490642424291848
7,6.49662038536361,6.454689250657641
8,6.491676023679461,6.4774332427395285
9,6.487805195591718,6.482272895773473
10,6.484214794906284,6.39527238426644
11,6.411774645994671,6.388736192476026
12,6.483181679561344,6.474834526055797
13,6.482892873065308,6.512793301594033
14,6.480495016088001,6.509919403873958
15,6.478106288921558,6.541251078496721
16,6.4731300771899845,6.441994004612874
17,6.46673891651235,6.327946247462975
18,6.462577683530768,6.306900945368628
19,6.456287119379148,6.419141635669155
20,6.4491520556788045,6.468766141124965
21,6.570617331318143,6.503766816133705
22,6.670303782595091,6.503275976301969
23,6.661800975369369,6.541146258015762
24,6.657465591642711,6.76255386524853
25,6.945634173046122,6.816896839030441
26,6.932957498327916,6.867779438137442
27,6.92013326781652,6.861353697393771
28,6.91407831466765,6.856648166002482
29,6.912485152253639,6.845083920830362
30,6.918917142641159,6.745994329735111
31,6.518227407272195,6.627582076102239
32,6.521788702681593,6.529804686986427
33,6.584721772768401,6.527619245638013
34,6.51976849303224,6.528099966129934
35,6.448006211627161,6.523633227923906
36,6.643188497402409,6.55863096255904
37,6.6500181602159065,6.620159360657688
38,6.653739042575744,6.437993100713827
39,6.53518460689575,6.259280911242251
40,6.650732839293766,6.199612585745824
41,6.650189969675248,6.42589957911418
42,6.400567709037957,6.425946653131482
43,6.39645091808487,6.4220430143143945
44,6.5179429944415945,6.424951546577268
45,6.478920614188919,6.413767803545446
46,6.508444680415951,6.420989997139264
47,6.518119041353622,6.420960528206205
48,6.509924588244713,6.416406543159853
49,6.50303189297508,6.411853508998498
50,6.498831004249888,6.406870323508568
51,6.492168534934097,6.397480079799721
52,6.493583963703098,6.395084587475855
53,6.490027226012597,6.3868037865875475
54,6.490754626020756,6.386170099468836
55,6.358492872173264,6.363062081996514
56,6.36296813421643,6.122466600550152
57,6.365316822954005,6.126039556495682
58,6.329526296595157,6.151915194625549
59,6.21427134449893,6.156908459543163
60,6.205865617187821,6.13979212908586
61,6.353534422212668,6.124408154481436
62,6.204790482645907,6.123322182470887
63,6.207115453879592,6.020651435457276
64,6.208015661009062,6.129583232279798
65,6.346716910666902,6.135021518959832
66,6.341263476654637,6.145259736017071
67,6.339461562014965,6.148032634165344
68,6.407295653220867,6.154407268815136
69,6.343956828206739,6.148796625712253
70,6.342045789938428,6.152141484668644
71,6.485114874213098,6.158207792230096
72,6.344612596914546,6.155978518190804
73,6.469188615525719,6.144588235748122
74,6.45838072888218,6.14072173954953
75,6.456960017389824,6.135026817087231
76,6.449801859435565,6.529444834379141
77,6.571208675610823,6.676752137039459
78,6.5680998355525855,6.527554999426108
