,Eldoret,Busia
0,5.791017958218954,5.442819559302515
1,5.8041062257760805,5.368390731264161
2,5.834943353391172,5.367908856384362
3,5.850807575439375,5.351975757904964
4,5.873096704586412,5.328980718580166
5,5.962614146993543,5.402413493497336
6,5.979918436570358,5.499568265555266
7,6.022037267856343,5.533521247132916
8,5.872809972160406,5.554348883772717
9,5.83770019455193,5.624919297368462
10,5.77287877254411,5.654594186213162
11,5.740032636437907,5.655251409158446
12,5.76654805609988,5.74055434548759
13,5.76249940864602,5.7112072009785875
14,5.748074666761027,5.7638030947339844
15,5.761130752819049,5.612515317093071
16,5.732670950171132,5.566786906099898
17,5.7592378765961625,5.697072309837952
18,5.784959108361613,5.700987244766897
19,5.8066511437122,5.688592229992797
20,5.801029264357392,5.697319423884363
21,5.796530524936025,5.636170643723225
22,5.844172582227764,5.6194313433579515
23,5.86522888560173,5.629948896936181
24,5.774423233776715,5.714692616025398
25,5.757408639722073,5.80807891460058
26,5.8534185312318385,5.76549916484374
27,5.845122746289084,5.752193689028138
28,5.858293137077639,5.76315459508666
29,5.887280644250899,5.861196332657981
30,5.928171121944518,5.928837110631458
31,5.91008200237439,6.079054370053745
32,5.933769618058902,6.083893311057493
33,5.9740928864708565,5.980881500846523
34,5.989883711081047,6.01459182757544
35,6.009690004268804,5.688290027834117
36,6.073295728690168,5.474777111293995
37,6.029379691364929,5.462532472239282
38,6.023203484368838,5.416722136441101
39,6.06556446453141,5.477651372541887
40,6.059360599142846,5.480279080286579
41,6.060996296341867,5.433135781583236
42,6.079294115126479,5.450898467104721
43,6.042708817639776,5.44403246461266
44,6.022856007684874,5.411591328899088
45,5.981218563507332,5.281738231253175
46,5.974129419654204,5.235077220363793
47,5.997049812150177,5.241253311880692
48,5.9807838502346105,5.357897063254608
49,5.959756232188734,5.3907923781495715
50,6.06155848236434,5.347322780520523
51,6.080973792620386,5.258887923850967
52,5.993877811595779,5.254202785427384
53,5.946696547966754,5.186003984847137
54,5.982593693069759,5.136607962555095
55,5.963080083016065,5.285397988508652
56,5.978165869373074,5.2114667656400835
57,6.0242361882539806,5.197853192215453
58,5.958729846514008,4.985817556396541
59,5.996751231048378,5.09438446268788
60,5.958059278445527,5.025513391645289
61,5.927021960450024,5.041170232632022
62,5.947411942186758,4.888397134079656
63,5.908133208882538,4.916389067603962
64,5.8906584068911645,4.9122411662664645
65,5.869317746357778,4.785862950560118
66,5.896353268839313,4.85034721833305
67,5.885798596994018,4.9101258398461045
68,5.890149877418732,5.09637269505928
69,5.734641646343284,5.065030317949494
70,5.755162258973262,4.9922619316572865
71,5.85511987255014,5.020243995882708
72,5.836734811944047,5.177463538409615
73,5.854013175700994,5.228470645496867
74,5.910303368174112,5.28346871561634
75,5.925561294842738,5.367156127707497
76,5.8983086283895005,5.281200919368427
77,5.949016025755864,5.315883093287069
78,5.946134393623834,5.353189561812566
79,5.975209480270325,5.587374617670365
80,5.98253617298053,5.789448942038557
81,6.016759956921022,5.629726330391688
82,5.979533842487524,5.520799860898352
83,6.0074873905482375,5.546362418443445
