,Lira,Masindi
0,6.73464196363447,6.695282992076009
1,6.70138633216929,6.720822459543145
2,6.66698660706085,6.730876771790358
3,6.712946789940466,6.750687117923312
4,6.722118903507407,6.752140206445604
5,6.757988539003953,6.759652894450565
6,6.731512427871016,6.7626378901459425
7,6.728217653680537,6.761624268926409
8,6.745590529351113,6.747550490779322
9,6.715923403879571,6.681068506484302
10,6.680787685980776,6.676617289707049
11,6.67576964936374,6.675174588352429
12,6.668386947214642,6.668386947214642
13,6.697623385329847,6.663273905315209
14,6.697464455431219,6.65517982382773
15,6.704187440847737,6.636454757742766
16,6.684248913678229,6.615628319914756
17,6.581908576923682,6.581908576923682
18,6.595790037382715,6.57462355454389
19,6.61599849037687,6.5836271608819565
20,6.61271799992226,6.576430002121544
21,6.61245173027075,6.576469175913188
22,6.6115778845739985,6.576508348170308
23,6.606746473179412,6.57193873301775
24,6.634427232787701,6.7597819649749775
25,6.753383267032442,6.780810600762836
26,6.779370668664623,6.794305764650775
27,6.859938415739269,6.882671939423787
28,6.968891150327122,6.875027678466785
29,6.9091968761185525,6.882480322191302
30,6.865173763163834,6.892433478336285
31,6.921829028690987,6.895987797507099
32,6.8704788795157805,6.869776385633712
33,6.870577099759349,6.843314536597355
34,6.865286823287116,6.813956437599327
35,6.809592370749438,6.809592370749438
36,6.80253046041779,6.80253046041779
37,6.800774717041625,6.7968025171811925
38,6.797284856062186,6.74085635860623
39,6.78584228290417,6.7292307088611825
40,6.671429464873556,6.733214621992752
41,6.67253710449417,6.734878691666694
42,6.683936605849349,6.729146632633346
43,6.732732116820645,6.539895886126755
44,6.806045907371657,6.532359181336218
45,6.729409316097957,6.6040338363770426
46,6.728317712173915,6.603402501641885
47,6.72380604951877,6.60222186894349
48,6.718761759868983,6.688957332162318
49,6.716345244014687,6.743758663329377
50,6.789641222281523,6.816074479349679
51,6.8136789870258125,6.838489419940326
52,6.805475249509322,6.83232249954551
53,6.80437423335443,6.830324752527179
54,6.785056492055889,6.811044716095681
55,6.710787310858822,6.765332120597391
56,6.710208041436984,6.7059345306596025
57,6.630692835365181,6.490240999896085
58,6.627026971895464,6.492592570548907
59,6.61767894313943,6.476530358526835
60,6.6880513340868415,6.498630683264274
61,6.707851002024013,6.525950409243852
62,6.714846285049665,6.532734130413318
63,6.71768342595075,6.534734713288011
64,6.722600088969929,6.695172209288324
65,6.6462036722139635,6.705670331253574
66,6.649929627187033,6.485166027835435
67,6.741989664489704,6.49140457764584
68,6.7343236347638085,6.650159334444721
69,6.736654824225794,6.57160134506392
70,6.626156391639695,6.658761865674257
71,6.561443626298969,6.716115546690544
72,6.55066702905505,6.7055186025503914
73,6.546800532856457,6.728099071658377
74,6.6047997924281265,6.770255581599211
75,6.685986906338474,6.766519449926777
76,6.710404103204066,6.776911986872595
77,6.709876556220062,6.784649790622513
78,6.709348194898656,6.789948738184538
79,6.7040999316654295,6.782374576513997
80,6.703069655055854,6.755344281790383
81,6.546580818191011,6.698987818413443
82,6.542038955707696,6.69514251502043
83,6.508357248304117,6.698618671297639
84,6.541432784238517,6.697666798152629
85,6.470576119550112,6.6941109837239425
86,6.466997095441979,6.69040205049575
87,6.462761753948969,6.686167394112799
88,6.463375215034524,6.686257294259389
89,6.497322270736219,6.6853024405543255
90,6.6022514199205276,6.690208244650055
91,6.624948674662949,6.685214353074378
92,6.627770098437231,6.686768439199186
93,6.626717729801511,6.685716070563467
94,6.533861745221318,6.68645276785693
