,Tororo,Kampala
0,6.191026517045488,6.424434666971581
1,6.270550272921105,6.548953959601279
2,6.344213214797799,6.500184393944528
3,6.33963097598709,6.494874353063846
4,6.3912827831916825,6.618917840292188
5,6.3362568312128476,6.6108579266410885
6,6.079721765282146,6.614492537642149
7,6.134167266475048,6.281417529383605
8,6.290847287159116,6.477066337580395
9,6.290276681284751,6.436759632406356
10,6.294792179027007,6.39447873343113
11,6.436160547191164,6.448236165626591
12,6.518242265563295,6.540622266593799
13,6.514882438844119,6.556107830249778
14,6.547504969030527,6.60864234057717
15,6.541587156469973,6.577396609166684
16,6.441994004612874,6.398114045424532
17,6.374409866289913,6.274648420418857
18,6.245436340302469,6.300161239991715
19,6.238087458923326,6.461141600786897
20,6.297315023835952,6.506716735358224
21,6.380702644998204,6.504280558759954
22,6.423005711453711,6.540788747110095
23,6.463255465422941,6.5395087924460205
24,6.456406483124705,6.638017812616078
25,6.455593811015265,6.6202616339528095
26,6.558496210449027,6.693659996484432
27,6.555653119439313,6.743012470263224
28,6.586390305376328,6.788462071485471
29,6.645468105605275,6.795052188323606
30,6.477932645340147,6.457610625961792
31,6.223600867954746,6.29567321599587
32,6.124503715111705,6.254304622917901
33,6.126432570911583,6.348590414901033
34,6.22804477957373,6.431339459747963
35,6.270286038406951,6.42795934562421
36,6.316891171599328,6.425462546345036
37,6.356367204467341,6.4602948054482185
38,6.396547692538435,6.494082567364871
39,6.392812303866773,6.483104503385116
40,6.294347746024714,6.234672755335146
41,5.978282284313611,6.187225085769094
42,5.9514758358243025,6.097422616313912
43,6.036528692625579,6.173064825751855
44,6.097564753573258,6.273969872959751
45,6.139101099205735,6.263249528729196
46,6.199470848312016,6.247874489253032
47,5.9749443426336715,6.03517053161397
48,5.970300452388205,6.08959064733516
49,6.025080533902487,6.089719210280764
50,5.960901815425774,6.078305560351269
51,5.9515600169992435,6.2691793717656585
52,5.9491645246753775,6.065927672431015
53,5.939870241677762,6.059447919528419
54,5.938402611669982,5.937244533949354
55,5.636013349760887,5.746454978558903
56,5.696111735973429,5.779434433015206
57,5.683569252393964,5.830679903144867
58,5.601992535895786,5.831546365570914
59,5.800758587813922,5.869226387091382
60,5.788688230196583,5.852730596523678
61,5.9064301464681215,6.023432237141434
62,5.896394331465438,6.015229998797965
63,5.902868399800893,6.020651435457276
64,5.701762853127754,5.874903383847323
65,5.6229466757934095,5.85480216770964
66,5.634743279049029,5.714904871582719
67,5.6372070103993535,5.825810236461387
68,5.642355403325902,5.8667251963633555
69,5.863266744713802,6.040662183171701
70,5.871785452308936,6.046576699783267
71,5.870525719778315,6.081429216198022
72,6.050212405285479,6.2170324166826445
73,6.039841405289059,6.157397194040704
74,6.1388784210552405,6.18924878044419
75,6.133180094494065,6.271091897581063
76,6.266086904446707,6.369587856970138
77,6.378677568257577,6.422032375552536
78,6.261581745912932,6.418737860900371
79,6.262089117465058,6.3256648576115895
80,6.242826351629383,6.409434590611459
