,Meru,Makueni
0,6.618749096401022,6.736595585847204
1,6.616766744535951,6.9096167871461756
2,6.253426844787594,6.837694661721328
3,6.2183965729975075,6.7472407022661764
4,6.286355275080574,6.7431674395719465
5,6.332102394085951,6.737567502194116
6,6.344155565281938,6.745553560513844
7,6.347042671594628,6.698553266927505
8,6.348678368793648,6.649234530454639
9,6.353370535522481,6.738850351250389
10,6.39990337707474,6.755414007099377
11,6.398875541394341,6.756570373233819
12,6.397660730246647,6.753389083660699
13,6.348822869095615,6.749449052697467
14,6.385507092158509,6.742619896426794
15,6.333428946101424,6.5428810290214185
16,6.269249420091233,6.375822792174269
17,6.303709170008167,6.383512957599335
18,6.333358082991144,6.375855320215022
19,6.397253054784485,6.369679727880385
20,6.38003055508371,6.607814485954423
21,6.38666894688887,6.636436823670675
22,6.388776086909848,6.611919638224058
23,6.411225983427125,6.628978686106459
24,6.20224095268945,6.568684994934784
25,6.0247331791525935,6.1162255195772595
26,6.0489719303145995,6.025208435862414
27,6.031705818613825,6.210688474142265
28,6.079904811264352,6.169924661744696
29,6.125748708343024,6.212608833725317
30,6.171964065512139,6.207530896506882
31,6.084279518939052,6.280856042868541
32,6.160490223749327,6.20312242554521
33,6.02445995151566,6.283612474715751
34,6.080902928243835,6.358103723228033
35,6.13262319487261,6.35612704163298
36,6.188812032580339,6.340585471507749
37,6.296332201117933,6.32479854270489
38,6.342078014909487,6.342078014909487
39,6.268066001924324,6.44337812268831
40,6.188135234977254,6.535353843673951
41,6.377540743926958,6.485736571466569
42,6.344612596914546,6.5957691844564295
43,6.366383085202827,6.644014821801107
44,6.354133489153418,6.608225696998227
45,6.37629211432237,6.639262124379034
46,6.386036531519875,6.669364217590571
47,6.512519092407855,6.6746858472233495
48,6.5081674948299115,6.763265605620779
49,6.566656276212781,6.669688502111016
50,6.661181722696382,6.841993085395108
51,6.575586864175662,6.834854370271537
52,6.481973862166198,6.827664327259632
53,6.56667362328174,6.8284733274976945
54,6.644756165940486,6.829281673783383
55,6.71564269559263,6.732620083456497
56,6.781835231128974,6.857713115249154
57,6.779293171834601,6.876463706498625
58,6.734763699625318,6.894869174417017
