,Kampala,Tororo
0,6.181575043675408,6.185519821966424
1,6.134167266475048,6.073898430220707
2,6.131081105653541,6.068477088366464
3,6.085522439767753,6.060260250682779
4,5.988219344105672,5.990600297611413
5,6.011723901415866,5.984066945929966
6,6.04544923422998,6.003388257527522
7,6.135130873309249,6.077143615658899
8,6.122531294927363,6.019229611621754
9,6.140075824644642,5.957754267850688
10,6.158082002828329,5.992409450916572
11,5.939568693678022,5.761986482247964
12,5.941103502770316,5.798048228634538
13,5.934920514536505,5.866523058369317
14,5.900443646822555,5.865483781999095
15,5.930573014720752,5.858104237907202
16,5.887946763794555,5.829480305294592
17,5.840978656373405,5.779707830980365
18,5.767369358556267,5.767369358556267
19,5.771640296084297,5.690036036952649
20,5.770193600100865,5.692456634744684
21,5.7673689040246625,5.689631938668482
22,5.771605357997039,5.771605357997039
23,5.797635573930532,5.759169293102736
24,5.76750807297175,5.76750807297175
25,5.839799265618317,5.805630370003067
26,5.837415263340288,5.834827939775338
27,5.863064243269277,5.832449607449671
28,5.898711691261576,5.8717161869195635
29,6.011644827736443,5.9515600169992435
30,6.039038772214684,6.0114068335525985
31,6.030339835370349,6.030339835370349
32,6.112200288881037,6.102425039976394
33,6.038338737864384,6.038338737864384
34,5.927760984556476,5.798226932364573
35,5.877725266834921,5.769091425832126
36,5.866086690823091,5.722985847182417
37,5.803379821293796,5.724427269620517
38,5.78338317796689,5.71029759625086
39,5.771224552883313,5.823455745108759
40,6.014703821464067,5.896394331465438
41,6.075711212640304,5.9646022840716135
42,6.078438463773156,5.995917440085153
43,6.135021518959832,6.028411783901574
44,6.093868790147582,6.039693056045557
45,6.148032634165344,6.042672118507518
46,6.154407268815136,6.0478205114340655
47,6.194812862998959,6.125441991129507
48,6.246782991763333,6.150301557746637
49,6.253849702009266,6.208040165977971
50,6.297009093784002,6.251620427969974
51,6.288425456447108,6.241069669764819
52,6.323656981542247,6.25870937878719
53,6.357432088559859,6.350019156170734
54,6.463373999770067,6.407463052176407
55,6.545509948009071,6.523314215617287
56,6.559342516862992,6.5275549994261075
57,6.558645794350314,6.526819362738636
58,6.546114490297316,6.407330065106544
