,Makueni,Mombasa
0,6.744210224043156,6.79857441915222
1,6.624184869148137,6.685070563227127
2,6.641520506286292,6.702401008790614
3,6.761998774256769,6.867249393766345
4,6.754266370581524,6.861002970122384
5,6.747107341524484,6.932918021314576
6,6.743936973564398,6.903042246516339
7,6.846468211755837,6.894927304907512
8,6.842101126031313,6.9188405850703685
9,6.842212675034215,6.737239616830106
10,6.839999063497468,6.734416965742569
11,6.840278801747819,6.73436534164682
12,6.837169960026733,6.614026408712523
13,6.834070753256692,6.756512518910817
14,7.012008031304075,6.778436856827605
15,7.005973144572913,6.7714821762861295
16,7.000503329261961,6.756838142226955
17,6.950451100534571,6.813057433114338
18,6.900387468677291,6.807402818294747
19,6.892453608301927,6.794897318135682
20,6.868885098307008,6.7756642982529165
21,6.863398884620713,6.60464256152942
22,6.763447032499003,6.599941747504524
23,6.76180013802081,6.598865617933149
24,6.75391752973697,6.589083303411035
25,6.740051637576656,6.679490336957013
26,6.8170703415862315,6.733282311182533
27,6.733627753374544,6.864149814808358
28,6.736595585847204,6.85876829595066
29,6.9096167871461756,6.874203250480176
30,6.837694661721328,6.580765507482219
31,6.7472407022661764,6.52377822254869
32,6.7431674395719465,6.519129719455744
33,6.737567502194116,6.383011590139608
34,6.745553560513844,6.46176946774553
35,6.698553266927505,6.4653329352608715
36,6.649234530454639,6.487909947857514
37,6.738850351250389,6.470984437986072
38,6.755414007099377,6.469429439723351
39,6.756570373233819,6.628412604751884
40,6.753389083660699,6.541779977990761
41,6.749449052697467,6.5280272758735896
42,6.742619896426794,6.5189016141027984
43,6.5428810290214185,6.57158528980482
44,6.375822792174269,6.482636796460079
45,6.383512957599335,6.445359687071194
46,6.375855320215022,6.375855320215022
47,6.369679727880385,6.369679727880385
48,6.607814485954423,6.289360754835888
49,6.636436823670675,6.204069187283272
50,6.611919638224058,6.209213152554973
51,6.628978686106459,6.283820184229285
52,6.568684994934784,6.426382342104081
53,6.1162255195772595,6.171155181608194
54,6.025208435862414,6.123429296273629
55,6.210688474142265,6.069001603357522
56,6.169924661744696,6.1272894301002605
57,6.212608833725317,6.292523541398679
58,6.207530896506882,6.246687611708076
59,6.280856042868541,6.280856042868541
60,6.20312242554521,6.28329354413385
61,6.283612474715751,6.119952297273673
62,6.358103723228033,6.154875481614765
63,6.35612704163298,6.248201599913629
64,6.340585471507749,6.29959078025407
65,6.32479854270489,6.473447727488291
66,6.342078014909487,6.4748845071760615
67,6.44337812268831,6.507450012206315
68,6.535353843673951,6.4102698741493835
69,6.485736571466569,6.485114874213098
70,6.5957691844564295,6.538350743312149
71,6.644014821801107,6.47229517285478
72,6.608225696998227,6.465871400611338
73,6.639262124379034,6.516996230833884
74,6.669364217590571,6.6723808111299965
75,6.6746858472233495,6.855009401354631
76,6.763265605620779,6.811751864606289
77,6.669688502111016,6.809320131517678
78,6.841993085395108,6.754294501872879
79,6.834854370271537,6.638341605909239
80,6.827664327259632,6.645512679564718
81,6.8284733274976945,6.440535677798616
82,6.829281673783383,6.788965243418817
83,6.732620083456497,6.783493904975461
84,6.857713115249154,6.78426805329538
85,6.876463706498625,6.782391204850188
86,6.894869174417017,6.733739991200571
