,Eldoret,Kisumu
0,6.5975990927843515,6.57967627648322
1,6.529172917320767,6.581771395589386
2,6.542853543726102,6.51955563150128
3,6.575399588706978,6.506454783744106
4,6.566243885146357,6.49763756178946
5,6.562791194386278,6.56211437540951
6,6.572123666604727,6.559350383693245
7,6.64089880903282,6.57669190786181
8,6.633790707182643,6.579237560388245
9,6.6083439324601665,6.572330308188907
10,6.565447817194299,6.49662038536361
11,6.573465456687939,6.49167602367946
12,6.489935121849543,6.487805195591718
13,6.455646589205965,6.484214794906284
14,6.394382903282802,6.411774645994671
15,6.2974354618860255,6.483181679561344
16,6.242893982776978,6.482892873065308
17,6.292614325884049,6.480495016088001
18,6.323245129490702,6.478106288921558
19,6.351516813718182,6.4731300771899845
20,6.3927406716863295,6.46673891651235
21,6.387398856375553,6.462577683530768
22,6.427257504704034,6.456287119379148
23,6.48159495742286,6.4491520556788045
24,6.618715381050426,6.570617331318143
25,6.596195810441369,6.670303782595091
26,6.58279703260344,6.661800975369369
27,6.634620509036087,6.657465591642711
28,6.642439167868435,6.945634173046122
29,6.688841229613597,6.932957498327916
30,6.690197077351437,6.92013326781652
31,6.735312768732915,6.91407831466765
32,6.732615095060158,6.912485152253639
33,6.831905765651529,6.918917142641159
34,6.690545688143479,6.518227407272195
35,6.693505028047079,6.521788702681593
36,6.642163593156939,6.584721772768402
37,6.637693422977616,6.51976849303224
38,6.632377649562559,6.448006211627161
39,6.63866360280412,6.643188497402409
40,6.61629104235757,6.6500181602159065
41,6.649234530454639,6.653739042575744
42,6.630725493818413,6.53518460689575
43,6.6387771033736165,6.650732839293765
44,6.604964871670312,6.650189969675248
45,6.627477743147643,6.400567709037956
46,6.723849723317328,6.39645091808487
47,6.742109040732414,6.5179429944415945
48,6.733019947164562,6.478920614188919
49,6.785883385452971,6.508444680415951
50,6.744265597927602,6.518119041353622
51,6.730807116111072,6.509924588244713
52,6.701018483002359,6.50303189297508
53,6.6886338926961315,6.498831004249888
54,6.695339231698333,6.492168534934097
55,6.589572339532062,6.493583963703098
56,6.585901899199114,6.490027226012597
57,6.582430915839419,6.490754626020756
58,6.540337784534935,6.358492872173264
59,6.473177489950581,6.36296813421643
60,6.421041544792106,6.365316822954006
61,6.367348986724408,6.329526296595157
62,6.309279455127117,6.21427134449893
63,6.284368678675764,6.205865617187821
64,6.2793163966829475,6.353534422212668
65,6.300100662450232,6.204790482645907
66,6.3317383350390655,6.207115453879592
67,6.315544108809236,6.208015661009062
68,6.271993364470966,6.346716910666902
69,6.252926015396951,6.341263476654637
70,6.282559986496706,6.339461562014965
71,6.305925055153349,6.407295653220867
72,6.43036633939427,6.343956828206739
73,6.407574454727711,6.342045789938428
74,6.433428729692819,6.485114874213098
75,6.399875275589595,6.344612596914546
76,6.44589514813056,6.469188615525719
77,6.460883859100299,6.45838072888218
78,6.539691414987289,6.456960017389824
79,6.599507788191578,6.449801859435565
80,6.694449336342189,6.571208675610823
81,6.709907137480967,6.5680998355525855
82,6.767628949632836,6.564438980404133
83,6.76523353529331,6.555150291213322
