,Bujumbura,Ngozi
0,6.431644231272116,6.274015287068532
1,6.411198717252972,6.369134044251951
2,6.4420558997442585,6.276161683759354
3,6.445190089887184,6.364820103532932
4,6.388341042609541,6.367989462999362
5,6.363567750828419,6.363567750828419
6,6.358082072153762,6.358082072153762
7,6.3465897333580825,6.261654122552297
8,6.3330119198705015,6.245282409995431
9,6.325420906950073,6.2384095299604425
10,6.314275279998097,6.230014936380357
11,6.270445531269072,6.228869104423331
12,6.228508072910977,6.313681937899138
13,6.236197132903801,6.233045042035486
14,6.140419399035851,6.141727443695866
15,6.147795002839551,6.146922782984865
16,6.048689786710134,6.0467499218923075
17,5.869877003772425,6.052198560566379
18,5.93648210791234,6.013160074860922
19,5.93868912606712,6.000084065035526
20,5.940901025927034,5.9354275585128615
21,5.9378057342078145,5.804897977400199
22,5.994059433549353,5.801812236955429
23,5.865792788148753,5.798297296527306
24,5.5518173164776075,5.547036430877266
25,5.991861148377614,5.461644335296973
26,5.871952065562694,5.56306778546031
27,5.734255192375172,5.471353148921878
28,5.739145179503344,5.572823964055831
29,5.746743757330513,5.5777379765123305
30,5.746305679565559,5.486095427777976
31,5.7580391240371,5.6607107800765375
32,5.767163274813551,5.767163274813551
33,5.765964230432808,5.768670592030551
34,5.883137017005585,5.917726034587793
35,5.910530293317847,6.19468502525166
36,5.899837737788793,6.18781457811301
37,6.265201241728431,5.7636072881951055
38,6.240344949622186,5.800746835144563
39,6.010941278942428,6.053106908196236
40,6.018907569523006,6.130679026381403
41,6.021847837462467,6.133839127518489
42,6.0268902477366115,5.718906462967478
43,6.019053847920166,5.88163779480016
44,5.809843680184293,5.473115000427939
45,5.687188845961639,5.35788509881904
46,5.449604797936875,5.3466568286844325
47,5.447359120999331,5.344411151746888
48,5.502527869073664,5.545029386719342
49,5.554811501226343,5.3552366962848295
50,5.681526905035536,5.471423843348001
51,5.986837857767325,5.793751934386212
52,6.013330416440484,5.98489248111995
53,6.005691526508355,6.0364631851751085
54,6.079310870571581,6.027916161448381
55,6.076621493277819,6.023196326604239
56,6.17640548697065,6.221461981588034
57,6.213731975652058,6.296980019745178
58,6.252669623213981,6.290350690181669
59,6.283723763877686,6.283723763877686
60,6.357064639876909,6.277910584176898
61,6.3513939580807905,6.34282247703065
62,6.319087004597455,6.259648676664725
63,6.314079924416923,6.166593108832996
64,6.2023750675322935,6.203994501084597
65,6.010636633237032,5.662329938968816
