,Eldoret,Makueni
0,6.562791194386278,6.626356644137863
1,6.572123666604727,6.492915613849857
2,6.64089880903282,6.641520506286292
3,6.633790707182643,6.644353091804366
4,6.6083439324601665,6.6375499649916865
5,6.565447817194299,6.747107341524484
6,6.573465456687939,6.743936973564398
7,6.489935121849543,6.740776625080254
8,6.455646589205965,6.736519028276414
9,6.394382903282802,6.736132197004858
10,6.2974354618860255,6.734970828952519
11,6.242893982776978,6.735470924954569
12,6.292614325884049,6.731809444368906
13,6.323245129490702,6.729262876463442
14,6.351516813718182,6.7246025457714955
15,6.3927406716863295,6.718291072121132
16,6.387398856375553,6.655662842970232
17,6.427257504704034,6.649517012937241
18,6.48159495742286,6.640690267577683
19,6.618715381050426,6.635728177591476
20,6.596195810441369,6.666327634215451
21,6.58279703260344,6.662934119966538
22,6.634620509036087,6.656900779427753
23,6.642439167868435,6.656551736270831
24,6.688841229613597,6.645415885178283
25,6.690197077351437,6.7226776696406025
26,6.735312768732915,6.735312768732915
27,6.732615095060158,6.731601410229312
28,6.831905765651529,6.736595585847204
29,6.690545688143479,6.822605410156545
30,6.693505028047079,6.791174646086436
31,6.642163593156939,6.7472407022661764
32,6.637693422977616,6.637977151167915
33,6.632377649562559,6.632377649562559
34,6.63866360280412,6.640362838557079
35,6.61629104235757,6.644808522838236
36,6.649234530454639,6.649234530454639
37,6.630725493818413,6.7583281582099595
38,6.6387771033736165,6.75592356125053
39,6.604964871670312,6.756570373233819
40,6.627477743147643,6.7518580805548085
41,6.723849723317328,6.749193722682037
42,6.742109040732414,6.742619896426794
43,6.733019947164562,6.68312774154423
44,6.785883385452971,6.56899436499229
45,6.744265597927602,6.581246793388176
46,6.730807116111072,6.619729416560388
47,6.701018483002359,6.61955943568563
48,6.6886338926961315,6.672984121029003
49,6.695339231698333,6.695339231698333
50,6.589572339532062,6.716727515017308
51,6.585901899199114,6.607672225917502
52,6.582430915839419,6.5494704299901585
53,6.540337784534935,6.426866061584948
54,6.473177489950581,6.49596328587717
55,6.421041544792106,6.499206317641442
56,6.367348986724408,6.532149394468324
57,6.309279455127117,6.499874846258469
58,6.284368678675764,6.4947969090400335
59,6.2793163966829475,6.456746709332204
60,6.300100662450232,6.459495904087616
61,6.315544108809236,6.464971722750536
62,6.271993364470966,6.486953048893829
63,6.252926015396951,6.49559429914353
64,6.282559986496706,6.5041615174591
65,6.305925055153349,6.535210487807658
66,6.43036633939427,6.563966289890722
67,6.407574454727711,6.591918256902433
68,6.433428729692819,6.546032107589777
69,6.399875275589595,6.5957691844564295
70,6.44589514813056,6.589250736391131
71,6.460883859100299,6.583101491824548
72,6.539691414987289,6.679103068370451
73,6.599507788191578,6.671376290703991
74,6.694449336342189,6.654523873933005
75,6.709907137480967,6.670686424327686
76,6.767628949632836,6.669688502111016
77,6.76523353529331,6.659167623324681
