,Ruhengeri,Kampala
0,6.283217251193524,6.007031667686231
1,6.279903592265833,6.023765894143638
2,6.234497842581117,6.056416972618743
3,6.294194544742304,6.062626852386032
4,6.3505274176451865,6.09072285150714
5,6.356295554316818,6.139226924669675
6,6.380077795136465,6.144191047856933
7,6.349003142985581,6.181575043675408
8,6.3633161666305815,6.134167266475048
9,6.289103919590747,6.131081105653541
10,6.350349206799406,6.085522439767753
11,6.302376311379542,5.988219344105672
12,6.291961155137457,6.011723901415866
13,6.279249062378441,6.04544923422998
14,6.257052652046707,6.0455047006442335
15,6.2517427560440675,6.1061937291492265
16,6.226291958943903,6.15657674005763
17,6.215248861663603,6.135130873309249
18,6.27304775892336,6.122531294927363
19,6.2909486980697835,6.140075824644642
20,6.38580526356713,6.158082002828329
21,6.386651314105039,6.19681024654512
22,6.38749933791425,6.242566656293172
23,6.37628657758218,6.336532113449884
24,6.364946664171547,6.286929341858527
25,6.355993085751263,6.233440409848054
26,6.355643362824861,6.303271015773716
27,6.353732811193225,6.367273182820459
28,6.348489997501445,6.31628120553039
29,6.164504459410481,5.939568693678022
30,6.164539768770413,5.941103502770316
31,6.160488584088879,5.934920514536505
32,6.256489932812973,5.900443646822555
33,6.248098183886897,5.930573014720752
34,6.2412519083112645,5.887946763794555
35,6.23363083040881,5.840978656373405
36,6.2355023862255505,5.767369358556267
37,6.244994375170911,5.771640296084297
38,6.259788674998292,5.770193600100865
39,6.360040835118575,5.7673689040246625
40,6.359139583551838,5.771605357997039
41,6.3578554765800845,5.797635573930532
42,6.358377966301426,5.76750807297175
43,6.3550967145094175,5.839799265618317
44,6.342913076171015,5.837415263340288
45,6.337635569559889,5.863064243269277
46,6.328197204138714,5.898711691261576
47,6.315005363352365,6.011644827736443
48,6.311321603195794,6.039038772214684
49,6.303806393594676,6.030339835370349
50,6.3091539525461995,6.112200288881037
51,6.312222270177028,6.038338737864384
52,6.1185064163344025,5.927760984556476
53,6.008281777512261,5.877725266834921
54,5.996031662122927,5.866086690823091
55,5.994437243245431,5.803379821293796
56,6.107053903247108,5.78338317796689
57,6.104732686814956,5.771224552883313
58,6.117584713642469,6.014703821464067
59,6.222280034362545,6.075711212640304
60,6.221517800673659,6.078438463773156
61,6.220750869475664,6.135021518959832
62,6.226731638465731,6.093868790147582
63,6.268354724329394,6.148032634165344
64,6.266689120611705,6.154407268815136
65,6.281604857851449,6.194812862998959
66,6.31453254494073,6.246782991763333
67,6.228662758230336,6.253849702009266
68,6.210744022017104,6.297009093784002
69,6.229199753781177,6.288425456447108
70,6.224954026826148,6.323656981542247
71,6.237561664348352,6.357432088559859
72,6.211437970741141,6.463373999770067
73,6.196981814994793,6.545509948009071
74,6.224587488212667,6.559342516862992
75,6.197768188976779,6.558645794350314
76,6.156069595177607,6.546114490297316
