,Kisumu,Eldoret
0,6.57967627648322,6.5975990927843515
1,6.581771395589386,6.529172917320767
2,6.51955563150128,6.542853543726102
3,6.506454783744106,6.575399588706978
4,6.49763756178946,6.566243885146357
5,6.56211437540951,6.562791194386278
6,6.559350383693245,6.572123666604727
7,6.57669190786181,6.64089880903282
8,6.579237560388245,6.633790707182643
9,6.572330308188907,6.6083439324601665
10,6.49662038536361,6.565447817194299
11,6.49167602367946,6.573465456687939
12,6.487805195591718,6.489935121849543
13,6.484214794906284,6.455646589205965
14,6.411774645994671,6.394382903282802
15,6.483181679561344,6.2974354618860255
16,6.482892873065308,6.242893982776978
17,6.480495016088001,6.292614325884049
18,6.478106288921558,6.323245129490702
19,6.4731300771899845,6.351516813718182
20,6.46673891651235,6.3927406716863295
21,6.462577683530768,6.387398856375553
22,6.456287119379148,6.427257504704034
23,6.4491520556788045,6.48159495742286
24,6.570617331318143,6.618715381050426
25,6.670303782595091,6.596195810441369
26,6.661800975369369,6.58279703260344
27,6.657465591642711,6.634620509036087
28,6.945634173046122,6.642439167868435
29,6.932957498327916,6.688841229613597
30,6.92013326781652,6.690197077351437
31,6.91407831466765,6.735312768732915
32,6.912485152253639,6.732615095060158
33,6.918917142641159,6.831905765651529
34,6.518227407272195,6.690545688143479
35,6.521788702681593,6.693505028047079
36,6.584721772768402,6.642163593156939
37,6.51976849303224,6.637693422977616
38,6.448006211627161,6.632377649562559
39,6.643188497402409,6.63866360280412
40,6.6500181602159065,6.61629104235757
41,6.653739042575744,6.649234530454639
42,6.53518460689575,6.630725493818413
43,6.650732839293765,6.6387771033736165
44,6.650189969675248,6.604964871670312
45,6.400567709037956,6.627477743147643
46,6.39645091808487,6.723849723317328
47,6.5179429944415945,6.742109040732414
48,6.478920614188919,6.733019947164562
49,6.508444680415951,6.785883385452971
50,6.518119041353622,6.744265597927602
51,6.509924588244713,6.730807116111072
52,6.50303189297508,6.701018483002359
53,6.498831004249888,6.6886338926961315
54,6.492168534934097,6.695339231698333
55,6.493583963703098,6.589572339532062
56,6.490027226012597,6.585901899199114
57,6.490754626020756,6.582430915839419
58,6.358492872173264,6.540337784534935
59,6.36296813421643,6.473177489950581
60,6.365316822954006,6.421041544792106
61,6.329526296595157,6.367348986724408
62,6.21427134449893,6.309279455127117
63,6.205865617187821,6.284368678675764
64,6.353534422212668,6.2793163966829475
65,6.204790482645907,6.300100662450232
66,6.207115453879592,6.3317383350390655
67,6.208015661009062,6.315544108809236
68,6.346716910666902,6.271993364470966
69,6.341263476654637,6.252926015396951
70,6.339461562014965,6.282559986496706
71,6.407295653220867,6.305925055153349
72,6.343956828206739,6.43036633939427
73,6.342045789938428,6.407574454727711
74,6.485114874213098,6.433428729692819
75,6.344612596914546,6.399875275589595
76,6.469188615525719,6.44589514813056
77,6.45838072888218,6.460883859100299
78,6.456960017389824,6.539691414987289
79,6.449801859435565,6.599507788191578
80,6.571208675610823,6.694449336342189
81,6.5680998355525855,6.709907137480967
82,6.564438980404133,6.767628949632836
83,6.555150291213322,6.76523353529331
